threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.002072615548968315	0.0009968822397679665	25014.04	22072.97153757056	8.873308449983597e-07	5.239112664031135e-07	38.998000000000005	44.95788469223168	615163.8103897334	298478.6796548672
3	0.0009496542066335678	6.860930894264937e-05	82119.65	3430.803125727269	1.7744878679513932e-06	2.3823922595835004e-08	1.7440000000000004	1.5059428940036204	1060664.4351296783	77063.5256187152
4	0.0012873788177967071	6.874496263323792e-05	130475.89	5679.465273940849	3.5241017490625383e-06	4.7165351693740764e-08	1.0019999999999998	1.0270326187614491	781331.3557958971	41819.73701061137
5	0.0014517473429441453	8.075127432528314e-05	283845.89	11752.01299598924	5.14358326792717e-06	1.1748996323429167e-07	0.8460000000000001	0.5641666420482516	693729.1549047454	38723.690827600534
6	0.0016197366267442703	7.940829702446543e-05	412104.71	8597.89748054139	7.212388664484024e-06	9.9037416487452e-08	0.4979999999999999	0.3446679561549057	621970.3532141661	30636.576183217658
7	0.0016718789935111999	7.566102862202632e-05	653700.94	19129.294393583892	8.918621167540551e-06	1.715175574733537e-07	0.7239999999999999	0.4356879617340833	602907.4036148293	26389.843274752064
8	0.0016882254183292389	0.000298755127010776	620285.01	181038.0120068984	1.0425782278180125e-05	2.1489234094253537e-06	0.7640000000000002	0.1438888459888396	604278.9543942799	46864.84584671775
9	0.0016914868354797363	0.00031896322543403143	620801.9	17078.230156840025	1.119325563311577e-05	2.967692313671973e-07	0.7359999999999997	2.2868983361750037	610307.5142478499	77598.14611406367
10	0.001968013644218445	0.00043222405104017	960061.79	24190.05278840664	1.432553984224796e-05	3.160799823022444e-07	1.1240000000000003	0.7366301650081947	530357.6610224879	80973.54165770326
11	0.001758847013115883	7.798090079221633e-05	860810.28	25202.187640790235	1.5376517102122308e-05	4.018907846388061e-07	0.9300000000000003	0.11958260743101401	575371.744030244	25705.484108026925
12	0.001975700706243515	0.0004228952023393843	870476.97	24758.321982903042	1.7380910888314245e-05	4.3824961217204464e-07	0.8310000000000004	1.645520890174294	528701.9156637671	79961.45860317678
13	0.0017129883170127868	0.0001979457997661919	924867.24	22799.625022846318	1.76533231139183e-05	3.3180895920574106e-07	1.1169999999999995	0.05666568626602879	595830.135806121	45001.398372432755
14	0.0017955021560192108	0.00012774896425482522	1065556.25	67240.44526271	2.0412252768874168e-05	1.073426305225023e-06	0.5379999999999999	0.079724525711979	566497.3855793624	33044.20043747926
15	0.0019929596781730653	0.0005235500714138876	1238876.18	50777.06048825198	2.094995610415935e-05	6.599389254860403e-07	1.572	1.8098110398602392	536576.7215562552	106393.96027569551
16	0.0017702242732048035	0.00043801057492132964	1051993.1	26499.555965902524	2.1155476346611976e-05	5.772047428281665e-07	1.149	1.365246864123848	597243.815166296	97357.58357649445
17	0.0024792600423097612	0.0006771846902941966	1147536.99	49736.047118663344	2.4505530521273613e-05	8.691792873706561e-07	2.6890000000000005	2.2799953947321905	445355.7297683375	130509.7114774561
18	0.0017062292993068695	0.000147135009649125	1422263.43	35332.818440723066	2.5206460505723952e-05	6.103530778618293e-07	0.9190000000000004	0.046249324319388704	598992.6544825806	35343.53217570225
19	0.0019283033162355422	0.0006847576842173088	1186049.9	463501.3868811721	2.548597082495689e-05	8.659364807387354e-06	2.6549999999999994	4.937517088578023	571542.6906139595	130802.60727941719
20	0.0021969655156135557	0.0006430038452880251	1274338.56	45923.73676505865	2.7657167315483093e-05	8.251876434243763e-07	3.2479999999999993	3.19569961041397	503395.85270766966	135705.87242501613
21	0.001696220710873604	0.00036071125549017984	1333113.13	38038.01188617906	2.8126195669174194e-05	7.681291616902881e-07	1.3589999999999995	0.7782152658487237	618655.0920045259	82282.50763974477
22	0.0017351382225751877	0.00047465094055857803	1333732.7	36620.70996567379	2.8643037751317023e-05	7.651913015039111e-07	1.4789999999999999	1.646833021286615	618564.4255318944	110880.4263152611
