threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0015415196120738984	0.000947906650135297	2108.86	827.2773177115398	6.322190910577775e-07	2.114563379549069e-07	75.807	26.245533924841386	857440.2991545146	366424.16592775064
3	0.001660047098994255	0.00010623005539668572	2409.91	261.0665468802926	2.873947843909263e-06	1.4127844087485013e-07	103.87800000000003	25.636749325918835	606041.7802047122	38388.70054647614
4	0.001436789184808731	0.00031108412129969283	10808.7	6807.029286700623	3.5833150893449784e-06	3.9094898116774106e-07	130.95999999999998	24.25063298142958	718388.6955752166	99659.14472011845
5	0.0017385482043027877	0.00010252180946508928	4065.1	80.13931619373852	6.023965701460838e-06	2.2799576795769418e-07	147.35200000000003	16.843161698446053	579527.2511763573	34586.14819092398
6	0.0022058433294296267	0.00010883167561568117	5065.73	73.88719171818619	9.388877153396606e-06	3.7168653960719955e-07	154.21099999999998	15.23606835768336	456705.3966757842	22280.565571917203
7	0.002627595216035843	0.00015144714069102632	6181.01	256.9115604639075	1.3647582978010179e-05	4.6275588242079706e-07	159.15399999999997	13.253659268292656	383976.9980827532	19672.385001590123
8	0.002992748990654945	0.0001153755035313445	7140.72	101.38906055388817	1.8428776413202285e-05	5.270684690349124e-07	161.546	11.993793561671804	336979.4920160949	12975.326483429246
9	0.0031680317223072053	0.0005293198857745556	13973.15	3882.664421180383	2.140138082206249e-05	1.4680971949705943e-06	156.15599999999998	19.073276173746347	324721.48197203205	39553.851756009855
10	0.0035346888750791548	0.0006217690985477525	13363.16	2911.472835937165	2.6175179332494736e-05	3.4365970728917675e-06	163.40000000000003	15.013047658620154	295268.9655224566	60148.64521252656
11	0.004060836657881737	0.0006007423945298498	10255.74	421.42464617058175	3.091886959969998e-05	1.921460287178667e-06	165.491	11.00441815817629	254353.746076715	38279.1159838766
12	0.004066669493913651	0.0004350957730119441	15016.99	855.0752422447979	3.785308115184307e-05	2.502470306682628e-06	166.81799999999996	9.99936377976119	251125.05724623098	23685.9576030932
13	0.004827286899089813	0.0008047731439338176	12839.07	1751.251679542378	4.7146065533161165e-05	5.708777373145502e-06	167.509	11.31089824019295	215063.3577359939	33017.904189620735
14	0.004528868272900582	0.0004864835200929513	13511.22	475.64717133606507	5.2222272083163273e-05	2.8534762116056824e-06	169.97400000000002	6.43536510230772	226004.88564056356	21854.848957194263
15	0.0054033812135458	0.0009168773118410843	15752.41	3318.3659113937397	6.351471237838269e-05	1.004354561582098e-05	170.11800000000002	6.68748652335091	192293.5461537145	27879.923331375514
16	0.005310771465301514	0.0009276492177934777	17077.66	3666.318497403083	6.915407188236713e-05	1.2889556526095227e-05	169.74699999999996	8.166951144705102	195838.06419519385	27664.155752208593
17	0.005615149736404419	0.0011576763889138636	25055.65	6212.783133789558	7.296733871102333e-05	1.658761675498831e-05	168.45100000000002	10.37134991213775	187218.98885683782	31763.332571241004
18	0.005793004930019378	0.0011157741003561903	22244.68	5713.071839002201	9.170909889042379e-05	1.9509980460267742e-05	173.3260000000001	6.359805342933069	181122.44338092647	29576.043863204028
19	0.005945980921387673	0.0009633078626442758	21463.37	3802.1086272093808	9.353924110531806e-05	1.7099763354647844e-05	172.97099999999998	6.371111284540553	175271.79470764007	25553.11624990474
20	0.006249009370803833	0.0009685616514072597	26350.02	4867.61476080431	9.055390901863577e-05	1.7140657713924107e-05	172.11	9.359588666175462	166811.84675012837	24790.367016595665
21	0.006090543642640114	0.0004957762506738003	20894.16	2293.61262518325	8.924396052956581e-05	1.0196705553042128e-05	171.59499999999997	8.083197077889412	168504.15255471886	12860.286280562508
22	0.006250817626714707	0.00083270480313606	23334.09	4169.414304419746	9.781402811408044e-05	1.7353545542665104e-05	171.01800000000006	8.576250695962665	165763.59949884273	18473.940581080293
23	0.0062708394974470135	0.0009131773764393999	25258.52	5032.824059074586	0.00011035628452897072	2.2101573902716593e-05	172.1829999999999	6.997743279086468	166108.4715376798	21898.07585580354
24	0.006503979116678238	0.0009472983290715915	28025.54	5686.447621177918	0.00011610819235444068	2.28840785713194e-05	170.39700000000002	7.8979042156764585	160245.3328266234	20754.361095792166
25	0.006914253309369087	0.0010189718101199924	33361.16	5571.375339572806	0.0001372662688791752	2.4557926925966032e-05	172.3520000000001	7.748347952951004	151175.0503186983	21194.24068599078
26	0.0063723398000001905	0.0012647690367197152	32004.96	6654.45077962111	0.00015053174696862698	3.142647936941683e-05	174.23199999999997	6.5621319706327075	166254.39946000994	27696.12784540766
27	0.006915292739868164	0.0014430099933104878	35871.06	8334.509599034607	0.00017135634154081348	3.7555671269958024e-05	175.4529999999999	6.896164948723308	154480.98328887406	29876.956620167944
