cycles	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
1	0.0028823740780353547	0.0005660932529353697	0.0	0.0	6.089632630348205e-05	6.9921908976043776e-06	149.506	7.536813915707325	198648.60519640564	27592.33741488342
2	0.0028039996325969698	0.0003797411067811161	0.0	0.0	6.60525506734848e-05	8.780550836556275e-06	148.054	9.46812991038881	202762.8455439536	20773.86315635911
3	0.0028637319803237913	0.0004400740355001276	0.0	0.0	6.734304025769233e-05	9.233264894454607e-06	147.598	8.731437224191636	199561.53671008206	24118.667976454894
4	0.0028740017116069792	0.0003848693066269971	0.0	0.0	7.288366734981537e-05	1.362281911764418e-05	140.35000000000002	7.981998496617222	198056.10357529626	21132.247604211567
5	0.0016927289962768554	0.0010080058577350962	0.0	0.0	7.064256280660628e-05	9.677302764628053e-06	147.394	6.875955497238166	514030.1035431243	306080.7752265086
6	0.0006594379991292954	4.089929683898952e-05	0.0	0.0	7.070806249976159e-05	3.3733082265372615e-06	163.8919999999999	4.7829212830653764	856942.296875664	53616.176792481085
7	0.0006551607698202133	1.8242724505915865e-05	0.0	0.0	7.072105959057808e-05	2.275098908787446e-06	165.3419999999999	3.2923298741164793	860094.6761112103	27479.70151556736
8	0.0006539933383464813	1.5399353965498408e-05	0.0	0.0	7.057161167263985e-05	1.933817189405342e-06	154.474	3.0117974699504577	861391.5190748851	22404.849768398723
9	0.0006515008211135865	1.9545596791330072e-05	0.0	0.0	7.026476934552193e-05	2.4379628289387912e-06	155.35	3.4628745284806315	865018.8342553793	28710.527416309425
10	0.0006520672142505645	1.9928399082507116e-05	0.0	0.0	7.033152610063554e-05	2.559447744278629e-06	165.81799999999993	3.3660772421321132	864330.6670575168	30267.867301076916
11	0.0006538571417331696	1.6750351605239797e-05	0.0	0.0	7.046761870384215e-05	1.955259359485207e-06	165.01399999999987	3.807493138536149	861656.5725882435	23958.21818156414
12	0.0006474493443965911	3.191737452248161e-05	0.0	0.0	6.97194367647171e-05	3.99988936814329e-06	164.8999999999999	3.8819067479783262	872290.9074678166	55689.9538161425
13	0.0006481398642063141	2.8598070122307605e-05	0.0	0.0	6.982506901025773e-05	3.617324764733523e-06	165.8599999999999	2.882290755631672	870607.6186780697	44713.86203375357
14	0.0006423131376504898	3.626556470535959e-05	0.0	0.0	6.908523246645928e-05	4.5507794295525886e-06	155.424	3.8598735730590845	880076.5345065143	63460.317752859315
15	0.000644836500287056	2.587390843232702e-05	0.0	0.0	6.9416316896677e-05	3.2384985259188436e-06	155.536	4.14022994530496	874661.5317947912	39235.36023268596
16	0.0006441831588745117	2.984766372045763e-05	0.0	0.0	6.933995380997658e-05	3.7632911046985052e-06	165.18799999999987	3.224508644739511	876293.8032045881	50539.42357156802
17	0.000643763318657875	2.955442537549284e-05	0.0	0.0	6.925348028540611e-05	3.682295641291359e-06	162.128	4.36939538151446	876769.2357306374	48872.29371695795
18	0.0006463674455881119	3.4570588721364196e-05	0.0	0.0	6.954242914915085e-05	4.3196952621240415e-06	165.83599999999987	3.3900300883620167	874288.0886768152	61513.60231132041
19	0.000664992779493332	0.00019932533725736375	0.0	0.0	7.03082211315632e-05	1.2248078119802714e-05	165.08399999999992	3.738040128195467	872003.5462704765	101936.10538538877
20	0.0006216394901275634	5.728446476767214e-05	0.0	0.0	6.69023647904396e-05	7.194415834378133e-06	164.3539999999999	3.677483378616368	915514.5730190128	107310.47966456153
21	0.0006391054391860962	3.420363282440682e-05	0.0	0.0	6.919615805149078e-05	4.275581688861519e-06	163.9119999999999	4.302308217689616	883972.6998863635	57381.83307869185
22	0.0006277774274349213	3.8072070465956865e-05	0.0	0.0	6.781676188111305e-05	4.774700133954127e-06	159.56599999999995	4.982694451800104	900623.4796930449	63156.78111443966
23	0.0006211573630571365	4.408135849679953e-05	0.0	0.0	6.698172762989999e-05	5.523638142608134e-06	154.416	3.455972222110566	911697.7467843216	75490.71827048519
