cycles	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
1	0.006679804027080536	0.0320323311834786	16299824.15	115300745.99598415	0.0006304832939803601	0.003983596850273009	14.245999999999999	6.700976346772165	174753.42428420368	59946.7353758
2	0.0020597756654024122	3.9035112581748796e-05	5047775.38	125981.07677375835	0.0002464481955766678	4.833011265686256e-06	10.2	3.1726747628176623e-15	273429.0787000878	5191.091806214188
3	0.0021547118574380877	0.0005263714241022769	5357969.14	1810270.8409739633	0.0002575439265370369	6.357258174172386e-05	10.228	0.2785964823898526	267813.316568207	27317.60590705373
4	0.0020472814887762068	4.443248249781487e-05	5012142.36	136060.25602655025	0.00024486530482769014	5.177609267752342e-06	10.2	3.142696061245355e-15	275127.7207062614	5943.268891105197
5	0.0020582180470228193	4.129812721147305e-05	5047776.12	130952.42069112584	0.00024632500663399694	5.144003541840828e-06	10.199999999999998	1.578860494311767e-15	273647.9599887958	5503.593086003729
6	0.0020565153658390046	4.050866767496311e-05	5032191.21	120421.83369209214	0.000245841943025589	4.718960395309709e-06	10.199999999999998	1.4540107379219426e-15	273869.12145853316	5337.816406461591
7	0.0020512061566114424	3.818810791909262e-05	5034060.69	124877.9739824197	0.0002456062017381191	4.729445543793246e-06	10.199999999999998	1.5280799322856755e-15	274567.9824266728	5121.759351858102
8	0.0021236439794301985	0.0006142684839338422	5291635.85	2243939.875193867	0.00025494868040084836	7.862764233453957e-05	10.199999999999998	1.3873790429220375e-15	271088.27866570844	21046.46770497855
9	0.0020606977492570876	4.1253445313714654e-05	5074915.32	134550.61160343193	0.000247066272944212	5.188256081982825e-06	10.2	2.8916994303251374e-15	273318.08061221725	5480.15451145964
10	0.0020519255846738814	3.462940865774331e-05	5054007.06	122475.32069709554	0.0002461775131523609	4.328954593284955e-06	10.199999999999998	1.3873790429220375e-15	274454.26944557554	4613.938962326097
11	0.0020585717260837555	3.680607251705881e-05	5070468.8	119611.05964073724	0.00024695059090852736	4.598922731896269e-06	10.199999999999998	1.475552811121985e-15	273578.30609142146	4907.666737172363
12	0.002042822018265724	3.696958808405562e-05	5040697.69	123758.6225479013	0.0002453120122849942	4.587345415690148e-06	10.199999999999998	1.4862067603866002e-15	275690.44902054756	5047.219283399434
13	0.0021037985384464264	0.00018428101033875828	5336390.64	279108.5945056339	0.0002503888967633247	6.455875769880367e-06	10.228	0.27859648238985274	268827.4446493132	14274.351977066151
14	0.0021102966368198393	4.342060186961011e-05	5522168.31	133587.48265744772	0.0002531079606711864	4.942270302586096e-06	10.2	2.5803073537982524e-15	266899.17568432	5449.098918675824
15	0.0021112049371004105	3.6240922071697586e-05	5549453.1	123072.9150319842	0.0002534885805845261	4.536814423365317e-06	10.2	2.670449884045373e-15	266751.50426167605	4611.844882527423
