threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0005221999585628509	1.3517064415504443e-05	1136.64	742.9110568567411	2.0177125930786132e-07	1.4345124388471748e-08	99.9592	0.16856856171896178	1915460.7608016257	49089.98814926566
3	0.0005837258398532867	9.617300386264458e-05	1876.368	701.6661945512268	2.869189977645874e-07	5.90422728863978e-08	127.63360000000002	5.676040084425057	1655340.6872798412	231966.16756977336
4	0.0012984244227409363	2.574398608463715e-05	5552.14	457.9091704694284	8.738243877887726e-07	1.9190497639702553e-08	134.49120000000002	1.9113771370402024	651019.7736580782	20973.26350880162
5	0.0014112728536128999	0.00017691703424312566	4397.288	616.6309277485196	1.0832202136516574e-06	1.2637316000219034e-07	148.3856	1.757075024010069	633537.7478666563	59054.509937800765
6	0.002131296694278717	0.00011287357105138488	5099.76	466.53520167292845	1.8256837725639346e-06	1.1254106868530071e-07	156.8148	1.1769031226061049	425569.4090370601	17685.554157842533
7	0.0024386633634567263	7.880669096055366e-05	5057.872	472.59192504316024	2.2597286999225618e-06	8.444491294981824e-08	162.5776	1.479938593320682	376291.81770180725	12568.35890588942
8	0.0027378216981887816	0.00013559984953756077	5029.12	540.1862804625827	2.774321377277374e-06	1.636319274771463e-07	167.414	1.3515931340458904	338370.3413797864	17415.862131630354
9	0.002957462936639786	8.722716435984656e-05	5091.168	532.2167112896775	3.2597183883190156e-06	1.3860276034676805e-07	170.58719999999997	1.4226159566095096	314660.8128071392	9542.577740123816
10	0.00305109229683876	7.464975066755513e-05	4702.26	531.7104478943403	3.6532489955425263e-06	1.3611164210436192e-07	173.1888	1.3184667458832624	305576.3936344935	7317.237022269763
11	0.003059626966714859	0.000138905529783819	4286.016	530.7989221390715	3.917884677648545e-06	1.8500103748799173e-07	174.26839999999999	1.76451733910438	305692.9153938233	13401.299907769782
12	0.0030162372589111327	0.00019164003630821384	3766.272	487.53009960001447	4.112145185470581e-06	3.415851490605688e-07	176.99280000000005	1.4322388627599854	313227.5099001916	20675.454431560636
13	0.003222780704498291	0.00011874385041365318	3844.84	468.4622827933963	4.70897364616394e-06	2.417922015484474e-07	177.29439999999994	1.5770252502734392	291369.7513916565	10195.309735950445
14	0.0033288186192512513	7.770520560848284e-05	3728.492	469.15056211838856	5.16769003868103e-06	2.1029480334295815e-07	179.41359999999995	1.602739854124806	283436.20987436804	6533.404243136604
15	0.0033995461761951447	0.00012492268245534996	3601.488	442.6806093065293	5.522832244634629e-06	2.723923601306366e-07	179.8839999999999	1.5883274221645876	277363.3108346216	9632.031748867346
16	0.003455034852027893	7.712127350264369e-05	3400.332	394.7852755308891	5.8350861072540285e-06	2.1468653787957975e-07	180.50559999999993	1.644228889175713	271587.45337349235	5598.374090252888
17	0.0034577827155590057	0.0001151472023447485	3185.464	425.4026618440463	6.188506990671158e-06	2.901286901390309e-07	180.3268000000001	1.7413218427390218	270422.3667191807	8292.606921814777
18	0.0036002286076545716	8.100092671474129e-05	3034.82	416.6853052364578	6.60941144824028e-06	2.5587999742363096e-07	182.0296	1.8688402392928098	261528.8962129465	5603.77736039633
19	0.00355391463637352	0.00014070218077160389	2809.916	368.9884726437941	6.685241520404816e-06	3.178081675260492e-07	182.49159999999992	1.6854582284945503	265370.82712297194	9706.287820159956
20	0.0035528795421123503	9.570610521938095e-05	2701.096	315.1929294638444	6.863491237163543e-06	2.7337249764973565e-07	184.7852	1.5114433366818645	266945.6518391669	7261.111111096679
21	0.003573109447956085	8.924478230349793e-05	2551.12	325.07013643212446	7.114374399185181e-06	2.7391594756969474e-07	183.8695999999999	1.7026202864996018	265063.60160284815	6238.7822366005375
