threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0007861660122871399	0.0003222943499474744	18382.024	1987.7215316598047	9.314138889312744e-07	3.015324653470394e-08	3.0063999999999997	6.592799029243953	1303224.7870900107	76969.74794536049
3	0.0011113932430744172	0.00044689499227339716	52669.94	26782.596578980167	2.5373161435127256e-06	1.0411974522211598e-06	3.268	2.9493212778536013	1031660.5639358375	325478.89476548176
4	0.0015290777385234833	9.134722046803831e-05	278878.972	10870.00578266709	4.978340417146682e-06	2.8176425575789526e-07	0.9712	0.8735505480508842	658274.9053386304	38917.828719480174
5	0.001532993197441101	0.00030401374687031966	191629.9	82824.80528408142	6.491584360599517e-06	1.4998614325224415e-06	0.9311999999999999	0.6727158092389386	661473.8539624178	34508.337358205456
6	0.0015160431265830994	2.4615693136738348e-05	232549.704	5495.151696576174	7.922427028417587e-06	1.3364796808614388e-07	0.5928	0.6880320922747716	663084.2510548627	10740.79708282767
7	0.001391946017742157	2.2323816671876968e-05	322068.504	6830.793927647356	8.597936064004899e-06	1.2696443836978205e-07	0.6484	0.37991767529295084	722913.0422447454	11472.516315625111
8	0.0014475782811641693	2.3669497670002024e-05	356069.38	7479.809011706115	1.0391891330480574e-05	1.6229051332193617e-07	0.7888	0.27297355183240746	695827.0230551508	11167.145254643674
9	0.0015024339854717256	7.773491874072353e-05	639737.232	25181.399320970548	1.2228187054395675e-05	6.395107603426025e-07	0.3296	0.44918129969979825	672828.3575871873	37075.69384316351
10	0.0015519002676010131	3.508351566666364e-05	503611.772	10147.540864663517	1.4146981686353685e-05	2.7496153070493297e-07	0.9663999999999999	0.163679687194227	650486.0939821257	13989.014729009472
11	0.001622376561164856	0.00029186354145977535	570481.892	126389.105711182	1.6415652602910996e-05	3.1852997209226836e-06	0.9596000000000001	0.29544515565498786	628529.0984264171	37409.57209180423
12	0.0015843025147914886	2.358269076993728e-05	844215.976	15553.21349276168	1.7555098533630376e-05	2.511214245370594e-07	0.39239999999999997	0.1911602469134208	638276.7783962741	9481.089410412265
13	0.0016116546094417572	4.0018403566940664e-05	697776.748	18713.781795577717	1.9431263089179993e-05	4.734857113379541e-07	1.1183999999999996	0.06497260961359029	628309.8628830923	15462.678703931308
14	0.0016982092261314393	3.2725429860076946e-05	758502.992	15740.359162609218	2.2126751244068145e-05	4.1996000897567696e-07	0.5611999999999999	0.17588223332673483	596733.7353126548	11577.415529421167
15	0.0014864881932735443	2.8081365417042444e-05	841267.436	15427.032470501383	2.077309322357178e-05	3.8023915420234243e-07	0.9292000000000001	0.09585071726387866	682388.8454355088	12932.677319037739
