threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.00044094714522361755	0.0003936976740634887	0.0	0.0	4.7667133808135987e-07	1.1684348620452425e-08	98.74719999999999	5.6561340295293565	2397863.7236789693	148949.97861921566
3	0.0005846543312072754	5.660297469840158e-06	0.0	0.0	1.2207146584987642e-06	6.270299560642259e-09	132.284	0.8108168720494168	1713978.6109933043	15034.351176732187
4	0.0006050667762756347	5.1438829907255904e-05	0.0	0.0	1.802931159734726e-06	1.9151565679406695e-07	116.97120000000001	24.11692622537126	1669077.5235136945	134224.43860760503
5	0.0006876133978366851	6.264473276710111e-06	0.0	0.0	2.7743342220783236e-06	8.870841160622389e-09	155.70479999999998	10.251870900474707	1460231.5344810288	11946.249615866078
6	0.0006984722316265106	4.791741484416101e-06	0.0	0.0	3.4960177242755894e-06	1.6367292925827437e-08	161.6	10.698811148908087	1438919.0670467264	9400.660568391751
7	0.0007080661356449128	7.138918729463737e-06	0.0	0.0	4.235552251338959e-06	1.4159488978911257e-08	167.20919999999998	8.091978457707356	1420899.2937523092	12715.246418528865
8	0.000971132755279541	0.00017168733226818753	0.0	0.0	6.682512491941451e-06	8.90631859377776e-07	110.6312	24.250439718899948	1062920.02712995	168307.8780445149
9	0.0007397415637969971	0.0001157036325903554	0.0	0.0	5.769579321146011e-06	9.402249200511773e-07	144.746	12.711255012782962	1389232.0142546482	172211.50111614508
10	0.0009139218032360077	0.00024149103288215081	0.0	0.0	8.042593657970429e-06	2.1775307971990368e-06	147.7336	9.329068069212491	1183252.5204511776	301734.7705712607
11	0.0011550827920436858	0.00011190458735592688	0.0	0.0	1.1340465784072877e-05	1.108833151577814e-06	143.272	9.466594741510804	885809.9970897271	118516.59107572093
12	0.0008683876991271973	0.0002108220631514244	0.0	0.0	9.302775830030441e-06	2.34368706181602e-06	159.342	7.871322379371833	1233524.8969632396	286708.24154608167
13	0.0008470832407474518	0.00020142086410415575	0.0	0.0	9.868912994861604e-06	2.425968484870546e-06	156.2356	8.805732941669305	1251589.3019801215	241111.45428481643
14	0.0008707313239574433	0.00022491266292557364	0.0	0.0	1.0975823163986206e-05	2.9083853096129354e-06	157.4008	10.027861155799872	1230763.6878607455	262477.465833608
15	0.001155918598175049	4.784210401946551e-05	0.0	0.0	1.5729108512401577e-05	5.896974445407599e-07	156.07240000000002	13.044971377507887	878618.4065192876	44923.52422711498
