threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0008618264794349671	0.0004290742477101805	18984.824	3133.9875087536643	4.242151975631714e-09	4.3153856326194616e-08	1.122	6.777459406001632	1195435.9551168762	71017.51072792854
3	0.0016323698163032531	0.00019713089712516835	78061.156	10586.590113330354	8.866757154464721e-09	1.8486644796353252e-09	0.37639999999999996	0.8605364838285476	624795.5557180252	91449.40552081741
4	0.0018105830252170562	0.0002219315330597495	365826.112	73748.14589216094	1.8549472093582153e-08	2.109877479542771e-09	0.3188	0.10810439399025372	558859.166545775	47738.58671911822
5	0.0018900246024131774	0.00033835702956210706	345197.968	68788.88704649157	3.43015193939209e-08	6.877360643714971e-09	0.342	0.053999999999999986	550232.0427222799	108605.81417934006
6	0.0021021086275577546	0.00013193328868338922	340103.756	26364.820698962925	5.7889491319656375e-08	6.132157650385264e-09	0.2676	0.05167436501786937	479812.60120614286	30078.40174437398
7	0.001956226199865341	9.95614401768814e-05	551174.564	59774.08116772607	7.553890347480774e-08	6.656938489272899e-09	0.4564	0.05038888766384905	515380.26306320087	26584.626830400797
8	0.0022040324807167055	0.0001294454310285548	622512.472	54644.30259546933	1.1269986629486084e-07	9.856657077245618e-09	0.6875999999999999	0.5987706071610397	458144.94675982767	25454.64643231563
9	0.002321191310882568	0.00011173237451771725	1137094.4	76243.74234104724	1.5470752120018006e-07	1.2029067184269842e-08	0.0412	0.05676759639089893	435108.2349453643	21046.61257065973
10	0.0022954632043838503	0.00011995004145746087	997492.1	70064.89434118915	1.9108867645263674e-07	1.507466954684381e-08	0.8372	0.04833383907781378	440503.7964749516	23315.087663974275
11	0.0023515651822090147	0.00012309997512888966	922601.36	67514.26434043699	2.3927760124206544e-07	2.0263623746850103e-08	0.8532000000000001	0.04989749492710029	430483.8492270577	22638.63084470662
12	0.002338904857635498	0.00016391502883189165	1373620.552	99083.3799392779	2.890410721302033e-07	1.9187459097319853e-08	0.2656	0.048338804288066556	433629.1004559543	22895.858747018116
13	0.0023480989933013915	0.00011649601296925983	1214342.332	69624.93069122422	3.415186405181885e-07	2.518000390842204e-08	1.0612	0.04872945721019267	431890.71362434555	21628.41995183744
14	0.0024090116918087006	9.821397681147995e-05	1166845.884	55925.4777152466	4.1191408038139344e-07	2.6389957591697743e-08	0.4688	0.04633098315382481	421074.1825237447	17215.888921741145
15	0.002365738183259964	9.430543996722774e-05	1486481.2	70064.32256285648	4.6197625994682306e-07	2.779981652577051e-08	0.8556000000000001	0.04968541033341677	429106.0044268274	16950.76000324163
16	0.0023732742965221405	0.000164632670203295	1450301.444	127725.5855310081	5.293384194374084e-07	3.711787401038754e-08	0.6623999999999999	0.04843800161030592	429113.02508476045	23939.57062308036
17	0.0023965755999088285	0.00010086548121338798	2092061.264	89978.0059526677	6.055102050304412e-07	3.650264712901103e-08	1.3	0.6039867548216603	424521.4929130809	17716.77249118342
18	0.0023567068576812746	9.815646810378303e-05	1780742.704	84221.07900425156	6.76464706659317e-07	5.741547481648055e-08	0.858	0.049355850717012255	432101.39453986584	17966.87511683867
19	0.002294385015964508	0.00015515146964751274	1695481.716	135615.74768111313	7.311458587646485e-07	6.184390310683632e-08	1.0711999999999997	0.07570046234997511	445448.1386831104	28582.34402025785
20	0.002211525857448578	0.00010348570266476642	2217348.8	115513.24331047069	7.863845825195313e-07	5.257821434713644e-08	1.8492000000000004	0.04999359959034759	461532.18805959116	21294.248845227223
21	0.002197720557451248	9.303259895941309e-05	1904185.328	82397.89581374281	8.558905720710754e-07	5.5813632677035573e-08	1.1559999999999997	0.049638694583963465	464753.6032768802	19798.774244745495
22	0.0021602950990200044	0.00011042247438689314	1901046.2	94283.06122650027	9.26837682723999e-07	6.775525123303255e-08	0.8647999999999999	0.047759396981117745	473673.3511299577	23897.41297436581
23	0.002038092702627182	9.600826959308159e-05	2016342.392	101699.85014477816	9.530110955238342e-07	6.287276851769587e-08	0.9575999999999999	0.05022190757030241	502341.830365429	23460.379719319288
24	0.002006446361541748	9.572902416259982e-05	1957115.116	90772.69854386033	1.0224451422691343e-06	6.907331055947086e-08	1.4576000000000005	0.06842689529709796	510727.46375831036	23180.674057349
25	0.0019492639899253846	9.683970017361624e-05	2312786.272	119434.69529866945	1.0950495302677153e-06	8.196434698689331e-08	2.3572000000000006	0.04947888438515974	526395.5703125421	25996.467053074066
26	0.00197764053940773	9.175989333219045e-05	2146523.2	110687.84821581817	1.1799255311489108e-06	7.733064670588872e-08	1.0588	0.04921950832749144	519192.5036709883	23886.971040114342
27	0.0019897596836090086	0.0002444975659556951	2222545.984	307941.0079219456	1.285754919052124e-06	1.5905999528988853e-07	0.026	0.04476605857119879	519264.88878162234	34927.5285383126
