threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0004012983441352844	1.0713463740076132e-05	0.0	0.0	113680.60319788137	5.8304620918385436e-05	100.1	0.0	2496100.6571323406	63771.61878975083
3	0.0004506553411483765	1.7049456915179038e-05	0.0	0.0	170520.90511855215	9.816532650188204e-05	133.40000000000003	2.842170943040401e-14	2226536.2700679493	82488.34043019974
4	0.0006431484222412109	4.656223587548971e-05	0.0	0.0	227361.20737064618	0.00019075442453376606	150.29959999999997	0.006311893535225236	1569350.0853672405	135949.04180527822
5	0.0006509725153446197	6.0690065784542745e-06	0.0	0.0	284201.5100373182	0.0002361444379926571	160.4	0.0	1542430.5487913175	13182.275024384562
6	0.0010661720633506776	0.0003232350924662362	0.0	0.0	341041.81332375197	0.0004657053143474451	166.8	2.842170943040401e-14	1061800.4977751577	395657.2816656155
7	0.0010684376657009126	0.00020568174342121812	0.0	0.0	397882.11742736807	0.0005420212810259077	171.49999999999997	0.0	979149.5165215764	205447.14054124698
8	0.0007473527491092682	0.0002300671863057061	0.0	0.0	454722.42174099945	0.00042876226305102043	175.7	0.0	1451110.2813573733	337879.3995399609
9	0.0008336822390556336	0.00026819216610832934	0.0	0.0	511562.726225671	0.0005251573233996878	178.4	2.842170943040401e-14	1324320.458161124	358946.75205291976
10	0.000889697790145874	0.0002825777114824509	0.0	0.0	568403.0312604908	0.0006597964886208966	180.89960000000002	0.006311893535223442	1252932.1029454733	375240.52862639463
11	0.000799026608467102	0.0002563684461977969	0.0	0.0	625243.3367448082	0.0006133357650817428	181.90000000000006	5.684341886080802e-14	1373207.4811355951	340958.05220288975
12	0.0009780842363834382	0.0002853573418115147	0.0	0.0	682083.6428455128	0.000862318880985903	184.00000000000003	2.842170943040401e-14	1139726.1279724182	364921.28099599533
13	0.0008358542621135712	0.00027655675755805726	0.0	0.0	738923.949279752	0.0007632622950188375	184.69959999999992	0.006311893535223442	1327295.0194500634	353096.77503861167
14	0.0007148135602474213	0.00018148427225763436	0.0	0.0	795764.2558898914	0.0007266693234359563	186.39919999999992	0.008908422980527526	1475791.7191662048	231919.53284900868
15	0.0006976201236248016	0.00018323899412775482	0.0	0.0	852604.5625751202	0.0007545403922571522	187.09919999999988	0.008908422980527532	1521539.1826767698	260714.0684491861
16	0.000696217805147171	0.00018575601639679972	0.0	0.0	909444.8695051908	0.0008130448038316373	188.19959999999986	0.006311893535223441	1530656.3265264172	273531.09493930195
17	0.0009768520891666411	0.00023906461901228326	0.0	0.0	966285.1773057628	0.001215567738379534	188.49120000000008	0.028329489935407678	1113185.2171484495	314556.7849345047
18	0.0008514308631420135	0.00023572962948094592	0.0	0.0	1023125.4863215245	0.0010864238057520029	189.58519999999996	0.038742225026446656	1290212.2357340457	347850.4555410638
19	0.0007863790392875672	0.00022255881174914092	0.0	0.0	1079965.7947958163	0.0010821384207568153	190.09879999999987	0.010888526071052342	1382544.4426499405	312194.623308927
20	0.0007139766812324523	0.0001889672549663168	0.0	0.0	1136806.1035751342	0.0010408453881367433	191.89919999999998	0.008908422980524995	1498848.7610751977	271871.59724695305
21	0.0007109048664569854	0.0001820049922919355	0.0	0.0	1193646.412529306	0.0010757993607531922	191.19879999999986	0.010888526071055437	1502594.4973287124	266156.51186713914
22	0.0007141412496566772	0.00017220776407637247	0.0	0.0	1250486.7218204844	0.0011418851698048805	191.99759999999998	0.015304901175770672	1490709.1858552115	255229.6278353555
