threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.00076561039686203	1.4633479261863846e-05	61147.88	1264.992405352696	8.79436731338501e-10	4.08212299852707e-11	100.1	0.0	1307932.2721667967	25050.576934785713
3	0.0006626731753349304	0.00022037032113650257	29689.94	7287.855127566683	1.2814104557037354e-09	4.334186500076053e-10	133.40000000000003	2.842170943040401e-14	1609159.5550202874	293216.06924157037
4	0.0015203726589679719	1.4331920356924699e-05	61782.776	4985.152169174377	4.14121150970459e-09	3.5892015168108664e-10	150.3	0.0	659768.1470908129	6542.062241059815
5	0.001583731770515442	0.00010799710857123572	46182.928	6987.577698374165	1.207450032234192e-08	1.0476908475046392e-07	160.4	0.0	636711.8927198057	42218.360317827304
6	0.0018457625508308411	2.2277197756144404e-05	46070.256	2494.32932678586	7.3229670524597166e-09	5.466496424904946e-10	166.8	2.842170943040401e-14	544568.5748068218	6478.3153166115335
7	0.0030537666976451876	0.00013812589870573278	76034.276	13615.10167629401	1.3359606266021729e-08	1.790173665806408e-09	171.49999999999997	0.0	330166.3287154456	16357.273589804841
8	0.0032423291206359864	0.0001477176841780768	59824.216	13138.002027452423	1.695108413696289e-08	1.6503488685672985e-09	175.69959999999998	0.006311893535223442	311000.0407310381	9465.920539479428
9	0.003547922134399414	0.00013879159840677867	60153.52	11454.276849526555	2.1701127290725707e-08	2.4027083829124075e-09	178.4	2.842170943040401e-14	284566.6085657965	11695.22467718641
10	0.0038284968137741087	0.00016820370479783228	62873.728	14201.10883973558	2.4967759847640993e-08	2.2705989091120666e-09	180.90000000000006	5.684341886080802e-14	264075.11004970677	11969.225223486019
11	0.0037567213773727418	0.00010926165189347319	44172.704	11827.982301321896	2.6004284620285033e-08	1.8718606594188976e-09	181.90000000000006	5.684341886080802e-14	269074.07612877607	7657.82581868613
12	0.004056108057498932	0.00011297433056309777	53461.12	13303.695168546219	3.181430697441101e-08	1.871805821852315e-09	184.00000000000003	2.842170943040401e-14	249448.58072321935	7003.108565149856
13	0.004585080891847611	0.00031759783467220074	60481.648	14688.357527378479	3.686845302581787e-08	3.550357620665054e-09	184.69959999999992	0.006311893535223443	221680.14998257972	14022.084034274181
14	0.004994057714939117	0.00027242925407671857	54928.076	13662.08751802681	4.574456810951233e-08	3.62671589732828e-09	186.39999999999992	0.0	203446.48059966232	11160.643811187787
15	0.005416299819946289	0.00025676127771949756	62127.908	9628.718850373398	4.9903929233551027e-08	3.7667736377137546e-09	187.0999999999999	0.0	187603.83543015254	8332.31132763843
16	0.005442359775304794	0.0002625942377339901	65854.716	12975.81692670423	5.462479591369629e-08	4.2347058136908765e-09	188.19999999999987	2.842170943040401e-14	186929.82113703477	8937.537937106836
17	0.0056499788165092464	0.0002556311575147266	52519.316	6740.709397099388	5.644291639328002e-08	5.447241623430107e-09	188.50000000000009	2.842170943040401e-14	180161.19267029408	7536.845029341855
18	0.005734675288200378	0.0002654827775367385	50421.456	5998.952059156999	6.300964951515197e-08	4.85940933471741e-09	189.59999999999994	5.684341886080802e-14	177723.608462937	8257.01316631465
19	0.005772077053785324	0.0002832403711933032	45599.592	7060.975287985081	6.430983543395996e-08	5.44264708415482e-09	190.09999999999988	0.0	176738.09337929465	7696.420565296596
20	0.005622238337993622	0.00030641843118713925	32716.968	6378.363369311598	6.69088065624237e-08	7.353588963518599e-09	191.9	2.842170943040401e-14	181783.57873229106	9916.270741450498
21	0.005607531130313873	0.00025539335768764656	32301.164	6907.445262693292	6.8516343832016e-08	7.109277636920939e-09	191.19999999999985	2.842170943040401e-14	182269.356487712	8169.094632543054
22	0.005715250700712204	0.00020360892097401106	32765.328	5806.280036341341	7.381978631019592e-08	6.668809809529875e-09	192.0	0.0	178868.82622955326	6296.197165702257
23	0.005719776719808578	0.0001941215162739535	32880.616	4308.421344825039	7.665985822677613e-08	6.973691139014892e-09	192.40000000000012	2.842170943040401e-14	178880.24561125107	5958.875360112358
24	0.005789924055337906	0.0002478287539535938	30518.492	4383.115121684121	7.904547452926636e-08	8.122207397932172e-09	192.39999999999984	2.842170943040401e-14	177007.06941373218	7507.36820170333
25	0.005897145628929138	0.0003249144303533695	26432.364	2696.086900584623	8.560797572135925e-08	8.71050357028364e-09	194.40000000000006	5.684341886080802e-14	174056.5474817738	7744.564785793297
26	0.00587991601228714	0.00021046807763327777	25178.632	4050.4068181574057	9.00755226612091e-08	8.372489478133834e-09	193.60000000000016	0.0	174542.01676067797	6148.3263928653005
27	0.005944153279066086	0.00020865705186981812	23627.476	2637.439670859601	9.404069185256958e-08	9.65829260326434e-09	194.99999999999983	2.842170943040401e-14	172815.24850971298	5956.137104340888
28	0.0058472568690776825	0.00020160926499632707	24036.788	3506.9885781188395	9.228631854057312e-08	9.264677877258893e-09	193.59999999999994	5.684341886080802e-14	175842.6940456999	5950.217146115271
29	0.0059327749609947205	0.0001828921621482219	22627.092	2430.6053096988003	1.0241103172302246e-07	1.0377479605018832e-08	194.50000000000014	0.0	173434.847870411	5204.301989182608
30	0.005896680176258087	0.00019284176262865667	20335.34	1970.2538395851434	1.125377118587494e-07	8.8980163621659e-09	195.20000000000024	2.842170943040401e-14	174689.7212579768	5655.753206072882
31	0.005860822200775146	0.00018782891431658725	18651.284	1410.5324992158105	1.1833301186561584e-07	1.00136783918708e-08	195.69999999999976	2.842170943040401e-14	175920.8344489163	5546.577537494347
32	0.00588128912448883	0.00017663687124431645	17842.456	1429.5863849603493	1.204257011413574e-07	9.843844665398303e-09	195.99999999999983	0.0	175457.8765704608	5204.821369596086
33	0.006002859622240067	0.00015546283996310635	16402.7	1125.9037942915018	1.241210103034973e-07	1.154128683897652e-08	196.09999999999994	5.684341886080802e-14	172033.1785029363	4448.212595066474
34	0.006076659083366394	0.00019369045751990675	16276.028	1355.9395691608088	1.2123104929924012e-07	1.2402266676746054e-08	196.00000000000017	0.0	170161.71556306578	5250.274425165783
35	0.0060981129705905916	0.0001992566837733209	15509.08	1057.0940703646008	1.1937603354454042e-07	1.1733626619684335e-08	195.70000000000024	0.0	169735.66764093863	5366.315739976039
36	0.006336731016635895	0.0004300875828378278	15778.788	1253.6068056037348	1.2426832318305972e-07	1.4375498106653543e-08	195.19999999999976	2.842170943040401e-14	163815.0084811092	7469.203452738666
37	0.006231477797031403	0.0002013840724909195	15515.82	1246.6215671165007	1.3399678468704223e-07	1.3407460283417433e-08	197.99999999999972	2.842170943040401e-14	166422.2055215474	5253.027003346849
38	0.006326606839895248	0.00019808513845664686	14669.588	1045.9137413075707	1.4648762345314025e-07	1.1461005746761017e-08	197.19999999999976	2.842170943040401e-14	164068.17869686327	5030.754435823167
39	0.006471066236495971	0.00022226823194055603	15059.48	1205.0129068188442	1.3778951764106753e-07	1.441436037346652e-08	196.2	0.0	160594.62601708394	5488.942775423435
40	0.006571980893611908	0.00021424972894593816	15224.796	1383.9280770271264	1.4386066794395446e-07	1.6663844793066304e-08	198.90000000000006	5.684341886080802e-14	158261.69532703963	5107.489772461343
41	0.006848303377628326	0.0001874030275375508	14410.524	1118.001607075768	1.5728160738945007e-07	1.5256175321214055e-08	197.50000000000017	2.842170943040401e-14	151972.63132882267	4035.8388924242863
42	0.006774392664432525	0.00018264599470339568	14219.584	1237.1594573635202	1.5119791030883792e-07	1.530421962132142e-08	196.00000000000028	0.0	153778.22478473288	4131.691967791969
43	0.006828451812267303	0.00016817049296524527	13729.648	1031.255050943267	1.7473319172859192e-07	1.5025289261522978e-08	198.40000000000035	2.842170943040401e-14	152689.20063877528	3753.30384361314
44	0.0068066447973251345	0.000219160486465009	14290.6	1377.3935443438088	1.5724745392799377e-07	1.591830784647824e-08	196.59999999999965	2.842170943040401e-14	153388.27718908284	4844.1676604357
45	0.006891684204339981	0.00017636489099508423	13899.944	1265.9245273174859	1.8649896979331968e-07	1.6512606575409595e-08	198.89999999999966	0.0	151585.7252379252	3864.845359426976
