threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0005428094863891602	0.00030629484388094156	3619.528	95.3880140059536	5.927761793136597e-07	2.353999631857649e-08	81.6536	32.070832964548956	1907989.4372005642	127109.34093534033
3	0.0005846236348152161	5.95841670041541e-05	7442.492	1418.1216428557882	1.1972420513629912e-06	1.438626757494749e-07	86.546	32.80327428779024	1733126.371512596	193909.93822692832
4	0.0007838065922260285	1.4018967691389031e-05	3041.492	86.82544521049115	2.3977738618850707e-06	3.81522407714843e-08	146.596	7.849284298584171	1280044.1843477408	21917.036254598966
5	0.0010503696501255036	3.571968104632317e-05	4034.344	218.2640274163381	4.234611421823502e-06	1.250764334192015e-07	141.42079999999999	21.60414514300439	956580.66160083	21402.730739035233
6	0.0012764960825443269	8.217729339452512e-05	9363.74	4328.0040323918365	6.377907514572143e-06	2.0356474161654954e-07	158.6516	13.135464112089839	789396.8191846202	33793.7716966884
7	0.0018890631794929505	0.000279991265636419	6160.416	364.66785290727233	1.1309728473424911e-05	1.675862640498023e-06	162.776	12.100640644197313	547314.6448611032	100097.74049891382
8	0.002165697902441025	0.00012732729864753375	7196.624	452.9714986883833	1.5106084585189819e-05	8.945952157122645e-07	165.3232	11.37694254885732	466400.60075766133	24711.798833576184
9	0.002510770946741104	0.00034244426545596885	8618.536	2286.137469336435	1.999430218338966e-05	2.7414012078215025e-06	167.11960000000002	10.639701868003636	407746.69788329134	47540.96904869135
10	0.002973616361618042	0.00023136581303720966	9400.4	885.5348575860806	2.6614943474531173e-05	2.0280814711789102e-06	168.9104	10.059171528510689	341013.12454658817	22094.268591236356
11	0.003166497856378555	0.00023408966535910707	18913.188	3000.368998749321	3.148743817210198e-05	2.3347749998221655e-06	168.26440000000002	9.10386141370792	320225.02137284534	17637.811036800795
12	0.0034251128435134888	9.437050642017562e-05	11317.244	200.60773779692548	3.745414131879806e-05	1.0288126416728447e-06	170.4384	7.439503037165854	295398.70624109363	8206.312866649803
13	0.003699771881103516	0.00033116260587147595	12677.636	1737.7146668840662	4.41027105152607e-05	3.958577997653033e-06	173.08640000000003	7.266023330543334	275344.3823654206	20634.547884726202
14	0.004190006464719773	0.0003028506068653711	21923.984	2419.881269761804	5.411231786012649e-05	3.930462857918386e-06	172.3328	6.5453650898937665	242713.85411520887	13491.514425302457
15	0.004439112216234207	0.0005557186223729175	15506.512	2730.0322155344616	6.171543794870377e-05	7.77847180478949e-06	172.9592	6.524698871212373	231286.8228220818	23023.340601387798
16	0.004879899978637695	0.0001662010523017229	15608.764	618.2411085523188	7.268049353361129e-05	2.5043404706964364e-06	173.44239999999996	6.269516906429079	208235.0182062363	7047.116742750899
17	0.005251292020082474	0.0006466010807649284	17888.0	3089.878987921695	8.343837803602217e-05	1.0337587237210794e-05	171.53759999999994	4.362112589101747	195896.63820351713	19758.68390112657
18	0.005556138426065445	0.0010000020260865178	20480.416	4329.621568098533	9.369496643543243e-05	1.7020495660978305e-05	173.41840000000008	6.161524278942677	187950.58010238718	27827.205469825105
19	0.005815156102180481	0.0012324774225985341	28183.776	7119.1305692355445	0.0001039013454914093	2.2203781533282305e-05	171.86999999999998	7.350114284825772	181427.15457959173	30711.309761545483
