threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0008098212480545044	3.0681865105331654e-06	50379.392	720.1588146624327	8.822736144065858e-07	1.0507955854221856e-08	100.1	0.0	1236092.2375258387	4485.080173773434
3	0.0007008570730686188	0.00015218358516886079	15244.712	5599.840561753165	1.3992154002189636e-06	3.42642430563731e-07	133.39960000000002	0.0063118935352234435	1489036.7598802345	275000.6232547942
4	0.0013646808564662933	4.948691259125335e-05	24026.62	2538.997051514633	4.151250571012497e-06	1.4852110879634147e-07	150.3	0.0	735964.3962103332	27425.516460004717
5	0.0013863915205001832	7.949196130727859e-05	19458.652	1249.0419251954675	5.587759673595429e-06	2.467904384586357e-07	160.39880000000002	0.010888526071052342	726075.0123016675	34489.64102185459
6	0.001860592246055603	2.9082700748838015e-05	25014.7	1096.8965065128068	9.339520007371903e-06	1.3839086019183558e-07	166.8	2.842170943040401e-14	540284.5955148478	8579.974160203377
7	0.0028037766814231874	0.00025759456799945925	19212.46	3264.7543258873247	1.6822282165288926e-05	1.557621578371013e-06	171.4996	0.006311893535223443	362742.13812982716	44014.62229683032
8	0.0027537560760974886	0.00017842197862572213	27319.604	6818.396363308898	1.9255803972482678e-05	1.2521853467089044e-06	175.69959999999998	0.006311893535223443	367161.69962898496	22919.700326948496
9	0.0031627705693244934	0.00022422904524945688	22042.832	4371.28487515696	2.5254275202751154e-05	1.8148341154469147e-06	178.4	2.842170943040401e-14	320328.63634545985	22951.72697952305
10	0.003516040414571762	0.00018506328361598875	24737.492	7231.374302712867	3.157542437314988e-05	1.6616771307536388e-06	180.90000000000006	5.684341886080802e-14	287773.7241073038	15288.915391205823
11	0.003589516431093216	0.0003445483323142505	26902.144	11441.311606772364	3.578050255775451e-05	3.433318335776752e-06	181.90000000000006	5.684341886080802e-14	283960.290511808	27021.768166430174
12	0.004140187561511993	0.00019013807891356656	35167.904	16365.211819429163	4.538783314824105e-05	2.1035783858144183e-06	183.99960000000004	0.006311893535223443	244717.8958203517	11498.44254270649
13	0.00427485927939415	0.00026381896658799386	32980.996	18930.89035127466	5.1054074764251704e-05	3.014013962246529e-06	184.6999999999999	2.842170943040401e-14	237580.90506155172	13796.399182196963
14	0.004728612065315246	0.0002920140212308435	35551.92	12165.65921377054	6.121961852908136e-05	3.7849198977417942e-06	186.39999999999992	0.0	215091.8524262714	14021.065603594685
15	0.0049075445830821995	0.0002559348288862953	29936.864	10315.262895220074	6.83990023136139e-05	3.5795130442927868e-06	187.0999999999999	0.0	207182.32276606542	10791.590293481284
16	0.005011645078659058	0.00016472240446544493	22490.508	5271.155556226358	7.482009935379027e-05	2.45478419821109e-06	188.19959999999986	0.006311893535223441	202749.21250923065	6755.0627116559235
17	0.005381730824708939	7.730205641678804e-05	17334.272	1631.2062328277195	8.570272287726402e-05	1.2471325877848421e-06	188.50000000000009	2.842170943040401e-14	188825.7075706673	2706.242823999728
18	0.005395820498466492	0.00013091254748655003	17083.568	5463.925319893749	9.124943387508391e-05	2.1900550936793607e-06	189.59999999999994	5.684341886080802e-14	188587.46316440625	4465.129989841392
19	0.005488684087991714	0.00011067454313313503	15597.728	1544.6166301111741	9.825425109267234e-05	1.9694220335785658e-06	190.0995999999999	0.006311893535223442	185544.05379365772	3591.72072705275
20	0.0056012442409992215	0.00015329617428527917	16721.488	5682.504002449625	0.00010576801627874374	2.8916091617272435e-06	191.9	2.842170943040401e-14	182062.2334672988	5059.729774240945
21	0.005681145131587982	0.00016491268980938715	20212.152	7489.915378486996	0.0001128675855100155	3.2774937827145613e-06	191.19999999999985	2.842170943040401e-14	179692.95265820617	5228.139398772832
22	0.005728431135416031	0.00017711947219639735	20929.632	8540.94063862851	0.00011942845943570137	3.631236985641544e-06	192.0	0.0	178405.13955594753	5547.438281843821
23	0.005578063011169434	0.00011364467777901542	10379.192	3766.189579287798	0.00012172692587971687	2.4463429001421274e-06	192.39960000000013	0.006311893535223442	183291.0971933824	3641.211824373498
24	0.0056398573517799375	0.00010840194027169367	11186.672	4003.7555495329634	0.00012873096296191216	2.4643970303909736e-06	192.39919999999984	0.00890842298052753	181453.07025016195	3483.169972960971
25	0.005746199697256088	9.090822819956941e-05	9393.868	628.4353797933404	0.00013682118159532547	2.157135664852613e-06	194.40000000000006	5.684341886080802e-14	178249.22777483898	2813.102199217378
26	0.005850739270448685	0.0001006730561628021	9613.164	770.8074682461245	0.0001450838862657547	2.489173545072366e-06	193.60000000000016	0.0	175242.47497857676	2963.2575927246467
27	0.005883145570755005	8.388106185684013e-05	8692.128	408.2220469499413	0.0001516090302169323	2.3611613597995966e-06	194.99999999999983	2.842170943040401e-14	174431.93272957864	2485.593322453147
28	0.005899241268634796	0.0001601617509484512	11411.788	3937.7698123501327	0.0001577913915812969	3.852434320373697e-06	193.59999999999994	5.684341886080802e-14	174216.17823755517	4661.993865309483
29	0.00584838530421257	0.00010217806952455222	11565.96	2912.3015321906487	0.00016229601779580116	2.8060188768138803e-06	194.50000000000014	0.0	175828.68298420028	3072.9687216249436
30	0.005944588124752044	9.097425827422788e-05	11199.84	2826.1166116068175	0.00017081991079449655	2.6057984653971703e-06	195.20000000000024	2.842170943040401e-14	173139.04611102768	2642.10324650014
31	0.005800747007131577	0.00010491011331367197	10943.836	2763.0649505764427	0.00017239334803819656	3.0967915888454745e-06	195.69999999999976	2.842170943040401e-14	177621.23282345966	3202.3214346968834
32	0.005899453908205033	9.973635182555682e-05	9635.932	1719.3243368765534	0.00018118130484223366	3.0773956594622305e-06	195.99999999999983	0.0	174811.60560816567	2938.7200838317203
33	0.005920579493045807	0.00011433414925555146	8919.064	2075.804808719741	0.00018760946691036222	3.647263817030172e-06	196.09999999999994	5.684341886080802e-14	174372.0470867315	3355.750102206609
34	0.005940363138914108	0.00011999004250021309	8467.888	1351.1705575004216	0.00019404168859124183	3.8722093908607485e-06	196.00000000000017	0.0	173965.31945967407	3479.003525112527
35	0.005938985645771027	0.00011015345084337546	7614.424	293.63507321844236	0.00019981261244416236	3.69967597670942e-06	195.70000000000024	0.0	174163.6815336746	3229.3568084255303
36	0.0064107879400253295	0.00014215752074639464	7749.168	382.70472661831604	0.00022215516424179077	4.9948740859452466e-06	195.19999999999976	2.842170943040401e-14	161526.01256712308	3582.4058276763535
37	0.0064943601489067075	0.0001653222902658204	7364.98	395.93746425414207	0.0002312196775376797	5.437848025836118e-06	197.99999999999972	2.842170943040401e-14	159624.4134030896	3992.2313821894313
38	0.006611716598272323	0.00015856642608397972	6427.7	606.4251726305563	0.00024203731924295427	5.856413816273514e-06	197.19999999999976	2.842170943040401e-14	156931.35912030173	3695.3718636762187
39	0.006675163626670837	0.00010452812647776705	5770.272	302.74460196013405	0.000250909119039774	3.978196111910739e-06	196.19959999999998	0.006311893535223443	155539.30754532735	2433.597829990098
40	0.00686195319890976	0.00012361876890291807	5451.0	301.46442576197944	0.0002646966179311275	4.754575682168619e-06	198.89960000000002	0.006311893535225236	151462.9680516151	2717.210037281997
41	0.00635502889752388	0.0001351819254148823	6151.632	320.8697938042782	0.00025115856349468236	5.348540449220597e-06	197.50000000000017	2.842170943040401e-14	163731.04091277474	3838.295570136082
42	0.0063978011906147	0.00017386365212867453	6156.256	406.33997399222244	0.00025910643169283864	7.152764553411894e-06	196.00000000000028	0.0	162816.39235851922	3873.7985208876776
43	0.006568852573633194	0.000129658535268501	5612.164	278.26669420539713	0.00027252619168162347	5.4388132993442685e-06	198.40000000000035	2.842170943040401e-14	158689.1375065992	3129.0237455883594
44	0.00720066699385643	0.00014798269938288554	4324.888	309.9743787089507	0.0003060392119288444	6.364992424436093e-06	196.59999999999965	2.842170943040401e-14	144909.13216969263	2991.1308940628915
45	0.0072507626116275785	0.00013111511114795885	4192.42	274.96125472509755	0.0003152370123565197	5.806415468455662e-06	198.89999999999966	0.0	144032.5701140557	2641.0832611238907
46	0.007284139931201935	0.00013069420083306079	4126.3	266.48922304663654	0.00032383908760547634	5.863744353282019e-06	196.79999999999976	0.0	143508.6018700578	2577.1339078204887
47	0.007362453579902649	0.00011908701997347847	4669.188	296.4186509921398	0.00033451010683178907	5.469174453159137e-06	198.99999999999972	2.842170943040401e-14	142109.39467388237	2299.8536054494516
48	0.007524056941270828	0.00017084823472753486	4015.828	466.8151308773099	0.00034926434931159024	8.02944745958506e-06	196.6	2.842170943040401e-14	139225.48296424304	3164.6866923441253
49	0.0074632428586483	0.00014496004056491622	4604.32	255.63156612593838	0.0003537435328066349	6.929072363364806e-06	198.7	0.0	140475.45370305117	2779.916859038475
50	0.007624284386634827	0.00013256714753708023	4244.912	255.42139349709922	0.0003688366838991642	6.476371641713173e-06	200.9	2.842170943040401e-14	137628.290331196	2393.67224553606
51	0.007708983838558197	0.00015102649682719428	4201.888	213.91832893887332	0.00038041869410872464	7.538870701166326e-06	198.00000000000028	0.0	136257.89035395265	2715.685111892476
52	0.007236001074314117	0.00018534188957549568	3438.024	220.55872556759118	0.0003639651682972908	9.44042148368699e-06	200.00000000000028	0.0	145354.71305980152	4291.441748411386
53	0.007388269811868667	0.00022014469313686726	3376.332	326.4378375372561	0.00037875858309864997	1.146982013209972e-05	196.8996000000004	0.006311893535223442	142522.80074395012	4558.782064145465
54	0.0074842870235443115	0.0002464662922790358	3346.988	221.92404974675458	0.0003910290292799473	1.3074133113203344e-05	198.8000000000004	0.0	140858.65783603457	4995.47107948666
55	0.007928314477205276	0.00016694067295390842	3598.584	190.79388602363548	0.00042227170544862746	8.997579237774579e-06	200.70000000000041	0.0	133000.31617823732	2806.6436073126665
56	0.007890959560871125	0.000308069106985906	3520.916	249.85018900132934	0.00042784566390514375	1.6925747012448536e-05	197.19999999999953	2.842170943040401e-14	133923.40569314096	5824.322752892971
57	0.007930649280548095	0.00019844431602513858	3551.892	197.526869908881	0.00043760372972488404	1.100196996866422e-05	198.9999999999996	2.842170943040401e-14	133237.69444432194	3334.8299678948492
58	0.007955718070268632	0.0003116871246830825	3396.116	331.05247702441375	0.0004458451700508595	2.030610683895122e-05	200.79879999999955	0.010888526071052345	133078.24914647324	5631.76471013456
59	0.007895748317241668	0.0003805001261082992	3545.388	259.55011357346774	0.0004508551552295684	2.1948489608606347e-05	196.89959999999965	0.0063118935352234435	134340.35333424187	7202.546975332726
60	0.00788769257068634	0.00030592781454438615	3891.488	290.1469039228232	0.0004577204982936382	1.833739285476369e-05	198.59919999999966	0.008908422980530064	134501.6273487766	6355.524584793919
