threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0004201226532459259	1.0321774310154118e-05	8391.192	1041.184680609545	4.666261672973633e-07	1.967338918239243e-08	100.1	0.0	2384016.9488987257	56268.347028252116
3	0.0005976948440074921	0.00016011491301063353	17634.808	6959.455191545959	1.2791271507740022e-06	3.953001245471655e-07	133.40000000000003	2.842170943040401e-14	1743820.5048977905	252454.51688512907
4	0.0013952797055244446	4.331858764142807e-05	29688.08	3587.4073347753524	4.588914960622787e-06	9.663679923471243e-08	150.3	0.0	719524.0165221973	21695.138734847438
5	0.002214167445898056	0.00019787715178244079	38074.456	5868.784616942761	9.435313075780868e-06	8.077507180430992e-07	160.4	0.0	455945.4062361294	30864.73908878618
6	0.002526870608329773	2.6102818490468054e-05	35441.568	1152.9177548186167	1.3288805723190309e-05	1.704891124955147e-07	166.8	2.842170943040401e-14	397767.5270741576	4102.371613145708
7	0.002911003679037094	0.00017981184955762357	33754.52	4184.209891676085	1.8195587038993836e-05	1.1667896439597182e-06	171.49999999999997	0.0	347047.5556218258	23688.44093922242
8	0.00340061628818512	9.502065722935886e-05	38810.036	2570.577261765147	2.465417045354843e-05	7.136607568578302e-07	175.7	0.0	296360.01744354446	8557.871089091801
9	0.0037514101266860962	0.00024104533720532766	39828.068	5044.26446881763	3.089282658696175e-05	2.0102868964306666e-06	178.4	2.842170943040401e-14	269864.14984502445	18139.63539758729
10	0.004216712415218354	0.00015006671668974046	44376.048	3686.4785101361977	3.8936663955450056e-05	1.455181759612306e-06	180.90000000000006	5.684341886080802e-14	239543.77948876203	7371.139012395979
11	0.004318492084741592	7.17650062178182e-05	41645.48	2164.020491954732	4.411448967456818e-05	7.66045637014017e-07	181.90000000000006	5.684341886080802e-14	233946.11061666172	4106.420498593827
12	0.004686796903610229	0.0001557417252069448	45515.448	3711.871907177833	5.256913045048714e-05	1.790155510789227e-06	184.00000000000003	2.842170943040401e-14	215921.1475345415	6399.965005317099
13	0.005000997483730316	0.00011569232638161785	47064.62	3308.3888857871593	6.101855057477951e-05	1.4451050823756387e-06	184.6999999999999	2.842170943040401e-14	202473.5653404891	4926.581350610356
14	0.005357063919305801	0.0001429115649976327	47877.04	3223.0319338163563	7.0688533782959e-05	1.9216223319819807e-06	186.39999999999992	0.0	189237.78010946896	5311.768136863627
15	0.005501959770917893	0.00021191843854660003	44957.52	3800.1995802325964	7.8060854524374e-05	2.9955342608911555e-06	187.0999999999999	0.0	184529.88133477647	6134.061282966034
16	0.005921248733997345	0.00010514315764319434	49381.864	2811.4215944080674	8.993828547000886e-05	1.6224826534554693e-06	188.19999999999987	2.842170943040401e-14	171472.57872905178	3156.540017212379
17	0.00598016306757927	6.067871847642164e-05	45014.5	2274.674095777239	9.673362687230111e-05	9.54720510642547e-07	188.50000000000009	2.842170943040401e-14	169912.5180917992	1723.6054699451774
18	0.006024390965700149	6.718151576774765e-05	44370.968	4016.8756842820017	0.00010327237325906754	1.171329421296425e-06	189.59999999999994	5.684341886080802e-14	168834.80004648937	1888.2801174022281
19	0.006106532543897629	8.968569515655308e-05	40180.192	2217.9797787933053	0.00011063511955738068	1.628145449771794e-06	190.0995999999999	0.006311893535223443	166743.3900919848	2543.866894712351
20	0.006051132827997208	6.224727003184935e-05	35661.736	1837.5703551984072	0.00011555570498108863	1.064691197638989e-06	191.9	2.842170943040401e-14	168415.7686432756	1706.734645838153
21	0.006076942771673203	0.00021969257528815152	27892.848	3827.2060745269523	0.00012198081627488135	4.524876484629393e-06	191.19999999999985	2.842170943040401e-14	168001.1728716863	4307.527821923006
22	0.00606401851773262	0.00019342986458988973	24297.292	1944.6962083410356	0.00012764911711215973	4.12277196876394e-06	192.0	0.0	168495.160337617	3960.9476738018184
23	0.00617467251420021	7.981251642039547e-05	24042.86	1434.213875403526	0.00013611733177304268	1.7524451825488392e-06	192.40000000000012	2.842170943040401e-14	165542.61575955295	2148.4182989414544
24	0.0063274910151958465	7.279703379136645e-05	21747.012	1285.7191527919308	0.00014569544219970702	1.6896137594131225e-06	192.39999999999984	2.842170943040401e-14	161696.84413493186	1859.210958524443
25	0.00637603023648262	0.0002500990178061183	21685.548	2447.087449131314	0.0001529682084918022	6.122647615998745e-06	194.40000000000006	5.684341886080802e-14	160765.3307974256	4228.311812951294
26	0.006394412279129028	0.00023918869837418217	19129.932	2913.4116412508547	0.00015974582052230834	6.067833464333938e-06	193.60000000000016	0.0	160457.51411353177	4392.762883634037
27	0.006294457823038101	0.00021209810679950278	21066.572	1693.9577151794551	0.00016332426959276197	5.769610830297074e-06	194.99999999999983	2.842170943040401e-14	163133.58178188436	4001.7247147126986
28	0.0062821230888366695	8.666652280486266e-05	16681.808	1481.0182264698838	0.00016929157173633575	2.3483359311945106e-06	193.59999999999994	5.684341886080802e-14	163510.85642861857	2254.1083331449336
29	0.0062009221315383915	0.000100374023290929	17139.624	1459.362919435738	0.00017320243191719056	2.8070530527349135e-06	194.50000000000014	0.0	165825.30614108234	2688.749284540449
30	0.006213170647621155	0.00021555994180584082	16397.748	2089.5213395646383	0.00017948529317975045	6.374872873731115e-06	195.20000000000024	2.842170943040401e-14	165768.06757695635	4456.5520658554415
31	0.006264515668153763	0.00011718528809720025	15835.776	1184.7619498549063	0.00018706264603137972	3.5193061017402275e-06	195.69999999999976	2.842170943040401e-14	164474.87486634098	3036.1116006599655
32	0.006586068332195282	8.866334948539783e-05	12605.32	666.2371661803326	0.00020316239845752715	2.759627105598657e-06	195.99999999999983	0.0	156570.96462811262	2110.216898632225
33	0.006568520039319992	0.00011262011601104448	12753.176	858.3979223087623	0.0002091769998371601	3.5752220910991963e-06	196.09999999999994	5.684341886080802e-14	157158.90313991767	2676.986843610777
34	0.0065641702115535735	9.407940370884735e-05	12598.208	1031.8640359737324	0.00021550950407981872	3.0938283836548747e-06	196.00000000000017	0.0	157401.72204267132	2250.5967011219686
35	0.006736828982830048	0.00010040838024236563	11019.388	672.6855769644537	0.00022788866570591925	3.3937899456186566e-06	195.70000000000024	0.0	153518.83516963408	2292.6115908475917
36	0.006944289147853852	0.0001497992053784302	8617.448	787.5598410889169	0.0002414618040919304	5.265241949647112e-06	195.19999999999976	2.842170943040401e-14	149112.7457488736	3219.076636102645
37	0.007023376852273941	0.0001537375021065466	10182.432	966.4892246559193	0.00025093924617767334	5.549021201673695e-06	197.99999999999972	2.842170943040401e-14	147578.7468441166	3260.9190303525875
38	0.00703900146484375	0.0001401701432727802	9689.964	936.7754067566035	0.0002586586853265762	5.195017101467371e-06	197.19999999999976	2.842170943040401e-14	147380.45931172892	2935.267377126988
39	0.0072045021057128905	0.00012169434220905439	8898.476	807.3569083274137	0.00027192105329036713	4.6114228492285115e-06	196.2	0.0	144117.62989459254	2431.1189419962625
40	0.007378099948167801	0.00011596170852552807	7993.0	611.6549223214017	0.00028538869628310206	4.52757410977327e-06	198.90000000000006	5.684341886080802e-14	140856.99290066422	2216.5022307503377
41	0.007435480952262878	0.00013046918843730794	7411.232	664.5316020897727	0.00029518595120310787	5.1727949050596695e-06	197.50000000000017	2.842170943040401e-14	139913.0636848834	2460.5377035828665
42	0.007652253478765488	0.00014387408639119056	6896.716	478.02263894506086	0.00031103540831804277	5.833779147777174e-06	196.00000000000028	0.0	136086.0074163856	2535.3171103923637
43	0.0076756574213504795	0.00011221221864470074	7177.528	495.92451161038616	0.00031971670266985893	4.561539662583669e-06	198.40000000000035	2.842170943040401e-14	135782.7676683363	1979.138625691196
44	0.007584217548370361	0.00014352559991061216	6703.988	534.3465802791293	0.00032324819001555444	6.076529303081861e-06	196.59999999999965	2.842170943040401e-14	137571.34194759262	2585.9519255509085
45	0.0077293748557567595	0.00013626787398637186	6566.52	433.2878230460671	0.00033691432049870495	5.483957978652199e-06	198.89999999999966	0.0	135109.73933169444	2306.2377426992007
46	0.007909387290477753	0.00010588578792634835	6250.408	446.8043257803129	0.0003526498996019363	4.636469346392327e-06	196.79999999999976	0.0	132145.0991015119	1764.2329147203775
47	0.00803225702047348	0.00012052068113472634	6185.368	410.2296144551244	0.0003661135660111904	5.458096786802334e-06	198.99999999999972	2.842170943040401e-14	130254.2685215361	1956.7682797759528
48	0.007957271486520767	0.00010166864368896894	6446.34	467.89671552598014	0.0003701827522814274	4.756870818585561e-06	196.6	2.842170943040401e-14	131599.2940399131	1685.2764986554985
49	0.007822291254997253	0.00011431690230068388	6241.94	426.87255287731955	0.0003719970833659172	5.459925396924012e-06	198.7	0.0	134004.77983991997	1963.5184602867464
50	0.007984214007854462	0.00023506796491893012	6368.38	474.07557583153346	0.0003869999356865883	1.146578316343005e-05	200.9	2.842170943040401e-14	131497.86773219935	3860.250211102135
51	0.008111284524202346	0.00011635935095624986	6277.3	444.6815512251436	0.0004016931470632553	5.643643680642361e-06	198.00000000000028	0.0	129475.81702279625	1849.7614942148894
52	0.008317863911390305	0.00014717703784555621	6043.24	466.6820742218411	0.0004199265258312225	7.558871601051277e-06	200.00000000000028	0.0	126394.93645302746	2283.143783785689
53	0.008713335901498795	0.00012185061854992799	5958.012	386.9118915929052	0.00044826821476221077	6.1021944452335675e-06	196.9000000000004	0.0	120757.96765140399	1680.7274169762757
54	0.008811291426420212	0.00027017208867221177	5869.62	526.5296379122451	0.0004627637824714184	1.4528897022994343e-05	198.8000000000004	0.0	119590.4612741054	2796.81458385359
55	0.008623556643724441	0.00012104512287963411	5894.088	425.78167205270825	0.0004604503200054169	6.434249057241318e-06	200.70000000000041	0.0	122247.47525378881	1718.9480097245914
56	0.008791422933340072	0.00011713821182284269	6018.352	342.4527355650704	0.00047796338111162184	6.355144564841752e-06	197.19999999999953	2.842170943040401e-14	120024.64181793033	1599.9891986027744
57	0.008650468856096268	0.00013532782265598655	5663.828	436.4209692670599	0.0004794306369423866	7.1078152885979285e-06	198.9999999999996	2.842170943040401e-14	122103.8667155701	1890.4635618627462
58	0.008901284515857696	0.0001399470665219225	5628.592	377.4703293452348	0.0005015841486155988	6.980565512190891e-06	200.79959999999957	0.006311893535223444	118775.36833355493	1839.9380383233251
59	0.009176488906145096	0.00014581922996156105	5825.412	381.96717431737505	0.000525812801927328	7.81693352412752e-06	196.89959999999965	0.0063118935352234435	115323.01760177761	1813.9943100361127
60	0.008859076261520386	0.00021199183010804735	5870.336	347.1291504670848	0.0005159086591601372	1.0312559071694246e-05	198.59919999999966	0.008908422980530064	119603.43118421	2759.0731774426804
61	0.009305811494588851	0.00018124551096180953	5805.888	389.45662076282645	0.000551443041473627	8.45943607230722e-06	200.29839999999967	0.012547509713085785	113947.66310564392	2161.919074235837
62	0.009366683065891265	0.0009014294799251611	5989.86	2001.018334848534	0.0005633390366733076	5.4232206179128714e-05	201.99879999999965	0.010888526071052345	113730.0889588767	4938.917593575172
63	0.009327624946832657	0.0013736072605567578	6167.364	3177.7245027698673	0.0005702937411665916	8.638240494906625e-05	197.59879999999998	0.010888526071055435	114772.73245446188	6478.113339887406
64	0.009268084079027177	0.00026287217419610626	5818.124	489.46244454911965	0.0005757478218674658	1.370178326613619e-05	199.19840000000002	0.01254750971308221	114776.84714631917	2968.128676152098
