threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0014647984504699708	0.0004410870217762668	371.24	1158.2705272948974	3.2123449444770813e-07	8.015277382886197e-08	0.13200000000000003	1.6780512507072007	694862.2832148991	46440.4612702304
3	0.001082185447216034	0.00018725560438044903	6262.268	1459.8897315126235	5.525446534156799e-07	2.2795597137408853e-07	0.016	0.17338973441354594	952049.5885778075	157949.49142292404
4	0.0018934888541698456	0.00036192540468872234	118339.044	50248.344215686	3.774279773235321e-06	1.1241871774547709e-06	0.19040000000000004	0.1298762487909163	549920.7991968985	115606.0532774094
5	0.0019213232100009918	0.00041250493241906525	130884.516	31267.149347162172	5.864054411649704e-06	1.6557090705103538e-06	0.27720000000000006	0.10237265259824031	548479.4329444976	125114.88966383455
6	0.0025994201302528383	0.00019577290426761468	171657.376	24944.81493189765	1.1185961872339248e-05	9.785616702423951e-07	0.1968	0.048885171575847014	388384.8203792049	28847.265159451017
7	0.002265847533941269	0.00015717802363820663	233330.28	36802.80263514723	1.1746028333902359e-05	9.665984042487602e-07	0.38280000000000003	0.044543910919451146	445611.250933002	31006.10581622742
8	0.0027767581641674043	0.00029312986166125764	287940.424	57197.7684332197	1.76848863363266e-05	2.1393753246987667e-06	0.6127999999999999	0.03572338169882577	366307.68973891216	38367.662636969784
9	0.002675550609827042	0.00016813678918297992	429008.576	43884.42430352965	1.965027090907097e-05	1.3530443612203754e-06	0.0	0.0	377884.5584247181	24044.0582701489
10	0.002678540050983429	7.880068943057681e-05	397353.876	20756.83458961467	2.225816628336907e-05	7.071719589977234e-07	0.8024	0.01530490117576719	376656.37333538855	10988.352998685574
11	0.0029837902188301086	0.00016049686758622253	429373.224	51388.874383681774	2.7980877071619033e-05	1.5991871690781877e-06	0.8188000000000001	0.04567887914561828	339100.34598435607	16738.38191039879
12	0.002952951431274414	0.00012284906753755223	580540.984	36713.19157403432	3.0541911333799364e-05	1.3448533351374542e-06	0.19640000000000002	0.030117104774529703	342622.0846924237	14567.116593739298
13	0.00322543403506279	0.00012311207700517614	567646.276	28112.139245667946	3.674894931912422e-05	1.4889155443358408e-06	1.0288	0.047016592815728356	314009.21910537453	12427.172743018966
14	0.003445011496543884	0.00016974452579571227	603087.952	69719.40512974632	4.2771447479724886e-05	2.2912892999037717e-06	0.42240000000000005	0.16678800916133035	294398.4463097138	12614.352002045098
15	0.003190936207771301	9.185633749505069e-05	708400.508	33430.981693781236	4.263021871447563e-05	1.284197475222909e-06	0.8084000000000001	0.029145153971114984	317752.5105922666	9239.659947416741
16	0.003298119068145752	0.0001506379412848185	689681.012	50269.02507552595	4.734824737906457e-05	2.269589138068016e-06	0.6224	0.06795763386110495	308161.1784994463	14396.72837170676
17	0.0032780735492706297	0.00014890734726306242	912289.908	80211.8943631899	5.02377946972847e-05	2.438805939094475e-06	1.2144	0.03510897321198673	310136.63856172014	10398.071903351416
18	0.003237238883972168	6.875827420581026e-05	817578.216	28317.53348286789	5.273406392335892e-05	1.1492478992916554e-06	0.8136	0.03427885645700567	314031.0202592225	6657.200163731476
19	0.003280266851186752	0.0001346341576767725	835927.072	82581.27045069491	5.6671103984117513e-05	2.4751977198059492e-06	1.0155999999999998	0.03737164700678844	310467.3363869919	9570.877663499956
20	0.003220615953207016	6.974341479797671e-05	981519.556	30844.076055522622	5.8686936974525454e-05	1.2322840903330556e-06	1.8132000000000006	0.033849076796864074	316274.48048474605	6700.476104729558
21	0.003174316078424454	6.791117285001687e-05	928601.676	29887.706200828194	6.091257566213608e-05	1.2489698001598128e-06	1.1163999999999996	0.04013776276774781	321209.6392713784	6738.107833612357
22	0.0032439842522144317	6.0986356486769685e-05	916374.956	32361.3348729941	6.545298966765403e-05	1.2339739217472155e-06	0.8235999999999999	0.04246221850068599	314611.30789338757	5876.476468700963
23	0.002960527569055557	7.082801639293427e-05	973353.66	35475.22823808749	6.233339631557464e-05	1.3814380013320076e-06	0.9088000000000002	0.029707911404203424	345092.065930607	8018.519714410622
24	0.003128935307264328	0.000177772361622369	1043046.392	162198.1815834886	6.90707488656044e-05	4.221204056580651e-06	1.4168	0.03844164408554871	327339.9918207847	12038.618322593966
25	0.003139181911945343	5.1738196638410854e-05	1996381.548	61707.05602855881	7.227225679159165e-05	1.23755425744975e-06	2.3156000000000008	0.04238679039512196	326019.7851898313	5404.0323470197045
26	0.0031594192683696747	6.491578222456822e-05	1896919.592	80356.18586255533	7.580631297826768e-05	1.6219139918890908e-06	1.0159999999999998	0.03878143885933062	324298.9373448786	6725.305506895964
27	0.0030584074556827545	5.153681761263172e-05	1856248.592	74301.90575155885	7.629862424731254e-05	1.3221016111409783e-06	0.012	0.04308131845707603	335276.8637836041	5615.191022634612
28	0.003084751188755035	4.289589236605548e-05	2161026.516	55166.383302168215	7.990271601080895e-05	1.172151367614853e-06	1.8156000000000005	0.04238679039512196	332717.39846359135	4628.108253347776
29	0.0030840864181518554	5.352555898843099e-05	2068296.076	64105.70550562738	8.286990407109262e-05	1.4876348794081527e-06	1.2187999999999997	0.04008191612186228	333160.3480807924	5747.035172517124
30	0.0030187716484069826	4.3716957819895954e-05	2013413.008	63122.11877261358	8.398538362979888e-05	1.2725374190935743e-06	0.8128	0.03572338169882576	340649.93854182377	4951.485145245423
31	0.0031143183410167695	4.774431569565301e-05	2378326.176	72603.88178669942	8.969861909747123e-05	1.3258958847131884e-06	0.6159999999999999	0.03979949748426479	330537.4704905278	5007.997507437189
32	0.003077839821577072	4.568395754605344e-05	2232029.42	60391.737209949504	9.157753205299378e-05	1.3913077624681377e-06	0.6176	0.04571914259913455	334781.01558467443	4958.021001939007
33	0.0030758971869945524	4.953526137689947e-05	2634661.024	74211.11417360221	9.444771870970725e-05	1.5817299675715279e-06	0.82	0.04289522117905442	335338.6499339246	5398.0870744143285
34	0.0030777908861637114	0.00021458123967390478	2500992.532	313345.8170961805	9.743414011597633e-05	6.990643035080536e-06	1.2224	0.042640825507956615	336217.22950201645	12364.247083732997
35	0.002876160442829132	4.4978117416446156e-05	2256078.456	69151.36883388546	9.355463197827339e-05	1.4873885216264532e-06	1.8120000000000005	0.03815756805667787	359289.2388378506	5639.2329798690225
36	0.003006069332361221	3.858984809090083e-05	2728469.188	67288.07328025269	0.00010083569154143335	1.332534963480277e-06	2.618800000000001	0.0438925961866008	344089.9785166508	4416.922416479638
37	0.0030502298474311827	5.1904946849843725e-05	2794125.744	98923.22048282933	0.00010519605669379233	1.8348022434616465e-06	0.013600000000000001	0.04790657574905558	339495.05849219504	5820.651284432474
38	0.0030853944420814513	4.3330172433234324e-05	2738403.788	67881.51019768974	0.00010939135283231736	1.565535311746338e-06	1.0128	0.03789670170344643	335882.8951698277	4692.744586032044
39	0.0030650557577610016	5.570290657769552e-05	3014066.012	104414.87387848465	0.00011160385584831237	2.045664593681492e-06	2.315200000000001	0.04205900616990377	338492.15995711036	6203.939170175632
40	0.0030819671750068663	4.3595562565426763e-05	2955088.7	80604.90829711303	0.0001151560401916504	1.6898038732476467e-06	3.811600000000002	0.038800000000000036	336902.7569257056	4756.45731626865
41	0.0030612442195415497	4.688986686739237e-05	3235928.476	84333.964283303	0.00011723666444420814	1.8765491994888572e-06	1.4084	0.039616158319554444	339511.48594950105	5197.677430389616
42	0.0030086493492126466	4.800110591034086e-05	3029037.68	83170.75927036858	0.00011804205453395844	1.9437582096329876e-06	3.214800000000002	0.04075487700877041	345807.0774997552	5507.70275332948
43	0.003039881885051727	5.105787441601436e-05	3027662.132	106370.49436193562	0.00012220508489012717	2.106110197093706e-06	0.9052	0.03811771241824462	342561.08386964456	5745.653809653727
44	0.003084226667881012	4.9531100572721894e-05	3412762.916	94618.41568171041	0.00012694950294494628	2.118497130493239e-06	3.016000000000001	0.03979949748426483	337987.24351561896	5439.232096896632
45	0.003107718616724014	4.8127875411594894e-05	3355404.072	90154.53923828137	0.00013089512354135514	2.070168816720654e-06	0.816	0.05043808085167395	335747.6062139117	5179.31357077713
46	0.0030516988337039946	4.870751989920057e-05	3207323.448	85514.94678358454	0.00013134270587563516	2.144031448767849e-06	3.215200000000002	0.04205900616990377	342241.405888572	5458.174377075015
47	0.003070841819047928	5.5877264978292116e-05	3540912.968	105263.26481920926	0.00013496197399497035	2.3544422947203102e-06	1.1116	0.04544711211947358	340446.40235784644	6110.643957292909
48	0.003037789911031723	4.9753992253992556e-05	3313075.252	94557.02115894142	0.00013644509628415107	2.2712073861075146e-06	3.812800000000002	0.03789670170344647	344463.47532096755	5624.351167645189
