threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.001910701423883438	0.0004630388803007593	10077.736	1287.7455005955176	9.678936004638672e-07	4.7193633195553124e-08	0.9504	2.0389850023970255	530143.6793371607	27336.021208187918
3	0.001431309998035431	8.029057812093768e-05	19015.22	13291.632561111519	1.2866855263710022e-06	6.94004111759611e-08	0.6775999999999999	0.6617388004341289	701659.635616011	42531.52529899905
4	0.001158512979745865	0.0002416269018693406	47096.928	28981.66452767708	1.5655370950698852e-06	6.083384360834228e-07	0.6147999999999999	0.3847869020639866	892927.4962632322	152382.88788528723
5	0.0009195961356163025	3.054189923329749e-05	82397.996	4582.45680437732	1.793360322713852e-06	9.644407120213349e-08	0.8084	0.555526273006057	1090763.5341606725	36401.332256945316
6	0.0012620732188224793	9.251717035469373e-05	242386.528	30289.735518574867	4.333732068538666e-06	4.503930692696997e-07	0.5332	0.47780514857000034	799903.6919885464	65861.36999602894
7	0.0014722127318382264	2.524439416284637e-05	359000.652	14159.848642231173	6.874510616064072e-06	1.4843530978194056e-07	0.49439999999999995	0.3600675492181988	682702.199824568	11536.459333804916
8	0.0013909348249435424	2.759406114301005e-05	527123.584	31677.028357769675	7.714396178722382e-06	1.855916290428317e-07	0.7059999999999998	0.43368652273272223	723272.1298949497	14381.920977487507
9	0.0015611328184604646	3.615147318053448e-05	606174.592	31284.172975380632	1.050347089767456e-05	2.9031738532455053e-07	0.12480000000000001	0.15551514395710792	645290.8808677093	14750.9030378715
10	0.0015606389939785005	0.00027544278179286985	615628.656	68165.73772511866	1.2008089125156402e-05	2.7205538054997963e-06	0.9056000000000002	1.0345862168036073	651660.2319701656	35863.075699132045
11	0.0016401326358318328	5.06187719760933e-05	846281.164	44217.30135991006	1.434018275141716e-05	4.925547630882464e-07	0.8323999999999999	0.17558542080708184	615730.2764803738	18746.143540351008
12	0.0015629391074180603	4.1046997626168897e-05	794113.644	39819.69807968493	1.5088192105293272e-05	4.5220041529551535e-07	0.2504	0.1275140776541947	646587.0842507543	17073.738913588397
