threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0018782220482826233	0.0004920748196640177	32634.08	4469.379292206022	1.4520287513732913e-09	3.13817486802263e-10	0.18520000000000006	1.8078442853299057	540171.1781580976	30575.80965039091
3	0.0015540252923965455	0.00015478470716100563	85322.94	28054.803276023875	3.8913190364837644e-09	1.188912361721383e-09	2.7696000000000005	2.95137185728942	650411.8060657125	65840.73048531247
4	0.0014801533818244934	0.0002624734326472412	177848.116	66137.74508522757	8.251100778579711e-09	2.2818066792177135e-09	0.12240000000000001	0.06677005316756908	692537.0856300918	98479.10132920757
5	0.0014527683854103088	7.81433158821791e-05	363923.528	42842.13966049333	1.7437428236007688e-08	2.5277935868395493e-09	0.216	0.06311893535223803	691811.924611856	37351.56586295312
6	0.0019412542581558228	0.0003210746886753969	701912.404	159154.79636223594	4.259026050567627e-08	9.315884093259813e-09	0.154	0.06575712889109439	534396.5819356473	106347.63105582116
7	0.0022507853209972383	0.00012072925082711657	740199.752	49953.695239276305	7.466650009155272e-08	8.022968423346463e-09	0.376	0.04799999999999998	447681.55413124664	23960.31471266879
8	0.002192732334136963	0.00017162015674515013	1118123.044	137569.51247863774	9.902513027191162e-08	8.746072408554696e-09	0.5655999999999999	0.049966388702807	460593.32011036895	26629.331980699648
9	0.0021471003890037536	0.0001276958245242643	1079734.004	92166.23930205671	1.2723574042320251e-07	1.223716521203489e-08	0.0108	0.031038041175306154	470564.52914105065	27801.865802706623
10	0.0021722765266895296	0.00010857080269493629	1013812.236	98851.5794973267	1.6268491744995117e-07	1.4400401442325924e-08	0.7627999999999999	0.05075588635813583	465018.44550745	23331.78962956197
11	0.0021594646275043487	9.368745673638333e-05	1421806.592	87303.80356956698	2.0208746194839477e-07	1.61891945170137e-08	0.7683999999999999	0.04734384859725706	467979.252011767	20366.85111169567
12	0.002224427968263626	0.0001774706945104208	1344853.476	116396.468896687	2.51044750213623e-07	1.890329600307962e-08	0.15919999999999998	0.05153018532860133	455740.57719727745	25177.197957149852
13	0.002293426066637039	8.479406522223347e-05	1892897.348	78187.53255082869	3.1109127402305606e-07	2.0932462228374816e-08	0.9828	0.04079411722295262	441337.4658120161	16067.490066346361
14	0.002293284773826599	9.117608032149165e-05	1615316.524	89480.69425940672	3.657774031162262e-07	2.3976541526261308e-08	0.36	0.051380930314660504	441798.7763882195	17292.894849915305
15	0.0023364455997943877	0.00010872057682749975	1702306.688	75264.4075116961	4.3209245800971983e-07	3.186271165809268e-08	0.7812	0.040081916121862224	434437.1173607296	20560.980641752565
16	0.0023259578943252562	0.00011869919104270212	2105809.752	127990.46292983904	4.93552178144455e-07	3.5926454636495575e-08	0.5963999999999999	0.3141131006500685	436862.23244458577	20162.89163524477
17	0.002362169831991196	7.532627663635468e-05	2093247.716	76028.10971052315	5.661103129386902e-07	3.26616303449851e-08	1.1784	0.04115142767875743	430030.6277037677	13579.661158231693
18	0.00229974627494812	8.509091798364429e-05	1858573.608	77076.6840955573	6.195294559001922e-07	3.9977678995697406e-08	0.7696000000000001	0.0468597908659439	442253.5562557944	16234.36107126812
19	0.002248658657073975	0.00019998030628073823	2230765.592	206101.2823405462	6.751146614551545e-07	4.1896315385375134e-08	0.9688	0.0471864387297876	453989.62017336057	22411.75904868239
20	0.002247336447238922	6.840045122131592e-05	2049433.304	64519.82452812146	7.526195049285889e-07	4.433839973472271e-08	1.7712000000000008	0.047016592815728404	453271.68356894737	13786.45586569228
21	0.002280437886714935	7.086714107104456e-05	2760447.096	88656.77828533351	8.408932983875274e-07	5.1132481313397607e-08	1.0796	0.042235530066521	447179.88273832016	13707.827171267252
22	0.0021584183871746062	7.14370622804357e-05	2258518.444	85143.20132773294	8.820818066596985e-07	5.498987383614262e-08	0.7636000000000001	0.05210604571448498	472915.86594369466	15672.551987685012
