threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0015169417262077332	0.00029438351825544404	466.728	87.93637481725068	3.8730531930923463e-07	5.819370066146777e-08	0.0468	0.19598408098618622	665923.5060362704	36295.14423135202
3	0.001011879414319992	1.6943785063338208e-05	773.072	521.8925280323526	4.046819806098938e-07	1.1690086942267967e-07	0.152	0.7552588960085145	989017.6698672283	14594.14002782281
4	0.0007675929367542267	1.882588352336871e-05	826.288	319.0439296648661	4.5265546441078185e-07	4.189492313155337e-08	0.3704	0.3140761691055213	1304190.0986408242	30601.967733661826
5	0.0010458984076976777	0.00025486133245022577	7815.604	1770.665409156682	1.880478173494339e-06	7.527769186508022e-07	5.836400000000001	4.540325433270175	1018712.0852165176	265104.6184767731
6	0.0020130008161067963	0.00016388028125007378	26495.332	4112.542519388219	7.088554859161376e-06	7.403926613300693e-07	49.123599999999996	16.176015672593792	501870.30052231194	40865.287051062594
7	0.00214237043261528	0.0001052720276164609	22032.572	2645.152559081612	9.6520174741745e-06	6.325550722005369e-07	34.513600000000004	28.18903146686668	470102.60907245026	20917.705748760858
8	0.002115950107574463	5.785465779394404e-05	23967.22	1158.9317027331679	1.1203439950942994e-05	3.7618464324770153e-07	23.2144	5.727403656108063	475611.9901409512	12516.1388179061
9	0.0028388166725635527	0.00016684066063898996	23200.556	3196.227166967955	1.8680081754922863e-05	1.199014204843072e-06	57.436800000000005	13.032283213619937	356171.9069484767	24889.10290400274
10	0.0030907226502895355	0.00015334807820807775	13471.988	1501.2704286223718	2.3595107465982436e-05	1.0162336792632017e-06	68.10839999999999	27.44075745018712	327049.36477795074	18625.53510893162
11	0.003430886685848236	0.00012607048054004747	25502.188	2142.266982580836	2.9520862221717833e-05	1.2142062916985968e-06	72.21479999999998	15.164887766152443	294506.7523583088	11558.43202986688
12	0.00362992662191391	0.00019819893032164645	16945.964	2346.854443442115	3.512118151783944e-05	1.6400767335271973e-06	88.5156	31.364362525643656	279040.0772789847	14845.886511931589
13	0.003840093046426773	0.0001769701257439197	41394.024	7136.309411973672	4.077724856138229e-05	2.039780934256378e-06	82.5408	17.14273068562882	263842.5419492749	12696.627939952328
14	0.004173706084489822	0.00014586704829659962	17473.12	2032.5228799696204	4.8704487949609754e-05	1.6981913121179929e-06	89.474	24.44484411895482	242768.04673915618	8613.24681201008
15	0.004452134937047958	0.00019426110036930267	30645.812	3527.8435181646023	5.625844883918762e-05	2.45565508205558e-06	84.7208	15.823275494030938	227974.31157923126	10277.928787993476
16	0.004784456521272659	0.00016969809947245938	33075.536	2715.029072533847	6.530206593871116e-05	2.4379551367260594e-06	87.1728	14.535170455140866	212206.7049348261	7753.737996647006
17	0.0048879674077034	0.0001194724054562758	24331.168	1395.3499760905863	7.169559761881828e-05	1.8232840318491475e-06	90.89959999999999	15.192467865360124	207781.08768698655	5187.08518724816
18	0.004982420891523362	0.0004692600325664615	22956.948	3677.7034237817493	7.887266272306443e-05	7.739192941336007e-06	145.15360000000004	32.76988262170008	205377.06588095898	15627.990777000987
19	0.005416992753744125	0.0007389274629949822	24674.98	4226.439369918845	9.144695261120795e-05	1.3353021374811811e-05	138.89959999999996	29.82305483749107	190721.87981690204	21905.700584955237
20	0.006088752061128616	0.001151257666330542	27861.456	7709.63314095191	0.000109667994171381	2.1866103173966997e-05	148.9156	26.79963799457001	172499.6618248886	28404.931081034923
21	0.00575752979516983	0.0010499077255350132	51037.604	10938.161518974932	0.00010906437852978706	2.094941311607134e-05	152.49719999999996	23.865418331971465	181868.32640129	27146.60046006692
22	0.006337154716253281	0.0012924217188812345	31689.936	8631.851533703762	0.00012696120476722716	2.7113047352003608e-05	159.90000000000003	21.255433187775793	167044.00624857433	30295.974511382403
23	0.006037930369377136	0.0011911184242082292	39416.12	9526.699561212163	0.00012665877959132192	2.613220881889339e-05	164.01799999999997	14.778721054272589	174767.18367276617	29137.666580242414
24	0.0068537951707839965	0.0015992286845229217	47573.72	12146.837265461327	0.000151299811899662	3.6763049423737035e-05	159.5856	20.294877004800988	157112.21592598312	34759.812095641675
25	0.006910126656293869	0.0015547694562733964	52233.628	12323.292852221603	0.00015948621606826782	3.724034200844737e-05	165.45760000000004	15.733514618164644	155371.10593002965	33073.41819651995
26	0.007321156531572342	0.001757518282287967	41145.984	10699.927604976774	0.00017649983835220335	4.389145005065847e-05	166.27559999999997	13.864689128862564	148343.58258751465	35768.14711729763
27	0.007156805843114853	0.0015361369691906299	48527.008	12075.053414040702	0.0001794558511376381	3.993174351997921e-05	168.00439999999998	10.656533237408858	149930.2857580338	31644.036765736448
28	0.0081958487033844	0.0017332750573389693	48610.808	11119.100631037387	0.00021444932156801226	4.672252217837035e-05	168.4104000000001	10.465767618287746	132025.0231699556	32634.026483914866
29	0.007714464783668518	0.0016860548870185259	68085.648	15845.219972348	0.0002090238286852837	4.718761853710942e-05	168.15400000000002	9.741696156214294	140017.11685841435	31884.079879190907
30	0.008779339849948883	0.0015402209256468408	56936.38	10758.847618755459	0.0002475028102695942	4.463885974538617e-05	169.37439999999992	9.943841543387528	121831.25702245747	27004.882485718383
31	0.008199261456727981	0.0016356781694007105	65993.536	14590.446868300642	0.000238704190403223	4.903541529982456e-05	169.92919999999992	9.013336083826	131495.82200389385	30169.598325383777
32	0.007661068320274353	0.001641336093993692	58504.556	13095.575977209402	0.00023014743053913117	5.0841452608320685e-05	171.01880000000003	8.847856608241342	141247.2679991061	32028.334903426927
33	0.009150801122188568	0.0013780528949873944	76018.04	12614.572387774388	0.00028440217000246047	4.3775785198424645e-05	169.01880000000008	8.783380132955667	116255.38406302416	23568.660510960293
34	0.008501146525144576	0.001963816566466702	60080.532	13036.76659823961	0.00027208474847674377	6.457234174907036e-05	170.31120000000004	9.368293044092946	130282.93302202213	38570.92752313011
35	0.008650097519159317	0.001697221199526293	73906.276	15071.315553986122	0.0002851905952990055	5.740997471923741e-05	168.12519999999992	9.10293386551828	125354.44062015726	30355.258143219267
36	0.008680388569831847	0.0018858649632732148	64452.156	14907.327236888039	0.0002949560069441795	6.57585939914167e-05	169.77479999999994	8.433151543758697	126744.77248428368	35224.55901421333
37	0.008209040224552154	0.0018014484661172626	79591.424	18015.238676526715	0.0002865355470776558	6.454232759362105e-05	172.3211999999999	7.67306917471749	133189.4105377286	32666.10031764592
38	0.008212002485990525	0.0017917035731624062	63493.552	15205.397335133863	0.0002944729837775231	6.604307316726512e-05	172.58720000000002	7.959743473253387	133309.0432755801	33020.45397662291
39	0.007950730353593826	0.001824842837027197	68475.836	14816.774706025059	0.0002924998085200786	6.902800701807655e-05	170.98320000000012	8.383605296052544	138359.61843216087	34873.27286530537
40	0.007697224915027619	0.001709027995467191	69308.448	15619.968181251075	0.00029048942890763283	6.648449097633334e-05	173.08040000000014	8.40136987877574	142000.30439749782	32472.930186802736
41	0.00780089357495308	0.0014553623078203944	70226.532	13941.483229591318	0.0003015371935665607	5.800473709387848e-05	170.31960000000004	7.766356664485632	138098.23788679944	26439.407950596826
42	0.007006394773721695	0.0017223582186112576	58034.336	13487.139754266062	0.0002770729211866856	7.014102071598597e-05	172.56799999999996	7.088397280062693	157117.555327216	35726.355326416575
43	0.00715577432513237	0.001437230425533412	66978.736	14144.582164288346	0.0002896466699540615	5.998888898454418e-05	173.3367999999999	6.870697618146195	151234.22996493775	28968.271905127993
44	0.006673676073551178	0.0014880565438524884	59053.516	12746.62721231558	0.0002762380349338055	6.339021624960367e-05	172.81039999999987	7.225231611512506	163162.36166018064	31929.72687179341
45	0.007811550706624985	0.0016586965377351141	80503.576	17766.191608001533	0.00033191466018557547	7.205662437860058e-05	171.7471999999999	8.383570370671418	140044.06161821316	31033.973738833334
46	0.00733669638633728	0.0016046404865241286	66937.616	15526.456774568498	0.00031813149276375773	7.119054329805746e-05	171.12440000000004	6.826021142656966	149009.68445564297	31121.584270600004
47	0.006780767470598221	0.0014666252266329997	65218.604	14524.473804691997	0.00030010661730170245	6.629723219203114e-05	173.94320000000002	7.73996729708853	160703.16394233156	30844.169597731558
48	0.007313216537237167	0.0014682749272886375	73254.476	14675.227028207231	0.00033080828994512556	6.761563120282999e-05	167.2836000000001	7.726386674248199	148755.2750806408	28878.290105444536
49	0.007756311923265457	0.001568867154954336	75745.456	14297.18363678889	0.000358669497936964	7.372294423132786e-05	168.9548000000001	7.384914147097457	140814.68842083472	29115.125006594706
