threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0017946431040763856	1.2950502221644554e-05	57138.68	1251.3904257265197	1.4468795061111454e-06	1.4005825551124947e-08	0.32600000000000007	0.9071515860097472	557799.9628674492	4005.287701868747
3	0.0015946078300476075	0.00027381108509433425	85795.55	41237.82515540192	3.0120900273323057e-06	5.400683638376517e-07	0.12299999999999998	0.09365361712181756	641633.460641222	78885.30627762046
4	0.002673304304480553	0.0001227222117121613	230511.95	21076.591486943522	7.827389016747477e-06	3.9479032716462014e-07	0.308	0.06273754856543251	375996.38259514124	17556.96536303506
5	0.0032110002636909483	0.0003923573399556413	365792.92	31702.667914129877	1.2800972238183022e-05	1.675787128616504e-06	0.4059999999999999	0.059699246226397176	317592.1429866917	40483.387089335425
6	0.0031217236816883085	0.00039395772216811937	281343.94	128881.59672217132	1.556601770222187e-05	2.2443124106555423e-06	0.33999999999999986	0.3880721582386451	325059.5401333631	26178.536125251667
7	0.0036338963359594345	9.511930403411927e-05	344809.44	9982.701052641014	2.1717879176139827e-05	5.488558300909903e-07	0.5	0.0	277028.8798697407	7303.169031231777
8	0.003237474113702774	8.998715042748638e-05	416605.73	16856.271692076512	2.2451392412185664e-05	6.013524616542226e-07	0.7000000000000002	2.2037297810228127e-16	311281.80326968455	8526.228100071328
9	0.0033651799708604812	5.277614863775319e-05	411043.99	11484.887341628564	2.6633904352784157e-05	4.144911668911026e-07	0.021	0.0431161222746202	299612.01159846666	4706.709330234061
10	0.0034826914221048355	6.5368132975916e-05	399534.61	12094.728739326896	3.098221369087696e-05	5.900484044500737e-07	0.9040000000000004	0.02799999999999999	289820.87188744027	5458.396030368397
11	0.0035736452788114547	8.241687587278237e-05	546430.98	14210.367484326363	3.531445212662221e-05	8.617756771675793e-07	0.9000000000000005	5.551115123125783e-16	282777.930745436	6652.134789680376
12	0.003915951251983642	0.00020175546477970536	506528.53	96017.10605329188	4.258483052253723e-05	2.363844753359814e-06	0.301	0.009949874371066193	258735.40362433606	11111.653236422413
13	0.004015203565359116	5.840370091265583e-05	728857.65	17483.31117401678	4.756879031658172e-05	6.515197311774981e-07	1.0999999999999996	2.220446049250313e-16	252094.63828420895	3618.9467473690115
14	0.0038529672473669053	0.00010338943146860857	623376.92	19862.280140849896	4.92835734784603e-05	1.3246638088943425e-06	0.501	0.00994987437106619	263104.20277414675	7082.445784658725
15	0.003922567963600159	0.0001073293622918661	672195.88	37429.78545230523	5.3967075049877175e-05	1.4389067366629576e-06	0.9000000000000005	5.551115123125783e-16	258692.04403444723	6872.815054628318
16	0.0038746360689401625	7.059385799509059e-05	725012.8	16776.237321282744	5.700555801391601e-05	7.887634988163587e-07	0.7000000000000002	2.220446049250313e-16	262043.1225300233	4565.181406532496
17	0.003820197731256485	0.00025527556593406357	724748.72	191493.22668293415	5.9803693890571585e-05	4.184668705525953e-06	1.3040000000000003	0.039799497484264784	266737.47803549713	11905.263668680802
18	0.0038714078813791276	0.00016355584874418348	745147.74	54646.257142940725	6.440893806517125e-05	2.8280221764270162e-06	0.9000000000000005	5.521057726179438e-16	263166.2954996597	11163.436759682367
19	0.004168249666690826	8.725034978847499e-05	1074920.21	42333.298485068466	7.357686825096607e-05	1.561149096762433e-06	1.0999999999999996	2.220446049250313e-16	244333.4308966644	5076.464274980661
20	0.004322885572910309	6.259860596405473e-05	1130465.62	29247.784844592934	8.036875233054161e-05	9.222838385447425e-07	1.9000000000000006	1.631687946612622e-16	235770.50917716732	3339.7281582055816
21	0.003980738893151283	7.474386414535278e-05	1172164.63	29053.407866085174	7.76474131643772e-05	1.289438164302597e-06	1.2	5.874748045952207e-17	256321.8155831432	4689.486763221843
22	0.004210279136896133	0.00022749776715895863	1229735.08	89628.81667150135	8.563909456133843e-05	3.2195572941021953e-06	0.9000000000000005	5.551115123125783e-16	243112.6451067155	11577.253586086923
23	0.003875027373433113	0.00012166487543263511	998301.02	62259.692363033726	8.274795427918435e-05	2.7076882157112735e-06	1.0	9.42055475210265e-17	264003.7115602167	8404.866580179307
24	0.004042060077190399	8.676107374631295e-05	1294694.32	68087.07996659572	9.026616759598255e-05	1.917216970127701e-06	1.5	2.0106994154417226e-16	253207.69357834768	5543.507385043351
25	0.0038141106814146043	4.609631615254251e-05	1087585.36	32529.69036296534	8.835057727992537e-05	1.0366354825833778e-06	2.4000000000000012	4.440892098500626e-16	268515.73131116515	3226.6993685288985
26	0.003711925595998764	4.710179243050179e-05	928016.07	42884.039720915986	8.945804841816425e-05	1.1292268919135127e-06	1.0999999999999996	2.286089127109703e-16	276181.31225019414	3492.7088038578963
27	0.0037126342952251436	5.56422575642469e-05	1074192.36	31278.317898672234	9.292569205164908e-05	1.2673128317741775e-06	0.055999999999999994	0.05713142742834279	276414.7266655539	4078.0740911806092
28	0.003707946166396141	0.00040456415496564806	1117696.15	473303.6309242381	9.614026345312597e-05	1.1157705135508606e-05	1.9010000000000011	0.009949874371066232	278670.61583389784	15858.600655594648
29	0.00346365287899971	4.9714605306999794e-05	1028492.52	42564.72265608693	9.284006424248216e-05	1.2709538569700017e-06	1.3000000000000003	2.462593796972316e-16	296857.2616413508	4235.25824646767
30	0.0034777624905109406	7.461973862982442e-05	993192.95	73563.45743443209	9.632263846695424e-05	2.0131723637095314e-06	0.9000000000000005	5.500928220419918e-16	296015.83642591786	6337.402466125531
31	0.003507918864488602	4.860784671674918e-05	1062970.35	39031.122323954514	0.00010044305719435215	1.2998222818503708e-06	0.7000000000000002	2.1784148785229479e-16	293677.81373705383	4073.321538405188
32	0.0033343454450368883	8.324907805877009e-05	973596.07	39507.74435886083	9.82486301660538e-05	1.2583593153503786e-06	0.7000000000000002	2.2037297810228127e-16	309373.3393577229	6724.153051248429
33	0.003486310839653015	6.424374588903897e-05	1092130.5	38580.90656879384	0.0001062407038360834	1.9959342634950295e-06	0.9000000000000005	5.531095007374432e-16	296115.45816746244	5457.821462219964
34	0.003532223477959633	4.617746358161297e-05	1168333.61	43970.96452066864	0.00011098138980567456	1.410185483298152e-06	1.3000000000000003	2.1642230995786356e-16	292500.0185212272	3800.058365401684
35	0.0033036132901906965	3.823736160741607e-05	964281.19	33611.86722950541	0.00010649544119834898	1.1820580793574184e-06	1.9000000000000012	6.78962879315599e-16	313032.36247930455	3606.5446145338383
36	0.003424558565020561	5.5564218584608854e-05	1100067.15	61656.64998090231	0.00011359066635370255	1.8456006343891188e-06	2.700000000000001	0.0	302307.70849674806	4868.394181961653
37	0.003332759365439415	5.133490226297182e-05	1114048.75	44597.08708635016	0.00011338854357600214	1.287805806115215e-06	0.03	0.05196152422706633	310924.8347493286	4632.646663902521
38	0.0035538596659898756	4.9579210248998476e-05	1341700.79	60081.508607273674	0.0001245903125405312	1.8055207747274983e-06	1.0999999999999996	2.318213734067276e-16	291852.54989333125	4095.517213992501
39	0.0035626143962144852	7.890640500385571e-05	1328614.46	53501.76711706259	0.00012795123450458053	1.8382092793927395e-06	2.4000000000000012	4.440892098500626e-16	291491.0659974017	5977.669140718633
40	0.003676106631755829	0.0005001865216303877	1594485.02	840953.8300444441	0.00013532697565853593	1.918586198486429e-05	3.9020000000000024	0.01989974874213234	285020.3748873482	17886.76214737794
41	0.0035388799756765365	9.12735185605599e-05	2192933.4	113228.4482242868	0.00013352656543254852	3.274690303816177e-06	1.5000000000000002	3.14018491736755e-17	294071.194108578	7486.652181101343
42	0.004319621846079826	8.982502923609181e-05	3296378.02	149437.55821593045	0.00016832276359200478	3.6178635342587755e-06	3.3000000000000025	8.881784197001252e-16	241097.4961295385	5011.473903186312
43	0.004570265859365463	8.029174365883913e-05	4141785.57	159828.58209345755	0.00018267904825508593	3.226040899712264e-06	0.9999999999999999	1.570092458683775e-17	228066.24241477385	4028.541179037825
44	0.004533204585313797	7.909027747893725e-05	4014897.93	130280.23985618501	0.00018548367612063885	3.488471853373236e-06	3.1000000000000023	8.881784197001252e-16	230150.05803681747	4012.8452644450504
45	0.004605373218655586	8.398641153363629e-05	4330503.76	153166.4724269068	0.00019291831351816652	3.296659686944893e-06	0.9000000000000005	5.551115123125783e-16	226765.0136599577	4022.8739181740557
46	0.004629177823662758	6.50993734585369e-05	4456285.0	129418.9926700096	0.00019807314231991768	2.723872758331028e-06	3.3000000000000025	8.881784197001252e-16	225786.59355516222	3169.842755228217
47	0.0046430244296789165	5.932789474758684e-05	4329808.11	109330.29684592418	0.00020316549085080626	2.745901410588492e-06	1.2	0.0	225321.02983840372	2883.359562353478
48	0.004702172949910164	7.27186079614663e-05	4840350.4	151087.37678588508	0.00021016843490302562	3.2330600101756153e-06	3.900000000000002	0.0	222716.13228159933	3435.6124084197313
49	0.0046315985918045045	0.00022077223328848566	4783300.5	498011.04163449025	0.0002110854507982731	1.0789806020352917e-05	1.9000000000000012	6.6316661153944875e-16	226651.49452558422	8047.198731106565
50	0.004708105102181435	7.900001610646154e-05	4910809.45	145344.18499970165	0.0002189902152121067	3.498456840332541e-06	4.899999999999998	9.014026471991538e-16	222869.9013688801	3734.2202247272785
51	0.00433132030069828	8.45205642976862e-05	4328486.67	136162.7510594623	0.00020468702010810374	4.041912997869693e-06	3.0000000000000004	9.046785004446606e-16	242511.89150998052	4694.5179074876
52	0.004701962694525719	9.274384105316467e-05	5109239.1	203787.42272939713	0.00022738590098917485	4.523031778144328e-06	1.0999999999999996	2.3498992183808827e-16	223610.59280185317	4407.9516694325275
53	0.004723547473549843	8.216356270717172e-05	5372041.36	189077.69153252957	0.00023266794286668304	4.326241734923687e-06	4.5	1.9860273225978183e-16	222781.93413510144	3908.9177175252607
54	0.004451559633016586	6.48142201715056e-05	4771595.97	127429.66338694103	0.00022284552082419397	3.2607661315781705e-06	2.700000000000001	0.0	236597.2402476432	3499.5831527155274
55	0.0044803331047296524	0.0003699944102312731	4758924.67	202798.40751820785	0.0002252381855994463	5.522024618006679e-06	1.0010000000000006	0.664152843854485	236381.9350654497	13892.822295726966
56	0.004830585196614266	0.00044311285639041145	5547225.04	142085.26039240806	0.00024533617600798604	4.005391700554704e-06	4.901	0.7960521339711364	219756.65607831124	14962.175483984134
57	0.004429946690797806	0.0002205186870189575	4038415.62	178045.72193657336	0.00023251971878111364	4.4291292067872374e-06	3.0340000000000007	0.3382957286162505	238809.2890899845	8818.627038626018
58	0.0045323135703802106	0.00034003896824282264	4213894.57	159237.54467456817	0.0002399651198834181	3.5893832403756435e-06	1.4060000000000008	0.6056104358413914	234135.30843765422	12406.938195941588
59	0.004889920130372047	0.0006150461614140689	4841064.86	189966.0158871065	0.00025503869391977794	4.696864272217457e-06	5.897999999999997	1.2140823695285259	218951.4112360633	20815.389144318924
60	0.004746990725398064	0.0005346205943295077	4651248.45	181430.9936017755	0.0002526199563592672	5.704726988031892e-06	4.381000000000002	1.6908988733806636	225290.40212887654	19778.47589268723
61	0.004969871640205383	0.0005313991292024675	5431241.21	226400.73183337084	0.0002729028968513012	4.342596482658568e-06	2.5200000000000014	0.8051086883148137	215091.63017592748	17052.490903876253
62	0.005639655292034149	0.0009259718824114349	5735518.87	218304.9632562052	0.0002785367519408464	7.133757881240523e-06	2.4369999999999994	2.868715914830187	192875.671525051	29349.293853226118
63	0.005897857695817948	0.0010000790922989238	6016230.66	271124.8049688269	0.0002961245240271091	7.405171082870735e-06	6.7599999999999945	1.880691362238897	184744.7192759599	28316.59519719844
64	0.006812154427170754	0.00021187615318961342	6161422.52	251649.14130453457	0.0002876894533634186	1.0155314199784329e-05	7.644999999999995	2.410617140899816	156056.13570436384	5093.952891577162
