threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0007684316486120224	4.057419683522552e-05	15198.61	4462.283982211352	1.4569610357284546e-09	2.4430265183053864e-10	3.5589999999999997	7.704376613328297	1305860.5912854075	61669.24403616397
3	0.0009417977184057236	3.636720192258837e-05	165234.49	5755.57310872688	5.026310682296752e-09	2.7499966821675686e-10	0.20800000000000002	0.5489407982651682	1065207.2890521795	37458.813563197655
4	0.001491597592830658	0.0003499973132406784	314319.4	106088.23891318019	1.6387253999710084e-08	4.137137126750299e-09	0.285	0.12990381056766578	716458.7561935603	191164.0694381014
5	0.0018367210030555724	0.00011118688489795212	397214.49	48510.29226205404	3.320589661598205e-08	3.5705685944436607e-09	0.3879999999999999	0.08158431221748458	548513.3189039052	33056.270766480244
6	0.0021140165627002716	0.0003032414514678174	792630.91	87024.6586974169	5.757562816143036e-08	9.539540450032731e-09	0.269	0.06433506042586734	484997.5877736295	69145.68734357263
7	0.002309110090136528	0.0001529648985730992	778707.52	72111.35993274291	8.924990892410279e-08	8.6151222711694e-09	0.562	1.090484296081333	437418.94033232576	29786.8312827822
8	0.0023991544544696808	0.0004123970842294846	735478.19	149336.80393571407	1.2140363454818725e-07	1.006036724041156e-08	0.6559999999999999	0.05535341001239218	425086.3515114191	34960.62094708575
9	0.0022376002371311187	0.00010853750095173384	987395.82	62285.952150285055	1.4962397515773774e-07	1.1651066270857149e-08	0.15799999999999997	1.1710832592091824	451328.0099293525	22080.69621703438
10	0.0022310978919267655	0.0001015821156669784	989577.81	60469.63304017894	1.8491551280021668e-07	1.2782831647367446e-08	0.8540000000000002	0.11612062693595827	452920.32632421906	20403.786008831263
11	0.0022074853628873824	0.00011822296495126269	1423738.67	81070.15118304086	2.2806309163570403e-07	1.9247502052732372e-08	0.862	0.04853864439804637	458686.5601563916	24785.765130919073
12	0.002333092913031578	0.00011152911087649322	1281607.1	72755.62195892494	2.873529493808746e-07	2.287492921903129e-08	0.27699999999999997	0.05264028875300744	434173.0095721725	20716.035980975863
13	0.002263878658413887	0.00011236903600891764	1278989.43	78679.74699962564	3.2986663281917577e-07	2.289046074303523e-08	1.041	0.049183330509431744	447873.8963940787	22495.5589409165
14	0.002315815836191177	0.00010707937812573759	1697139.76	72077.41710634754	3.9437659084796906e-07	2.4746210702808352e-08	0.46799999999999997	0.04874423042781575	438183.54929494916	19533.06517257987
15	0.0022451554983854293	0.00010292150316683888	1536227.97	79111.26958676052	4.489747434854507e-07	3.217298152632292e-08	0.852	0.04995998398718717	452378.62775880686	20926.560234673394
16	0.0023532066494226455	9.103808138363471e-05	1530727.28	73096.8996787251	5.331969261169433e-07	3.2668215391199583e-08	0.6689999999999999	0.0462493243193887	431842.4490979046	16764.35591878397
17	0.0022876829653978347	0.00021037161361041286	1729016.88	200805.65045119025	5.790381133556367e-07	5.437880238322147e-08	1.2620000000000002	0.048538644398046435	446436.7242424613	28082.417344987367
18	0.002279169037938118	8.683084194959679e-05	1741968.7	64889.01289702287	6.549613177776337e-07	3.683655146739831e-08	0.8649999999999999	0.047696960070847276	446721.6793357655	17473.105470989336
19	0.0022401193529367446	7.950103600503841e-05	2199693.13	77258.80934283871	7.228751480579376e-07	4.4857632374365414e-08	1.0619999999999996	0.04853864439804637	454834.1448430475	15904.208892374376
20	0.0022122017294168472	7.022435393554963e-05	1915761.97	65864.80199749408	7.902724295854567e-07	5.026826236271052e-08	1.8630000000000007	0.048280430818293286	460930.2391119275	14837.086523420146
21	0.0022095944732427597	7.814792010008569e-05	1780988.6	72107.63514788152	8.656644821166994e-07	4.515855132794146e-08	1.158	0.04935585071701232	462012.5081940452	16407.29168309748
22	0.002108686417341232	6.987213405340787e-05	2307701.7	74236.22683198546	9.075649827718733e-07	5.8982301125327165e-08	0.8660000000000002	0.04737087712930804	484541.40413404664	15568.537119560218
23	0.0020650318264961243	7.050762897443667e-05	1909494.84	92385.24968843456	9.780938178300859e-07	5.233635363865864e-08	0.97	0.045825756949558386	495337.7709583448	17013.677142738674
24	0.0021024668216705323	8.232811068582617e-05	1942933.35	95899.93788166654	1.0932270437479018e-06	6.774457983377361e-08	1.4660000000000002	0.04737087712930807	487147.2960404644	18868.3212704646
25	0.0019881481677293776	7.035370690697498e-05	2125823.43	74019.7855759195	1.1298739165067673e-06	6.435594156083765e-08	2.357000000000001	0.04950757517794629	515472.12803028844	17996.431341062053
26	0.002061232104897499	0.00043254771035479547	2121146.69	537114.1288353658	1.2325214594602585e-06	7.93456914124914e-08	1.0739999999999998	0.1323782459469833	505065.9827806505	40490.19525575593
27	0.002046491801738739	9.443499191011825e-05	2642834.89	115811.69013686787	1.3386133313179016e-06	1.0163072323898385e-07	0.29900000000000004	1.5188479186541364	502161.46286968247	22396.384436515462
28	0.0019599539786577225	7.197156776243543e-05	2349535.84	89011.85920299834	1.394729018211365e-06	9.03404603500723e-08	1.872000000000001	0.04489988864128733	524551.5028609936	19155.228813094203
29	0.001988048404455185	6.841453463252793e-05	2409721.44	86323.5309372039	1.5029991418123245e-06	1.3386916796408032e-07	1.264	0.04800000000000002	517505.629167816	17363.091979235047
30	0.0019521287828683854	7.786864104944289e-05	2721783.11	112730.49327559026	1.5844231843948366e-06	1.1943891392230725e-07	0.8620000000000002	0.050556898639058136	527751.2468128134	20938.272536964683
31	0.0018750154972076417	6.271584589184218e-05	2581510.71	90432.06780719933	1.6329157352447507e-06	9.545247358034275e-08	0.6630000000000001	0.05030904491242106	549736.1113420754	18254.154626679778
