threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.002307935655117035	0.0009798603682457652	57884.68	33356.43632790529	2.6691704988479607e-09	1.220502153328321e-09	22.561000000000003	35.15491685383426	507003.878421933	182541.03803747613
3	0.001917778104543686	9.695168073409796e-05	282617.79	23346.002635695473	1.0115206241607667e-08	7.013957104586001e-10	0.12000000000000002	0.3029851481508624	523813.339408395	26437.177042641077
4	0.001767571195960045	0.00012296439305991086	267907.22	18385.897963700332	1.9406229257583618e-08	1.2878173794815074e-09	0.32	0.12806248474865692	570328.5286211967	41612.62183488011
5	0.0019079197198152542	0.00010778757332691745	616089.15	35320.14115979012	3.323256969451904e-08	2.59308035907919e-09	0.4059999999999999	0.059699246226397176	527849.3094491943	28838.216629897266
6	0.0018606136739253998	8.348507200178892e-05	430988.44	29652.473745480325	4.783399403095246e-08	3.798339756186378e-09	0.308	0.07025667228100119	541249.2074784407	24671.42064487126
7	0.0020310761779546737	0.00018870121228125122	623696.04	25345.506879097924	7.193103432655333e-08	6.284814407350239e-09	0.8319999999999999	0.7382248979816382	498375.5310494903	34558.314847281006
8	0.0018733547627925874	9.60468524743969e-05	732047.96	44775.66672176306	8.794650435447692e-08	6.010580132793537e-09	1.0499999999999998	0.5465345368775884	538940.1130144169	27438.420181372825
9	0.001891283243894577	0.00014651007516285953	785761.48	27577.6366556237	1.1357426643371583e-07	8.178653434210265e-09	0.382	1.1952723539009842	535293.1395405418	30862.919344154194
10	0.0019522196799516677	9.28064396353926e-05	636978.59	33173.516236327734	1.4730438590049743e-07	1.1298116528299826e-08	0.9100000000000005	0.099498743710662	518027.34742379864	24865.852151960527
11	0.0018025391548871993	9.100232786661143e-05	932864.86	42257.41465708001	1.677113026380539e-07	1.274744741446282e-08	0.9010000000000005	0.009949874371066198	561720.0148434276	27833.54251708132
12	0.001802566424012184	0.00046599750115692336	785655.97	260966.32902926218	1.873185485601425e-07	1.4285562448073794e-08	0.7489999999999999	3.7830277556475846	577712.7220582373	70967.80641807761
13	0.002362496629357338	0.0006622526514892997	1192262.22	57961.340548089465	2.269443869590759e-07	1.6896512686056942e-08	2.514	4.31766186726103	464542.5368322571	129634.20747340025
14	0.0015751152485609056	0.00021322599387250547	800363.23	74954.05455795636	2.3556977510452272e-07	1.9811370743841954e-08	0.511	0.08472897969408108	651951.3052343405	68548.9642796804
15	0.0016352750360965728	8.684143908387109e-05	996969.91	36615.1881830737	2.8098054230213165e-07	1.875171403067402e-08	0.9010000000000005	0.009949874371066196	621831.1108731155	33039.958959325675
16	0.0016983494907617568	8.566434791175869e-05	1180949.91	51034.90467299709	3.373880684375763e-07	2.8882531170869624e-08	0.7010000000000002	0.009949874371066201	599097.9059937319	29049.870324674794
17	0.0017207813262939452	8.178061365249235e-05	1191779.18	45049.27961674415	3.854691982269287e-07	2.47363584325435e-08	1.3010000000000006	0.009949874371066208	591792.6618259604	28752.798090080618
18	0.002662368267774582	0.0006172461466715544	1041468.61	55758.69513374483	4.3814904987812036e-07	2.946462483860112e-08	3.161	4.6855713632384255	411636.1545914507	128269.01217427988
19	0.002583397850394249	0.0006203669613569392	1389325.61	62609.62481294629	4.796977341175079e-07	2.8909498430524643e-08	2.75	3.6052600460993105	424236.92858961894	125964.1291351971
20	0.002263704463839531	0.0006580012342959437	1227972.82	71076.02815638758	5.409211665391923e-07	3.500651653873572e-08	4.408	7.6518452676462285	487839.88267858216	130051.11347234418
21	0.001755763366818428	7.452600656229004e-05	1783153.34	62658.4844908046	6.00162073969841e-07	3.58154393707938e-08	1.2009999999999998	0.009949874371066203	582003.0905470406	24983.504348935494
22	0.0018757674843072891	0.0005827953505260471	1395689.07	243102.97005957185	6.170908361673355e-07	4.578377907180187e-08	2.0420000000000003	5.66623649347607	581916.7977380162	122396.48461496968
