threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0021096356213092804	0.001176455151537803	28470.62	19120.663226875786	8.89577120542526e-07	4.6864285243332164e-07	83.91600000000003	27.876914176429214	574316.0584562955	206490.64475294348
3	0.0016855233907699585	0.00022276247950189936	42700.56	1345.9420219311085	2.8728409856557845e-06	1.0503150406587972e-07	127.91099999999999	7.683370289137446	601582.8781850514	55405.87489890435
4	0.002376035153865814	0.00016755605880351752	89257.2	23492.11488904309	2.08586260676384e-06	4.2867544757383163e-07	83.05300000000001	24.596168217834258	424154.0868493133	28919.787429077376
5	0.002691892236471176	0.00019375555194625345	101451.11	14924.315263954322	4.007380977272988e-06	5.445713292357289e-07	129.69000000000003	22.961609264160913	374827.7755214252	26227.07455290198
6	0.002680640369653702	0.00013939598780982897	78175.28	11956.605193013611	4.844028651714325e-06	5.860128184497302e-07	125.79599999999999	25.246417250770456	375965.25594939763	20409.038293543366
7	0.0025574494898319244	0.0005899422191540907	154778.0	13898.725258814206	6.5800891071557985e-06	5.769989129787743e-07	156.75099999999998	15.140538266521434	426032.5603260251	144479.02115446853
8	0.0014157237857580186	6.116917927982561e-05	183609.28	8494.842932132413	8.466104194521903e-06	1.7308602981203685e-07	166.90200000000002	11.603947431800961	712633.3799797471	30983.799292392654
9	0.0014782565087080003	7.616844357761705e-05	263234.01	62644.11391256085	9.988080859184266e-06	1.9026089332468914e-07	168.048	11.2838511156431	683688.0738487967	35114.431408437296
10	0.0014948071539402008	5.806558246699259e-05	237916.61	5842.160749063654	1.1393469572067259e-05	1.4422546456572428e-07	172.89400000000006	9.560311919597611	676024.1646874365	26300.46691103987
11	0.001468230113387108	7.262878941773471e-05	192117.58	11687.966611160386	1.2461872696876525e-05	3.0570457430971676e-07	173.67500000000007	9.598285003061758	689552.2548306973	33431.463121693734
12	0.0016620784252882005	0.00033460013798052506	310579.79	57241.08943605021	1.4757373780012133e-05	1.007137796520598e-06	157.835	29.384064984273348	624769.2707885039	83591.24607854003
13	0.001822236105799675	0.0005175858178411461	366768.85	200444.66722686213	1.6884137392044068e-05	3.708215712097377e-06	165.608	14.599388206359883	584530.7301681937	106129.35126396787
14	0.0016791141778230668	9.114776963563094e-05	302102.81	10868.0746065667	1.8955934196710587e-05	7.518789400525937e-07	148.704	22.025257864551783	605092.258138404	33225.27664223935
15	0.0016178522258996964	8.579040884637383e-05	329495.97	40372.38432207219	1.9493293166160582e-05	9.473394376577884e-07	167.33000000000004	10.573074292749485	628353.8757973679	30429.661068053214
16	0.0016893772780895234	7.168395429816483e-05	425086.35	20637.282807276253	2.200348377227783e-05	6.494784954451576e-07	162.18599999999995	20.320068995945842	601892.387597831	25472.02777615949
17	0.0020801597088575363	0.0005942343649286468	392550.66	125838.58802904775	2.1842934861779222e-05	1.0919318446847526e-06	168.06699999999998	10.626900347702504	525910.3068333085	131610.92254799703
18	0.0021175826340913773	0.000605169769951628	438303.17	35658.072492229585	2.488034665584564e-05	1.3288613272575949e-06	163.80400000000003	17.904602313371843	515136.8320256645	122544.74020243283
19	0.0018564659357070924	0.0003978074729407047	420709.1	32667.857449333893	2.691311240196228e-05	1.511593614143423e-06	161.36099999999996	21.28426129796379	565773.7209087602	82460.1898995091
