threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.001869889125227928	0.001137259241706871	19051.94	12644.752112097729	1.073552742600441e-06	3.2304647140209774e-07	15.066999999999998	26.482065837090577	721989.5491992421	333739.33257189393
3	0.0009950613230466842	7.41238347126516e-05	129689.55	2243.464835360697	2.0716197043657303e-06	1.5585175785915248e-08	0.48900000000000005	0.24815116360799117	1012593.174840098	75682.57654878512
4	0.0019707798957824705	0.0007797615676219075	143202.55	59229.55098519235	4.5451201498508455e-06	1.0368397571887343e-06	3.81	10.262411997186627	591456.1505624839	217804.88054680196
5	0.0018487728387117386	7.281469424235998e-05	165963.82	4784.671897591307	6.956577375531197e-06	1.3819642874750638e-07	0.4019999999999999	0.019899748742132402	543900.1919088144	21284.306033849505
6	0.0019284296035766602	8.976181059576484e-05	321277.1	11332.281423879307	8.851322904229163e-06	3.060446708797528e-07	0.305	0.021794494717703363	522264.08084558067	23988.05107210106
7	0.001989701017737389	0.00014255728645935547	307837.34	53744.41421510145	1.0936573147773743e-05	7.261348770284973e-07	0.5	0.0	507441.6759827208	26315.761234419875
8	0.0021719107776880264	7.852379307363557e-05	266695.32	5777.751070927165	1.3581280857324601e-05	1.897475498449231e-07	0.7000000000000002	2.2121037052315358e-16	464272.54463514505	17331.904906507472
9	0.001855551227927208	8.398715051524704e-05	363133.99	11025.904271754767	1.3403363525867464e-05	5.045616895440922e-07	0.17500000000000004	0.08645808232895291	544373.2871990979	25213.05386173418
10	0.0020102619379758833	0.0001107406297793883	365230.46	31466.763600478524	1.6066102236509326e-05	4.02822570786715e-07	0.9000000000000005	5.490835794431987e-16	503206.545811943	23586.591945435765
11	0.0019310057163238526	6.611657059172658e-05	491486.98	11172.69611864567	1.70996405929327e-05	3.285315022800401e-07	0.9000000000000005	5.531095007374432e-16	523647.5132683758	17663.87520279838
12	0.0019152318686246872	0.00010393566264501282	472738.69	15787.876486529152	1.861970983445644e-05	6.432171655203213e-07	0.301	0.009949874371066193	529470.4318983892	29512.461314315446
13	0.002090255841612816	0.0003101618059770914	447539.79	61121.90078299184	2.1351040005683895e-05	1.3433054808686802e-06	1.2769999999999997	1.1201656127555422	491887.83508991706	52933.52061519896
14	0.0021755264699459074	0.00031697100389429286	588808.27	24461.817928295925	2.3754434511065488e-05	1.0762069216062606e-06	1.375	5.955860559146763	472980.56499064044	51332.80808102617
15	0.002035928666591644	0.0002563421734564782	560131.4	17324.416477907704	2.428520619869232e-05	5.110362351230198e-07	1.0060000000000004	0.6354242677140998	503534.55493603094	43936.97986572498
16	0.0022210121154785157	7.585461656910097e-05	556620.68	9445.283685395583	2.912076659500599e-05	4.0384318394319104e-07	0.7000000000000002	2.1953239152422632e-16	457538.608899955	15815.695278631387
17	0.0025888339430093763	0.0005590461248568053	602190.32	47772.352233667545	2.8104313090443613e-05	1.980036029954956e-06	2.792	3.93740218926134	409577.17086961656	80848.98270182559
18	0.002188515514135361	0.0004943421259921118	630849.9	28148.321797400284	2.905765727162361e-05	1.4907713434702902e-06	1.9910000000000003	4.080566014660221	483506.5374326698	83776.3470521816
19	0.0019589496403932573	0.0004481198137761621	675871.77	35907.52235809511	2.842068083584308e-05	1.0717819280786812e-06	1.3119999999999996	1.0152122930697796	539021.1400892015	85528.4992354674
20	0.001943977028131485	0.0001924908950677832	611626.39	14761.919016100177	3.187399171292782e-05	5.834474035339571e-07	1.920000000000001	0.19899748742132406	527680.7200641894	36088.0400850659
21	0.002624551057815552	0.00038386745669607666	1299571.51	78708.98139469154	4.457390211522579e-05	1.7207286127070086e-06	1.5179999999999998	1.6364828138419294	394993.7247871736	44042.45990536529
22	0.00262360155582428	0.00023481045952807164	1569102.13	84203.35725606847	4.8259221762418745e-05	1.2958072572354592e-06	0.9320000000000005	0.3085060777359175	391558.7951706309	27118.648848382054
