threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0003903919999993377	0.0009959365404955459	17262.22	13391.678967612685	1.5921999950478493e-07	1.6617217495780184e-07	2.495	14.04114222561683	6381577.958791611	2178639.357024773
3	0.0001970520000304532	0.000175669840576634	36146.74	63390.94654501067	3.6389199937730157e-07	2.963638784135782e-07	0.4260000000000001	2.6550563082541205	6055543.619048575	1375867.1095546596
4	0.0005231220000314351	0.0009387065179558639	57622.73	104797.23733733204	6.617689998984132e-07	6.196313163643379e-07	2.9429999999999996	12.507727651336191	4732193.120763064	1872160.0550963073
5	0.0005119439999634779	0.0008175005782951334	63815.45	111560.98101427534	9.07208999951763e-07	5.78646182314221e-07	3.2649999999999992	12.271205116043006	3977945.236040725	1514525.8488548617
6	0.0005577870000070107	0.0009774944579648136	115628.7	161951.66063727165	1.579535999253494e-06	1.197068830234929e-06	3.263	11.896677309232187	3480571.012832252	1158468.0031602767
7	0.00045442499997989217	0.0007809935493615594	122520.37	158817.18742350623	1.714121999239069e-06	1.2091358049724246e-06	2.064	9.579024167419142	3759105.978389887	1326946.6572230253
8	0.0004427449999820965	0.000688681310499998	138334.69	199184.89502162032	2.2341939994657877e-06	1.9331299242283595e-06	1.5929999999999995	5.09827921950142	3679317.349096351	1256864.0872028414
9	0.0010156070000266481	0.0020172728482088947	265390.49	878255.1458524964	3.770541999065245e-06	9.594487518329417e-06	4.301	12.559757123447891	3235589.7783762254	1634644.4587196645
10	0.0006516440000177682	0.0010427133600621724	221948.19	336079.935919379	3.617706000004546e-06	3.5494530975511026e-06	2.51	5.179449777727359	3328292.5212145974	1424328.8566794524
11	0.0004941920000419486	0.0007102728978891636	192154.71	271810.2645354401	3.602780999881361e-06	2.916364010314841e-06	1.8750000000000002	6.075547300449565	3268447.445925351	1087680.2677914705
12	0.0007745740000154911	0.0017086445122441478	560212.22	1566684.0868522127	8.712938000981013e-06	2.042882730746078e-05	0.34399999999999986	0.17281203661782357	3105918.5623575817	1179386.6250976995
