threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0002585317000084615	0.0004604878928529455	0.0	0.0	1.5980010015573498e-07	1.0389492314314996e-07	6.7799	19.666358737448068	7342793.787304447	3796774.2870803988
3	0.00029747080000470304	0.0005272194216645524	0.0	0.0	2.9727339979308453e-07	2.444876288095772e-07	33.143100000000004	26.90817705438256	6880379.605800053	2729822.6484362152
4	0.0003527779000096416	0.0005779550913879373	0.0	0.0	5.045766000348522e-07	2.7855714691824396e-07	41.6684	30.698260234742943	5732753.803947744	2121154.8211464966
5	0.0006942283999933352	0.0011569060178240568	0.0	0.0	7.33967700055473e-07	4.853203370274045e-07	57.101	32.23155657116175	4546108.112074459	2306007.0624005455
6	0.0005444493000031799	0.000792170191226031	0.0	0.0	9.929263000394713e-07	7.612778661470346e-07	51.3867	20.169931906429433	4436603.714772015	2089222.9964194393
7	0.0003550209999884828	0.0005112371539112922	0.0	0.0	1.2310423999679189e-06	7.161164309654307e-07	44.6327	12.516797542103173	4640135.972177081	1480362.8565481002
8	0.0003866694999851461	0.0005211433951679012	0.0	0.0	1.4903343000414678e-06	7.609897864679723e-07	34.2386	13.346277010462506	4285318.365934904	1490456.8769623968
9	0.0004278269999949771	0.000562929998248699	0.0	0.0	1.7872265998985313e-06	8.201938576440194e-07	28.235800000000005	11.973595882607697	3956785.212859676	1463948.978043114
10	0.0004451061000063419	0.0005925261545281065	0.0	0.0	2.130906900059927e-06	1.0253624676125624e-06	24.5476	10.936032838282811	3799131.6136541986	1387777.1985247012
11	0.0004909578999722726	0.0006379614540775027	0.0	0.0	2.460405500309207e-06	1.019513205629737e-06	18.9291	12.471255878619441	3573295.9728918555	1380125.0696314308
12	0.00044240300000547	0.0005543770491910928	0.0	0.0	2.710349199837765e-06	8.039974132532485e-07	12.4205	9.673417687146564	3636063.414637	1255455.6178163963
