threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.00014474179997523605	2.4530614203579673e-05	5088.919	1432.8433733102163	4.5200000840850397e-10	2.5644055665616027e-09	1.2599	2.5393191981316567	7055245.380052101	868495.2558189519
3	0.0001806319000061194	2.75230814500027e-05	32250.672	4831.524225585131	7.777000118949216e-10	1.6097423645068634e-10	0.38930000000000003	1.2081785919308452	5643299.065262833	676733.8395953525
4	0.00023336829999061592	3.637031542954903e-05	109479.059	21166.5489433568	2.3496999974668142e-09	2.5710464711698566e-09	0.5585000000000001	1.3555101438203998	4383782.918005405	580177.733262979
5	0.0002466347000090536	3.471967577414887e-05	126521.077	16579.411022864202	4.375399997115892e-09	4.92938887625978e-09	0.4904	0.6870719321875985	4137421.2514712936	501926.44469019765
6	0.0002773350999987088	3.106741827319007e-05	164094.855	21853.58488934882	7.427599975017074e-09	7.407559529871534e-09	0.37610000000000005	0.5419029341127433	3662478.640862305	370103.62841519935
7	0.00032199430001219297	5.0460613531897705e-05	168168.757	29685.65782286037	1.1309100004837093e-08	7.873581627530138e-09	0.6267999999999999	1.0096344685082816	3175595.2010777737	369294.01566218905
8	0.0003481858999957694	6.647077485223132e-05	197556.628	39632.277844827644	1.6991499986033886e-08	1.656243695791833e-08	0.7719999999999998	0.4502621458661609	2951439.4244263056	374202.30974046816
9	0.0003023859000086304	4.54679448770117e-05	248284.51	41512.8234907709	1.8782700029078115e-08	1.649146966150509e-08	0.1748	0.5113755567095478	3392541.092640856	416845.9006330834
10	0.0003747588999913205	0.0004071528916922135	298825.897	346771.4871593805	2.731579996361688e-08	2.7259584958110446e-08	1.0446000000000002	0.8977587872028878	2981608.0369043397	548371.6637272891
11	0.0004399309999880643	0.0005775404443096959	343084.924	544332.9220866787	4.5369599981313514e-08	2.486790243907906e-07	1.2344000000000002	1.929900681382335	2826654.780092922	698397.4554727337
12	0.0008848283999905107	0.002144817870289196	676392.384	1911292.8354188148	1.279845999833924e-07	1.1131899437180576e-06	1.578	4.942685100226394	2531921.308976301	960486.2571888138
