threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.00023162020000745543	0.0005178166248418677	0.0	0.0	12.407656073702599	0.7340421488264068	23.025599999999997	19.2293511237379	8962033.746913122	3085573.04515261
3	0.0003171519000088665	0.000609586787363247	0.0	0.0	18.5067995778119	1.3188979604709687	29.4569	30.506744703261933	7347507.633499021	2600362.1793251885
4	0.00035613490001105676	0.0006012748761721392	0.0	0.0	24.607268515755198	1.8762852989973446	38.20439999999999	22.92700069001613	6098726.189391742	2215173.681086979
5	0.00027169560001584616	0.0004222875384644373	0.0	0.0	31.0455558154416	1.264960233542168	39.602199999999996	21.412209021023497	5836042.16381509	1598070.1394134734
6	0.0002799720000075467	0.00040495234462300194	0.0	0.0	37.222251179643294	1.6304660471078822	38.105	11.408279230453646	5440706.04352321	1505710.5035877777
7	0.00034126599999217435	0.0005377484780309181	0.0	0.0	43.3749632087954	1.9202906564239495	30.293	11.731790613542334	5030354.236207507	1563145.3992233167
8	0.00035099919999447595	0.0005049012833475609	0.0	0.0	49.6227612340906	2.2473953048259334	28.8418	11.17525269333987	4635408.5520272385	1453892.0725522935
9	0.00037498519998916893	0.0005246786523336219	0.0	0.0	55.95294265195919	1.5132158330927723	24.259900000000002	8.312924996052832	4317281.834263716	1338660.747997015
10	0.00038112699998146127	0.0005063309783251822	0.0	0.0	62.059327579650095	2.1626905132395726	19.3007	9.678570633621476	4137138.3478407133	1312978.445491148
11	0.0004199473999942711	0.0005511759680616928	0.0	0.0	68.2234485294051	2.5493211204576265	15.876700000000001	10.355967705144701	3890874.061183401	1323964.3715451357
12	0.0004439788000026965	0.0006122284770465532	0.0	0.0	74.58900401157301	2.0159818963912532	12.350299999999999	10.59988678760297	3751044.935211884	1248821.3641450692
