threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0007579677999892737	0.0015551357981251315	10038.335	33379.96157203862	2.1911999856456532e-09	2.706330249587225e-08	9.073	22.240881075173256	6703875.856578626	4651606.176010135
3	0.0006287977000092724	0.0011259940081107275	50311.629	73809.8932007584	3.6968999938835626e-09	4.21017830732075e-08	5.287299999999999	16.832313825199435	4803764.699674341	2211498.5667353817
4	0.0005180669000219495	0.001010152754638328	85021.279	99275.08326673496	2.4844000135999525e-09	8.771892412740004e-09	3.3020999999999994	11.074972035630612	4854144.1279532	1957010.5622174742
5	0.0005037163000106375	0.0009283716143064589	105494.644	91897.53445284191	5.2869000110149505e-09	4.059539846367143e-08	3.0259	11.642798597845795	4380470.027889255	1641406.6043226842
6	0.0005004732999968838	0.0009053295800037013	142618.743	150326.58134697584	1.1387099999410566e-08	1.0107459514946318e-07	2.6803999999999997	10.660201491529136	4244842.128790715	1626950.4329324195
7	0.0007268002999935561	0.0011329220787461218	186965.667	174392.04563275847	2.8311599993685377e-08	2.6901697367717684e-07	3.4808000000000003	10.570230430790048	3014776.046143117	1322556.9300514827
8	0.0007158393000090655	0.001212363860064441	265570.625	301232.50779508904	1.3103900018904825e-08	2.2500511438883207e-08	4.1409	12.25429137853348	3415406.5593580296	1523358.1474011706
9	0.0007150447000067288	0.0011047289158721122	294628.947	278702.3540945648	2.7578600010201628e-08	1.922865419489026e-07	2.5331000000000006	8.846762932847247	3088257.0472971904	1380449.823015105
10	0.0007331206000062594	0.0014361547890496516	295492.339	607088.6242007735	2.481730006002181e-08	5.578436892708651e-08	3.4063000000000003	8.980103023351125	3328316.628206363	1479060.9505263919
11	0.0009600406999979896	0.003958756048048197	556662.068	3528670.3318710043	3.372130000570905e-08	1.8413451779102914e-07	3.1518	7.745191847849865	2929930.7396493484	1356103.8577084183
12	0.0009521336000261726	0.005474004059176497	804319.291	4932473.410652332	2.2978230001990598e-07	3.394391358228171e-06	0.554	2.016021825278685	3423825.957485466	1167290.4582837739
