threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.002022416599994358	0.0025464651334522	3074.072	17990.173589457554	1.2606600006074588e-07	2.561290550953539e-07	24.055200000000003	37.50106602431456	5593556.911022772	5703008.270772327
3	0.000417961999984982	0.0009252545509444893	3330.918	3128.6306926954485	2.668595999257377e-07	1.4191261749629508e-07	16.211	18.883614563954648	6166591.818786284	2493042.205306702
4	0.0009239389000003939	0.0015406183224178464	4670.341	5278.57247754722	4.98761399758223e-07	4.13481485018156e-07	22.6976	25.00440189726601	4332407.524156197	2516680.667813137
5	0.0005962212999957046	0.001038112471760186	5612.485	5166.13543858221	6.869147001752935e-07	3.9982108875198893e-07	31.0838	20.591175235036975	4446185.728945996	2185411.731845314
6	0.0006459647999845402	0.001095325364428448	7621.992	4660.585434249221	9.746857002219258e-07	5.401917445193492e-07	48.8302	19.844804054462216	3882658.9775017807	1854874.9615995514
7	0.0008870398999879399	0.0014350478158664517	8739.461	5171.2575424628585	1.2915800003756885e-06	7.111024721058856e-07	51.4906	14.174218554826929	3528066.0491787177	1811222.0776415688
8	0.0007144183999889719	0.0011841947699414174	9666.036	3322.2638941998575	1.5702452000568883e-06	5.870905166442011e-07	43.9134	13.806667245935927	3456089.1014881562	1553855.4833203843
9	0.0012131565999998202	0.00169754997913367	12490.162	18557.47359156833	2.2271769004364614e-06	2.1583318109253963e-06	44.073100000000004	17.561719915486638	2530321.7470025476	1567082.3234975522
10	0.0009787930999900708	0.0015288764899928128	13646.441	12403.610120385072	2.6647932999712794e-06	2.4635677251553816e-06	36.223	13.530396557381458	2625090.527472584	1271859.4001132278
11	0.0007313662000160548	0.0010344690289985348	15138.465	4925.1804203272595	3.0540019002455663e-06	9.669507928249364e-07	28.4369	10.728386103697051	2623471.6771401195	1036635.5363948536
12	0.0007931820000012522	0.001115882390972648	16234.901	5014.7255194276595	3.5615501996917373e-06	1.1045596692444888e-06	24.3176	10.219566049495448	2468461.2733328417	1009277.3080371335
