threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0004434884000229431	0.0010667697989929954	6712.382	17583.17883848299	1.279323004437174e-07	1.1866688285047122e-07	5.9894	16.966191901543493	9713693.584959026	5589959.631918975
3	0.0005266555999814955	0.0011313201511246934	14283.45	32385.41102134571	3.318593998483265e-07	1.7766509747977093e-07	19.7458	15.645256225450575	5627432.979566704	2288558.230531381
4	0.0005108934000027148	0.0009753493847885716	17042.227	37401.1580923836	5.699041001698788e-07	3.3257806138355313e-07	21.6843	15.57035977458453	4777206.956005697	1926922.8072232702
5	0.000603076600012173	0.0011597489897520242	19744.482	32829.282965999664	7.996741000742987e-07	3.9732969318312664e-07	19.4865	15.741658354506363	4453360.820586879	1867399.5639008416
6	0.0006134050999844476	0.0011473583568060144	22988.711	38886.97247736675	1.0735326998101302e-06	4.4914380445193596e-07	18.169600000000003	13.659024703103805	4088464.8013229636	1655750.2132621869
7	0.0006670754000142552	0.0011712670914500866	27817.764	61209.01031645835	1.4017791001706427e-06	8.432968343280725e-07	17.5	11.766994518567603	3682926.427339129	1640159.7141728906
8	0.000588983399998142	0.001034858189605903	23932.323	16209.596680937839	1.5186212997869006e-06	3.655984920746528e-07	22.249200000000002	11.171936240419562	3914324.9302077675	1559035.2024712502
9	0.0007222851000187802	0.001365298554008301	33049.446	70418.46125300584	1.8423399000585048e-06	8.294240316361752e-07	19.0872	13.05147639771072	3703993.2970751845	1531837.560204253
10	0.0005801313000010851	0.0010019298091273495	35603.72	54747.40796578045	2.1879214002428854e-06	9.782074747012152e-07	17.972099999999998	8.984353710200862	3642125.21332236	1380415.8759016988
11	0.000622123900007864	0.001084672663037565	35117.835	54568.55862703152	2.4372733998934564e-06	1.0143581304142545e-06	14.9475	8.69073608792719	3568339.668182628	1384224.7123768397
12	0.000663582100003623	0.0011925936877436212	42223.702	93840.97096048824	2.825801399451848e-06	1.7335126159734782e-06	14.5793	10.047029486868245	3466820.4580531213	1359262.5791756155
