threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0005248361000030854	0.0012008163242661813	17721.695	52009.86650784614	1.1984690009558106e-07	2.021258532692023e-07	4.2664	17.924683289810172	8860020.338503983	5196841.18654956
3	0.0003525027000159753	0.0007636443543559494	34504.769	65218.02160332403	3.0411190005816025e-07	2.76635393468874e-07	2.5530999999999993	12.472154200057021	6266284.606898721	2167605.337543114
4	0.0004659764999923937	0.0009848586244440532	54569.988	114286.89343612353	5.594374999973297e-07	5.443299677805855e-07	2.8495999999999997	13.48624261386395	5294312.372058557	1953840.5211737982
5	0.0005586059000088426	0.0011138652757273655	93680.287	200145.05975156277	9.736735996903009e-07	1.065242606364319e-06	3.2223	13.03859243591884	4398998.032982391	1713559.238306147
6	0.0005511856999983138	0.0010128221699355774	91014.996	157490.85574529076	1.2583931997878608e-06	1.1567887378887862e-06	2.7813	11.003071403476394	4206921.441627181	1659603.8524959786
7	0.0005903642999828663	0.001042442161844146	140921.839	246514.89347231554	1.8069929001467244e-06	1.6991839029165322e-06	2.9774	11.497947175039553	3736643.3136532204	1472749.5629823657
8	0.0005511874000121679	0.0009357658384788606	141302.69	224570.85911180885	2.092612899891719e-06	1.962276656300784e-06	2.8743000000000003	10.474773959852307	3784738.0715001514	1465012.0546548427
9	0.000574382599999808	0.0009600378461541361	187383.057	366462.91733219847	2.564198999825749e-06	2.7918440537491974e-06	1.7037	6.9737505196271545	3650108.5824952964	1439546.2171153836
10	0.0006637630000086574	0.0011184783600046906	193650.054	374517.1554944648	3.261944600061724e-06	4.101983255076946e-06	3.0906000000000002	8.764135532954748	3466931.938109112	1453780.2466829112
11	0.0012341397000409414	0.0026289374395153356	625640.878	2296906.370605397	7.118269799928384e-06	2.1462364714205108e-05	4.557799999999999	9.773342271710328	2990580.218305557	1629204.438920784
12	0.0007252687999916816	0.0023648253208415973	542984.763	2277563.4795246283	8.026557000246611e-06	2.7982532873959795e-05	0.519	1.9450138816985343	3644710.402029	1221498.4547068912
