cycles	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
1	0.00044545648988787435	0.00190105744442049	0.0	0.0	2.7876923197618445e-06	2.702022253371365e-07	53.02600000000001	6.199719671081911	3971274.3889715923	538773.8135941587
2	0.00024269480010843836	1.287664826474114e-05	0.0	0.0	2.6478574904467678e-06	1.2951974092286537e-07	42.597	5.844902993206987	4177084.960404587	214570.9816259034
3	0.00024182075012504355	1.4288056684772784e-05	0.0	0.0	2.644190107912436e-06	1.5861859058938296e-07	43.03999999999999	4.172720934833769	4195043.160753347	241711.35181549485
4	0.00025618034005674416	1.2335912203945282e-05	0.0	0.0	2.8169010520650764e-06	1.3545329604990697e-07	42.73000000000001	15.406469420344168	3955006.9942754097	179339.5023760409
5	0.00024005309012864017	1.0873205114793164e-05	0.0	0.0	2.637380431078781e-06	1.2408117424768568e-07	38.86300000000001	8.511564544782587	4219892.684263525	185178.179852266
6	0.0002441556700614456	1.3187720605582032e-05	0.0	0.0	2.684598494179226e-06	1.4903621218224971e-07	41.093999999999994	4.535588605682839	4153051.921489469	227238.34337094185
7	0.00024188862005757982	9.920326725729181e-06	0.0	0.0	2.655269059378043e-06	9.774955584946214e-08	33.619	4.388683059871149	4186101.7886846187	158869.58552403993
8	0.00024025246008022806	9.539917779983965e-06	0.0	0.0	2.638509719454305e-06	9.981157220272074e-08	32.999	3.980841493955769	4214201.322312082	155744.0575559708
9	0.00024356836998777	1.1673431566853961e-05	0.0	0.0	2.6792333685807538e-06	1.317741517791438e-07	33.185	4.1444028520403275	4159708.8371254965	186818.15508665648
10	0.00025779560002774814	8.949081529568912e-06	0.0	0.0	2.840295366677309e-06	1.0070444349868899e-07	34.545	3.343990879174165	3926149.629648687	128101.5097747943
11	0.00022908998014827374	1.2337778085519201e-05	0.0	0.0	2.513952255685581e-06	1.3870566129842023e-07	37.181	5.657255429976624	4425113.976245356	223105.7831714408
12	0.00022609172003285494	9.918403010012061e-06	0.0	0.0	2.4785633087958562e-06	1.1426040873256456e-07	28.851999999999997	4.32604854341696	4480197.972384187	195536.94890440087
13	0.00024601117998827247	1.8220481092556074e-05	0.0	0.0	2.668396829631092e-06	1.2352557636376464e-07	45.959	10.749093868787266	4128855.195521542	265632.2942848646
14	0.0002485807299854059	2.3122951063646755e-05	0.0	0.0	2.721759941614436e-06	2.426200295220609e-07	52.77400000000001	7.245420898747014	4094883.323158121	307199.1342382213
15	0.00025333937004688777	1.7284977811586162e-05	0.0	0.0	2.7829010898676642e-06	1.9546356881975394e-07	34.39300000000001	10.13300799368085	4008708.668410778	265328.12509944965
16	0.00025738791011463034	9.011836131511519e-06	0.0	0.0	2.8264672301702383e-06	9.840106263459005e-08	32.263999999999996	4.486881322254913	3932530.582980578	131795.2686791334
17	0.00025872652993712107	2.400963426270599e-05	0.0	0.0	2.8398821012342528e-06	2.5638710681303656e-07	33.18399999999999	2.944816462871668	3929837.9732560064	248339.89650213122
18	0.0002406246199643647	8.425203348842191e-06	0.0	0.0	2.6451511810410006e-06	9.656047577279325e-08	31.555000000000003	3.0961387242822314	4206403.583282899	138483.32741627796
19	0.00023051003996442886	1.0826934366110153e-05	0.0	0.0	2.5302372594160263e-06	1.214497912588033e-07	29.804000000000002	3.8403364435944938	4395194.866350968	197713.59655214133
20	0.0002567007699508395	6.312114790962324e-06	0.0	0.0	2.8243036338062667e-06	7.016245644221445e-08	28.560000000000006	7.1122992063045265	3940753.839887492	94268.97128085436
21	0.00024506865009243483	1.1141261569577813e-05	0.0	0.0	2.6869188815726373e-06	1.2282857859506823e-07	36.78300000000001	8.611574246326859	4133812.0024429564	185801.20748542578
22	0.0002556434199141222	8.404912112500323e-06	0.0	0.0	2.8111578109565026e-06	9.151498563034709e-08	26.642999999999997	6.537587551995002	3958807.1676685493	124216.09978264167
23	0.00024404006995609962	8.813522432251289e-06	0.0	0.0	2.6762188078828337e-06	9.704813764978521e-08	27.801	7.388578956741275	4147957.6638827543	144107.37989802263
24	0.0002395961900401744	6.185215476051677e-06	0.0	0.0	2.629881608245341e-06	6.81781730127255e-08	31.072000000000006	2.9592931588472275	4222331.359998541	105885.31926028153
25	0.00023261407995960325	1.2319449384364881e-05	0.0	0.0	2.5502884214256487e-06	1.3958754972361286e-07	38.138	5.0530541259717365	4358049.8642812325	223010.74599495638
26	0.00023947335004777414	1.6564454852954647e-05	0.0	0.0	2.6273012459932948e-06	1.8431189051459333e-07	30.657999999999998	4.356746033452031	4242900.333069835	306477.86430931016
27	0.00023881768984210794	8.336520739525635e-06	0.0	0.0	2.620449938694947e-06	9.053451104793282e-08	30.575	4.20705062959789	4238478.9986126935	148479.0028752
28	0.0002245912199396116	7.022840696221102e-06	0.0	0.0	2.461242276585835e-06	7.830995019455892e-08	38.575	4.109096616045917	4505754.668899048	135808.95691514274
29	0.00024165462009477777	1.6505762351228727e-05	0.0	0.0	2.6313392345218743e-06	1.6445289343196285e-07	34.291999999999994	5.060823648379777	4202296.300090735	273694.4097871266
30	0.00024294536995512318	1.3747353078232893e-05	0.0	0.0	2.6555350766466288e-06	1.5174405149941921e-07	37.757	3.344465727137894	4175056.6694713724	241857.1599677895
31	0.00024313667981914477	8.143000075688343e-06	0.0	0.0	2.6649090404316665e-06	8.877342807591119e-08	32.519	3.6377656604019997	4162738.922228774	136940.41744282458
32	0.00023956103988894027	8.846745336378412e-06	0.0	0.0	2.621711918873188e-06	9.824675334029567e-08	29.712	4.474690603829498	4226088.197168207	159461.35282174466
33	0.00023035678001178894	9.775823273973723e-06	0.0	0.0	2.522720539745933e-06	1.0800488706147096e-07	25.105000000000004	4.183715453995407	4396800.806652009	187869.6088528724
34	0.0002287887599050009	1.1559350428180044e-05	0.0	0.0	2.4973606815729e-06	1.0280046725668706e-07	36.208	6.047589271767719	4428877.634184866	200364.1804283399
35	0.00031906338987027996	0.0002695032947235916	0.0	0.0	2.9301369011045603e-06	3.182144723119673e-07	40.510999999999996	13.96774065480885	3694240.7500170977	681792.5612101175
36	0.0002647720801178366	1.2275976873288736e-05	0.0	0.0	2.8960020331032867e-06	1.3343775121698073e-07	45.033999999999985	5.552480886954948	3826202.55431617	168996.9480969047
37	0.0002428829299969948	1.1957725355749812e-05	0.0	0.0	2.654843333075405e-06	1.3224121711659455e-07	46.126999999999995	7.986637026934429	4172481.109514619	204873.7066824675
38	0.00023672560993873048	1.2415301715299245e-05	0.0	0.0	2.5850496243401725e-06	1.3678867979330982e-07	41.023	7.092867614723963	4282137.569671452	217259.90060492718
39	0.00023493441000027815	9.498447133689155e-06	0.0	0.0	2.565485459908814e-06	1.042502238172098e-07	39.369	7.943395936247922	4310292.219802237	173414.4303456618
40	0.00022288073994786828	1.1384392091989425e-05	0.0	0.0	2.433450853004615e-06	1.1000572989859122e-07	19.56	8.334062634753833	4546821.632677089	211797.61369727505
41	0.00024029673988479772	1.3818271173357275e-05	0.0	0.0	2.621116861428163e-06	1.5144913280967977e-07	34.632999999999996	6.949576318021121	4220878.13557173	236467.29952872935
42	0.00023578497008202247	9.614368659944735e-06	0.0	0.0	2.577480497202486e-06	1.0728825667630802e-07	29.847	3.9552611797452766	4294796.721163967	172670.31711113016
43	0.00024183187992093735	6.955862941040131e-06	0.0	0.0	2.6421379414023254e-06	7.341376357487165e-08	31.225000000000005	3.0558591263341968	4183875.456853902	117257.18933729334
44	0.00023220333003337145	8.8752222634038e-06	0.0	0.0	2.533255110793107e-06	9.68639122347759e-08	34.13399999999999	3.8337506439516895	4359850.163260079	160419.69221039323
45	0.0002520422899033292	1.9150031892143082e-05	0.0	0.0	2.744592151921097e-06	1.2656622063483306e-07	32.295	3.7868819627762362	4028585.551641801	234497.09946421837
46	0.00025888751004458753	1.018987370249529e-05	0.0	0.0	2.835672416204034e-06	1.1201761143201778e-07	32.851	3.0263342512022695	3911018.885866857	148695.30479446647
47	0.0002409446400270099	1.8422515101374227e-05	0.0	0.0	2.6314169018041876e-06	2.0451946693330646e-07	31.099	7.21008314792555	4219212.662123297	304807.7706923847
48	0.0002384748400254466	2.0815570204920213e-05	0.0	0.0	2.60280085636623e-06	2.2888215844358535e-07	30.108999999999995	15.010090572678102	4271421.897043779	369566.46452788485
49	0.00022605616995861056	7.08106790084374e-06	0.0	0.0	2.4657096228474987e-06	7.518133639559876e-08	26.279	6.67826766459686	4476556.054657212	138991.57080720886
50	0.0002314879799814662	9.380239005532244e-06	0.0	0.0	2.5230565885249234e-06	1.0399215479755402e-07	35.144	4.504094137559738	4374271.198437176	173042.17264512184
51	0.00023245288011821685	8.808395907446388e-06	0.0	0.0	2.53354439888426e-06	9.779989614335697e-08	34.940000000000005	4.2329422391523375	4355200.990761209	160176.43421338178
52	0.0002298922599402431	7.79134227681921e-06	0.0	0.0	2.5019327989502925e-06	8.562716290321869e-08	36.07	3.834253512745343	4402069.850376577	139223.16442928248
53	0.00024184601999877487	1.5891107892989384e-05	0.0	0.0	2.634803219098103e-06	1.7500368391778303e-07	36.348	3.431340262929341	4198095.045973597	273569.11567400483
54	0.000254464669887966	1.3894839005513403e-05	0.0	0.0	2.777649908603053e-06	1.5458006490660561e-07	34.238	3.702722781953842	3985423.024560122	229299.2759104978
55	0.000258321009860083	1.1417289924941637e-05	0.0	0.0	2.820385890736362e-06	1.2378088158525732e-07	45.669	11.378617622540974	3921043.4212164776	169355.16877515244
