cycles	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
1	0.007043156772851944	0.04790979939438474	17128339.94	151036822.0274967	0.0006867148549854754	0.00597588036662628	15.083999999999996	16.394906038157067	393491.0951643205	283139.57202177553
2	0.0007171471416950226	2.265947319783391e-05	1819801.29	60029.16061603643	8.085880368947984e-05	2.679498564298064e-06	10.203999999999997	0.027999999999999928	785838.6032783532	24813.268019455212
3	0.0007303978502750396	2.2578768533628284e-05	1851935.03	62255.679982063484	8.247558683156966e-05	2.7441682535261924e-06	10.217999999999996	0.09421252570651067	771546.735496121	23758.895518551566
4	0.0007304257899522781	2.8574046287891503e-05	1856060.82	82139.06120468871	8.244038015604018e-05	3.5104716146957802e-06	10.216	0.10836973747315223	771860.8040749818	27716.75421171952
5	0.0007349696755409241	2.0825866294217362e-05	1864971.29	60885.67771689743	8.298646658658983e-05	2.5318575462223684e-06	10.207999999999998	0.04833218389437824	766636.7825045249	21850.567857109905
6	0.0007906752079725266	0.0005687892547358107	1987256.03	1370007.5651015323	8.915074884891509e-05	6.677764095754549e-05	10.211999999999998	0.08863407922464112	761784.4377227738	73619.79185037065
7	0.0007372280955314636	2.9311019029738964e-05	1861052.23	76795.47172807196	8.28608848154545e-05	3.102620549711779e-06	10.225999999999997	0.13756453031214075	764838.4994304408	29433.11045020339
8	0.0007325579226016998	2.3899273652025596e-05	1847974.74	66065.14007865569	8.247172266244887e-05	2.9140629896947306e-06	10.207999999999998	0.048332183894378065	769341.2583897061	24587.47462978031
9	0.0007326602935791016	2.172968436080613e-05	1845600.98	59042.56186887218	8.249296590685845e-05	2.6275024614640828e-06	10.203999999999999	0.039799497484264576	769104.0616396649	22655.437426277524
10	0.0007334373146295547	2.2836447762078005e-05	1851363.06	64490.10441638624	8.258609712123872e-05	2.7379209624366972e-06	10.209999999999999	0.06557438524301985	768361.3005436617	23875.72584378022
11	0.0007317438721656799	2.284507869707522e-05	1844048.18	61950.552095744875	8.231305241584775e-05	2.7227969054551664e-06	10.225999999999999	0.13462540622037106	770146.6683718768	24100.243086436327
12	0.0007337748259305954	2.1180502713260858e-05	1847357.0	58503.15850430641	8.261700093746186e-05	2.583816949130075e-06	10.2	2.774758085844075e-15	767902.5797311451	22093.61418335214
13	0.0007315774261951447	2.175056147146847e-05	1843445.93	59607.65575817506	8.233229264616965e-05	2.6244898191257755e-06	10.201999999999998	0.019899748742132427	770246.0959164023	22757.53002966668
14	0.0007320844382047654	1.847451034707626e-05	1843492.06	51936.01889360022	8.239678442478178e-05	2.26736529318091e-06	10.197999999999999	0.019899748742132246	769514.8106681703	19492.867053023052
15	0.0007347134500741959	2.3908438472761906e-05	1851984.39	67291.64172434717	8.273675307631495e-05	2.881628705632175e-06	10.221999999999998	0.14938540758722005	767086.2307315555	25054.12378693292
16	0.0007313320785760879	2.4690080806785074e-05	1845836.35	67985.48624528253	8.230493292212486e-05	2.9589316358146088e-06	10.203999999999999	0.028000000000000042	770704.777477621	25993.519082657043
17	0.0008306095004081726	0.0009614330042361966	2121646.72	2711318.2242374728	9.49837429821491e-05	0.00012306598864564512	10.206	0.08224354077980812	760643.7634126719	75018.9857563059
18	0.0007365857809782028	2.2339046361109265e-05	1863744.5	61981.15323765766	8.295051351189612e-05	2.7142224787494274e-06	10.203999999999997	0.02800000000000004	765031.0380844481	22892.001932189905
19	0.0007344487309455871	2.2907306666554045e-05	1859044.09	64544.09178493334	8.269067272543907e-05	2.7759260673136404e-06	10.204	0.028000000000000014	767302.7989280925	23791.66981431822
