cycles	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
1	0.002445581331849098	0.014944419387696022	7057478.62	46795058.46832169	1.3024231642484666e-05	1.6974129766328827e-05	11.711999999999996	16.31086312860233	632932.668445713	87179.06365057974
2	0.0009743347764015198	0.000988226192193383	2706110.53	3150395.999576293	1.808558508753777e-05	6.7212831869747e-05	10.111999999999998	0.09927738916792658	637366.2703248337	60861.072162688004
3	0.0008731165528297424	2.0487605904403943e-05	2383791.04	64030.797795735765	1.1304731070995332e-05	4.776923449668168e-07	10.091999999999999	0.0996794863550166	644550.885540668	15052.185805181367
4	0.000875224992632866	2.4106592265620722e-05	2389561.42	72876.68608412158	1.130276381969452e-05	4.849841054987994e-07	10.083999999999998	0.09871170143402418	643085.4361235254	17626.752286656145
5	0.000882151797413826	2.6833300952501864e-05	2409082.95	75103.07710318867	1.1302569955587386e-05	4.701786439461164e-07	10.094	0.09981983770774203	638188.8340000347	19014.25163136866
6	0.0008774589747190476	4.516724085819671e-05	2392304.74	76665.48266183681	1.12258879840374e-05	5.284478321484215e-07	10.079999999999998	0.0979795897113267	642246.8687477371	25732.925723013774
7	0.000874960646033287	2.3600273959182635e-05	2390304.67	71918.76014588335	1.1286057978868483e-05	5.243774462709735e-07	10.094	0.0998198377077418	643319.8049252684	17373.95769841763
8	0.0008733962476253509	2.1214240905254652e-05	2389020.2	65070.573982100395	1.1275080442428592e-05	4.5772251940493355e-07	10.107999999999999	0.09967948635501653	644462.9738527836	15651.872257611032
9	0.0008753168582916259	2.2398278347524247e-05	2390671.51	68629.15733979181	1.1290079802274705e-05	4.6647227171110555e-07	10.09	0.10344080432788567	642985.0232345187	16347.540657113037
10	0.0010504941642284393	0.0017081460212585151	2908923.86	5090935.157004864	1.13289812207222e-05	4.746877329507604e-07	10.089999999999998	0.10344080432788552	634555.3612836654	63830.83347102531
11	0.0008705305308103562	3.1738784797804e-05	2376948.32	73209.3520144633	1.1139692217111584e-05	4.1908732474791173e-07	10.094	0.09981983770774193	646913.587034112	21812.499698084877
12	0.000870177447795868	2.5082729047737736e-05	2383853.59	78219.62093926242	1.1212635338306427e-05	5.581521762290918e-07	10.085999999999999	0.09901515035589224	646876.3658513785	18646.53050511153
13	0.0008695167303085327	2.5219236652319726e-05	2382718.44	72929.30767946724	1.1217793077230454e-05	5.619195969860022e-07	10.095999999999998	0.09991996797437394	647427.4751324909	18617.35531195935
14	0.0008627347648143769	2.3429613117111337e-05	2364091.34	71874.98589595966	1.1140896230936048e-05	5.281565291702302e-07	10.099999999999998	0.09999999999999952	652474.3216616691	17618.61135875773
