cycles	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
1	0.00836257591843605	0.07321400104211961	-14033122.23	159028442.5948709	3.185857683420181e-05	0.00021561413406733708	12.305999999999994	16.665280195664277	740887.5633861332	222202.12778151114
2	0.0007524163275957108	0.0005122766447641954	2106921.81	1585447.0273192083	8.480516970157623e-06	3.744108303292794e-07	10.199999999999996	0.0	810840.0500771978	97040.48821298835
3	0.0006790320575237274	1.5206857784746363e-05	1885438.95	45233.401135305976	8.398993313312532e-06	3.757495853114054e-07	10.199999999999996	0.0	829533.5183073577	18409.379944952263
4	0.0008165260404348374	0.0013121123883136174	2308706.92	4077778.3624388995	8.529546558856963e-06	4.468972172077651e-07	10.229999999999995	0.2598076211353306	815033.7233256144	80667.0597919173
5	0.0006866130232810974	1.6290802528509103e-05	1905122.97	52056.98265813242	8.500106632709505e-06	4.137074973056343e-07	10.203999999999995	0.03979949748426465	820405.3826210179	19106.080074885565
6	0.0006941572576761246	4.74077146087256e-05	1915861.26	81830.77750499747	8.604934662580492e-06	6.037340854077789e-07	10.203999999999997	0.02799999999999989	813852.0738927481	41675.29174924915
7	0.0006891504675149918	3.689540180413085e-05	1896919.62	72817.62113400573	8.579815179109575e-06	7.963702137363018e-07	10.197999999999995	0.019899748742132337	818903.39691368	37052.8348450092
8	0.0006827469915151596	1.8463087924483824e-05	1891889.43	55441.42059728538	8.465219885110854e-06	4.457703298233118e-07	10.199999999999996	3.0767402982137023e-16	825208.5662376648	22154.622657016487
9	0.0006835661828517914	1.642775393523108e-05	1895087.94	49339.19298890488	8.544221669435503e-06	4.1114297693886896e-07	10.199999999999996	0.0282842712474618	824078.9638929763	19643.93765563692
10	0.0006807222217321396	1.5918835024321704e-05	1886277.53	48403.826858721615	8.463571518659594e-06	3.491076991377406e-07	10.199999999999996	0.0	827513.151691051	19266.193845336365
11	0.0006806825846433639	1.5108665886468922e-05	1885278.2	45161.155777504195	8.496270775794984e-06	4.247324959077223e-07	10.197999999999995	0.019899748742132337	827498.9117787452	18151.512191686368
12	0.0006852413713932037	1.606378667398585e-05	1898774.27	49932.675834938986	8.510822206735611e-06	4.0223427172975563e-07	10.199999999999996	2.51214793389404e-16	822055.1216965136	19070.63692152468
13	0.0006812693178653717	1.5080732063870003e-05	1887097.48	44944.34853003879	8.487112373113632e-06	4.1767002977100296e-07	10.199999999999996	1.7763568394002506e-16	826800.7024635131	18172.901587011755
14	0.0006827745586633682	1.5714338133406077e-05	1892723.95	47405.35235316261	8.536616712808607e-06	3.962899261139839e-07	10.199999999999996	2.51214793389404e-16	825008.7876744233	18780.190244362268
15	0.0006868600845336914	1.3813823293558378e-05	1904245.4	44836.94671830365	8.546279221773149e-06	4.5460967109091235e-07	10.197999999999995	0.019899748742132333	819990.2264512314	16552.71060315155
16	0.0006831932812929153	1.64356741034338e-05	1891242.81	50109.33650801914	8.539418131113054e-06	4.89177070692814e-07	10.193999999999996	0.03411744421846384	824506.1194476092	19913.355460962222
17	0.0006852222979068756	1.733008704800222e-05	1899891.48	51503.6369406045	8.530337810516357e-06	4.064362327395422e-07	10.193999999999996	0.03411744421846385	822105.6897522002	20508.876273872338
