cycles	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
1	0.0034040936827659605	0.001530145553045792	3246447.84	3699763.7816715506	0.0003233667251467705	0.00014640194836590382	76.40800000000002	21.21265509077069	177527.7536649272	35140.2033508201
2	0.002827891558408737	0.00011128763625065072	3169884.97	173736.10593670246	0.0003423105655610562	1.3952333797656212e-05	75.20600000000002	11.554443474265652	199414.85672285352	8527.863193101071
3	0.002832394689321518	8.989773520479544e-05	3018089.09	189164.33955590546	0.00034317923173308367	1.1208419471764253e-05	68.28800000000001	9.176374883362172	198970.47369326735	6378.461428472651
4	0.0028765635192394257	0.00022036540825273382	3103424.23	446715.6453208877	0.00034693200364708897	1.7069909311470852e-05	69.35600000000001	8.40064664177705	196476.59989885517	10154.57465946732
5	0.002848308831453323	9.376353042440078e-05	3033874.79	182082.56542938398	0.0003449808780848979	1.1678882616628884e-05	70.554	9.696921367114411	197869.90986111437	6560.708710511896
6	0.0028777921944856642	9.566208313799588e-05	2954930.34	134105.49419939663	0.0003483934572339059	1.0299799421120443e-05	66.58400000000002	8.790207278557206	195842.20462145878	6323.417658942384
7	0.002901053875684738	0.0001698951370035401	2963491.51	141494.16946973433	0.00034941250056028377	1.0582633465762848e-05	69.11800000000002	8.360626531546545	194563.21613255766	8766.27952118569
8	0.0028118188679218292	7.630454024701475e-05	2959919.85	145996.76230022192	0.00034027358710765843	9.38934591741287e-06	79.01800000000001	8.258721208516487	200375.96910718043	5520.246826468284
9	0.002807154953479767	6.872339879633802e-05	3003407.93	131542.32060498666	0.00033981877312064176	8.525292320216192e-06	77.21400000000003	8.393867046838432	200679.2650213276	4918.0389110400965
10	0.00278060682117939	6.674677927682444e-05	3028900.79	143009.79616098295	0.00033643860787153245	8.400258875999112e-06	79.97000000000003	10.170403138519145	202583.24619492659	4862.641879646289
11	0.002793392688035965	0.00011989136033670307	3008615.21	131294.45570185324	0.00033636337101459503	9.684285208429034e-06	76.56400000000001	9.795565527318983	201876.312787861	7740.254720978189
12	0.002784776985645294	6.969120557546292e-05	2969140.92	143772.02023541855	0.0003369428968429565	8.691284666869287e-06	77.89000000000001	9.065908669295103	202290.29244197856	5072.706398457132
13	0.0027780354022979735	7.56105560943152e-05	3000565.15	145279.93303587215	0.00033621641933917994	9.491443309746233e-06	78.796	9.908137261867141	202807.06200266923	5494.876116262553
14	0.0027792226523160935	7.540915965135287e-05	2978608.46	152126.17351852506	0.0003362872453033925	9.351014349471405e-06	76.53400000000002	9.628086206510625	202720.93365453414	5528.89589494823
15	0.004248478710651398	0.0005262024531621622	2639965.86	364540.6808212499	0.000273204490095377	3.795910914291503e-05	82.88200000000002	14.297778708596667	134719.6938894531	20361.260330377056
16	0.0043741647899150846	0.00028792781105155594	2672566.97	366966.09792988934	0.0002729750263690949	3.552826037918555e-05	86.46600000000002	15.882646001217815	129043.38624051215	8552.000814275954
17	0.00433560810983181	0.00027490965844185274	2505288.94	339536.465470259	0.00026625085830688476	3.398753307174829e-05	83.12800000000001	12.467414166538319	130151.84095181813	8299.226394495627
18	0.0028778427094221116	0.0002913245036718202	3095258.09	182210.49918372405	0.0003385255949199201	1.9547112707346176e-05	79.07200000000002	9.145251008036912	196994.1619807379	13838.09237211382
19	0.0028189410269260405	6.656900118002387e-05	3118328.97	153746.5751221441	0.0003409604866802693	8.353402485456252e-06	76.97000000000001	8.220772469786525	199832.40430310325	4748.53478474098
20	0.0030327180773019793	0.000532141548011192	3052890.53	225199.3593694465	0.0003343024733662605	2.7986387477971637e-05	79.09400000000001	9.303481283906587	189808.17764376925	24145.330413868614
21	0.002986016869544983	0.0004880255031606691	3029457.5	214911.6183014078	0.00033394285514950746	2.4924368494051994e-05	78.61400000000002	9.717129411508322	192179.63204760797	22619.4129290861
22	0.0028154900670051574	8.161588649276739e-05	3130583.53	145665.18644881865	0.0003405121052265168	1.0171447734258228e-05	77.11200000000002	9.311683843430258	200131.2089291554	5855.7141981225395
23	0.0028257640451192856	7.590416001735275e-05	3114698.51	154454.3268083154	0.00034181388705968867	9.470469656070735e-06	77.70800000000001	8.840471480639483	199379.82322645816	5408.937523656271
24	0.0028215998411178587	8.686868682713807e-05	3080292.14	139154.0729468613	0.0003412580205500126	1.0857212882017457e-05	78.86200000000002	8.720811659472991	199724.4480633084	6250.599186261496
25	0.0028267842531204223	7.472684112385893e-05	3102295.52	129719.98028680703	0.0003420256818830966	9.314300521870485e-06	78.16400000000002	9.329710820813263	199306.91937531647	5324.939854998985
26	0.0028244787454605102	7.084543097685019e-05	3096085.25	150005.18649402593	0.0003417163322865962	8.889091780647448e-06	76.38200000000002	8.534733504919771	199447.42772274854	5015.119219763906
27	0.0028386250883340835	7.18052586856689e-05	3095758.29	144022.38174223443	0.00034348225563764575	9.075525159622856e-06	76.68800000000002	8.543410091994888	198455.89886602398	5043.314623876119
28	0.0028222537040710448	7.362424710817494e-05	3091216.49	142637.0016967894	0.0003413138458132744	9.032043337863762e-06	77.538	9.02306799265084	199617.96892302678	5199.830742318465
29	0.002808569222688675	7.981770747944567e-05	3090109.58	142056.8976648568	0.0003396063555777073	9.940324248397397e-06	75.47200000000002	8.560351394656651	200615.9777529017	5690.763479144977
30	0.002807207778096199	8.891331173990618e-05	3106181.45	140565.4091275215	0.00033936557337641715	1.1131851878278773e-05	76.964	8.063963293567259	200757.00702387892	6378.349031384056
31	0.002773890048265457	9.568101450565028e-05	3112467.68	140529.53245940016	0.00033510866731405257	1.1904673074541338e-05	76.75800000000001	9.362234562325389	203203.7520011941	7060.01212507795
32	0.0027004626393318178	0.00011487733991378788	3173237.56	148755.18439848206	0.00032577679798007005	1.4227805053711684e-05	79.64000000000001	8.915110767679787	208851.24422505108	8938.179957623533
33	0.0026812876015901567	0.00010654239202977626	3130872.97	156236.67930415412	0.00032322072610259053	1.3289568974926897e-05	82.06800000000003	8.240641722584481	210299.71538016212	8496.13838271889
34	0.002690465450286865	9.622189758951831e-05	3198195.02	161104.6533620913	0.00032434557080268856	1.1967474122439852e-05	82.81400000000002	9.377771803578938	209512.8508614987	7564.352946516604
35	0.0029291559755802153	0.0005914303503249453	3158968.59	246923.04706600783	0.0003102483727037907	2.9355192314031774e-05	84.23400000000001	10.80374212946608	198193.10474917464	30221.268058327783
36	0.0025894376635551453	0.00011455396623544644	3287896.64	175467.25062247485	0.00031159365192055707	1.4173830617171316e-05	85.18000000000004	9.474238755699592	217831.05061393112	9706.586103277961
37	0.002685983404517174	0.00013248768544767787	3265273.82	172084.27806521897	0.0003235279217362403	1.6405880406384348e-05	83.85600000000004	11.071299110763839	210101.4253573861	10504.678075547747
38	0.002615206316113472	0.00013959624918338865	3666348.5	203117.65689828643	0.0003139540296792984	1.7654710222104002e-05	95.57000000000002	13.49564003669334	215899.35649269674	11873.93605034981
39	0.002630732133984566	0.00012840118611032883	3603733.1	174808.3009996093	0.0003158741624653339	1.6097102336716204e-05	92.03400000000003	11.267370766953587	214514.96092615963	10466.791534578086
40	0.0026598618179559707	0.0001243650170139525	3631783.41	165485.68624567473	0.0003194708731770516	1.5644802454315268e-05	92.69600000000004	11.827611085929407	212123.07852060033	9976.163222707117
41	0.0026145350188016892	0.00013032398133654803	3659723.64	178804.9300997889	0.000313819600045681	1.6390929103368772e-05	92.57400000000003	11.423857667180565	215859.14816729468	10852.769506544846
42	0.002590155154466629	0.0001441883381349205	3700064.26	202298.4404805247	0.0003105265487730503	1.8157187227378643e-05	94.56000000000002	12.250289792490634	218030.47334939745	12326.031312440055
43	0.002615003064274788	0.00014211649750929962	3650173.21	171533.3592220064	0.00031357260495424276	1.7905034089754354e-05	92.56600000000002	10.625593818700212	215933.30260175056	12050.189726653423
44	0.0026927965879440306	0.0003965967650737904	3625683.97	284137.8924047779	0.00030802241608500486	2.5120986455677312e-05	93.16000000000004	12.516581002813833	212251.70755117576	22182.984224620828
45	0.0026352206617593766	0.0001229534700812775	3646076.91	183446.2514446722	0.00031603208407759666	1.5483462161636778e-05	93.54000000000005	10.780482363976118	214086.8003673146	10074.532075255895
46	0.00259976252913475	0.00013159603795452428	3657129.88	183289.03288027245	0.00031162047088146205	1.661898411090465e-05	93.81200000000004	12.617188910371445	217106.5626510456	11170.789129563427
47	0.002587127313017845	0.00012198176070092246	3675951.29	182478.91160533018	0.00031005384832620623	1.5329033538003502e-05	93.67600000000002	11.952532116668845	218085.41222877437	10392.526859688785
48	0.0026124798506498336	0.0001292936992838332	3639202.72	171989.06510747015	0.00031326625853776935	1.639090396962177e-05	92.69400000000003	10.338605515252054	216006.3218863081	10722.746361858048
49	0.0026061148196458816	0.00014972168754441196	3593137.46	184096.29070426273	0.00031245554521679874	1.890780501724011e-05	91.82200000000003	12.19589750694881	216720.29630855893	12439.881323229381
50	0.0034270328283309936	0.0007943571868067955	3377845.61	388444.92483225715	0.00027823448732495305	4.079784615686307e-05	98.67600000000004	16.39784815151061	173460.39529838867	40570.81109330778
51	0.002575809806585312	0.00014381460698861375	3637565.75	198609.3817819478	0.0003087204818427563	1.8036806497477767e-05	95.29200000000003	12.716805259183618	219251.02676825662	12614.14478002457
52	0.0025752584636211397	0.0001435903576901152	3561321.43	200644.52160735687	0.00030860682576894764	1.8122027703771216e-05	91.60200000000003	11.971616265149839	219284.45414747426	12575.768089632531
53	0.002553361281752586	9.593056348586941e-05	3536462.73	183582.12091888767	0.00030580682218074796	1.2131738495038457e-05	88.43600000000004	12.944724948796715	220771.75960374216	8353.811523359429
54	0.0025436238199472425	0.00012097574405513197	3532896.56	168467.27060169997	0.00030445784106850624	1.5176056271207251e-05	89.70000000000002	12.122029533044383	221809.20797263237	10591.845885645604
55	0.0025474122911691667	0.00011798301822075584	3514056.38	202026.87559276764	0.0003049127376079559	1.4744362246912062e-05	90.03600000000002	12.722841820914077	221445.01054464516	10550.784173853597
56	0.002523206397891045	0.00011075805020051264	3532650.4	193641.22061348407	0.00030184442147612576	1.3868114694501767e-05	90.68400000000001	12.074938674792524	223532.27138926263	9833.188982098574
57	0.0025320514291524887	0.00011992837838619824	3495983.73	164484.46477955632	0.00030300913318991664	1.5019659015614104e-05	87.55200000000005	11.994636134539478	222801.8207326824	10746.073129138289
58	0.00254109226167202	0.00012837945703501966	3538213.03	244223.0442247191	0.00030414521887898446	1.6147340269728318e-05	89.15800000000004	13.837089144758743	222085.18781695634	11308.848882389051
59	0.002522556558251381	0.00012174247654250606	3509745.92	187915.12677039494	0.000301654571890831	1.5255946505280694e-05	90.09400000000001	12.908801803420806	223659.33470645233	10727.414204326955
60	0.002499067708849907	0.00011398158732055573	3571561.97	221253.35986635118	0.00029874295607209205	1.4273499113180988e-05	90.40200000000003	14.008154625074646	225725.47646653836	10575.36704673161
61	0.002520691081881523	0.0001029821626088671	3516544.82	214596.2693848791	0.0003015058569610119	1.2926352929822397e-05	89.18400000000001	13.46968982567899	223693.77028272217	9274.17809859039
62	0.002522844299674034	0.0001225438953232161	3505689.68	206363.90989845488	0.00030171927526593205	1.5321892761760024e-05	89.82400000000005	14.15096547942932	223637.06527054685	11137.2450813541
63	0.002502344772219658	0.00011517504212683255	3536466.42	211233.21477159695	0.0002992285278439522	1.4479358110589115e-05	91.09400000000004	13.35378463208091	225433.51885584698	10458.667386857744
64	0.002495802342891693	0.00011754240590325241	3568838.51	208150.47043903096	0.00029821958228945733	1.47326540926541e-05	91.21800000000002	13.172155328570957	226046.07814713762	10709.451240964698
65	0.0025118475407361982	0.00011172075486658251	3492503.36	196511.69833551996	0.00030043375581502907	1.4164360899237384e-05	87.87600000000002	12.260563771703168	224535.06012986123	9760.01650711862
66	0.002485327646136284	0.00011763649707680068	3572164.65	211715.28299753775	0.00029687328025698663	1.4716907602626482e-05	92.67600000000002	13.5363445582624	227000.80541444718	10912.993493533002
67	0.0024815624952316284	0.00012048922912996141	3561178.7	239738.12214061827	0.0002964818853139877	1.5230192744930923e-05	91.72800000000005	15.373028849254144	227332.31035751358	11136.400369992176
68	0.002501726597547531	0.00011378223818768175	3540459.94	212686.22028903614	0.0002990700447559357	1.430160931334647e-05	91.44600000000005	10.828069264647326	225463.98882793955	10121.334079435475
69	0.002503628432750702	0.00014255708798245568	3557003.12	233594.19168940312	0.0002985246428847313	1.647219697404543e-05	91.02400000000003	12.895930520904654	225533.57735207543	12623.353432165339
70	0.0024787666648626327	0.00010691180429935422	3543670.63	219059.5693091564	0.0002960713744163513	1.344756094483809e-05	89.49600000000002	12.831538645072936	227472.17313456407	9936.124862601235
71	0.0024827514588832856	0.00011990170315153118	3557964.41	206454.8906281997	0.00029662901833653446	1.5134985337407366e-05	91.98000000000003	12.833596534097532	227252.48889139266	10879.098110939833
72	0.0025091872364282606	0.00011900000552525463	3481608.6	189668.81091444634	0.0002998474644124508	1.5014499348258039e-05	86.64600000000002	10.96707271791339	224791.2876308608	10714.194803676502
73	0.0024928049743175506	0.00010151378455322053	3490111.01	214613.73807640997	0.00029787478268146516	1.2707965951228744e-05	88.04600000000002	13.718275547604382	226177.87844677412	9249.799168630465
74	0.0025126836448907852	0.00016177147141907598	3499208.13	185328.7705690973	0.0002989168797433376	1.5394935081416522e-05	89.29000000000002	11.920415261223082	224847.21879075604	13130.578008304412
75	0.00249490886926651	0.00012107091130227601	3489198.58	213383.8250847135	0.00029809364587068564	1.5133081615614871e-05	89.62400000000004	13.521872059740847	226146.05225918084	11116.047044932498
76	0.0024771763384342192	0.00010826226126137367	3547577.5	188377.9992972375	0.0002958548575639725	1.347969643749919e-05	89.33200000000005	12.063870688962156	227638.49921688176	9996.802047705618
77	0.0025015233457088473	0.00011664745363772805	3504075.56	222627.23153919514	0.0002988288886845112	1.4690785091614913e-05	88.65800000000004	11.919170944323275	225517.06698403961	10531.324249667363
78	0.0025045328587293626	0.00011713329490839404	3500715.81	223036.86653684388	0.0002993562781810761	1.4671143809285041e-05	88.36200000000001	12.865417055035575	225237.6356798621	10482.309348174887
79	0.0024802320450544356	8.959729967016553e-05	3543796.21	177438.91943039413	0.00029623211935162543	1.1324487622110312e-05	91.28200000000002	12.62458221090901	227237.37077151757	8289.366577105093
80	0.0024886537343263627	0.00011726600695004079	3524358.39	198271.8096832172	0.00029735425874590876	1.4729521251027166e-05	89.22200000000002	10.673964399415999	226672.1075543834	10576.752272656915
81	0.0024903056025505064	0.0001099866753483345	3529023.17	208057.88138693786	0.00029752287775278093	1.386546925102936e-05	90.02000000000005	11.777453035355318	226456.33485024027	10162.380243408572
82	0.002457711324095726	0.00010586656280722374	3569883.34	217559.93605819155	0.0002933963023126126	1.338030773527511e-05	91.68600000000002	13.529264725032185	229446.94481960114	9877.295245970174
83	0.00248745895922184	0.00010481302543208001	3551732.35	196814.7662533162	0.0002970580205321312	1.3199331385482723e-05	89.52000000000004	11.015952069612508	226670.3471666629	9682.023967268873
84	0.002490716204047203	0.00011589895972759978	3522238.82	225638.59843215565	0.00029759016036987306	1.4414741338099504e-05	91.56800000000003	13.225058638811403	226461.1072876193	10547.485697481468
85	0.0024770912528038025	0.0001250203245230077	3537483.76	210138.97786303808	0.0002957093758881092	1.5554389015354367e-05	90.26200000000003	14.282232178479676	227810.8136922044	11531.906284029363
86	0.002487206235527992	0.0001213882667634946	3538155.99	210891.58670475666	0.000297078679651022	1.5241123578286913e-05	89.37200000000003	12.243464215654008	226837.68990554812	11165.11639189826
87	0.002468373849987984	0.00010087333718897201	3533941.27	209926.55860132872	0.0002947082515060902	1.2652333818643436e-05	90.63200000000006	12.282335934178	228407.2911805334	9278.94126039861
88	0.002494935914874077	9.938470609768412e-05	3523117.54	188652.27373325877	0.0002980362117290497	1.2486520601072007e-05	90.322	11.815579376399626	225949.56549153733	8962.292728081573
89	0.002464854195713997	9.918950740235551e-05	3530757.14	193042.05304710267	0.00029425863400101666	1.2418013479275542e-05	90.69400000000003	12.45608140628505	228759.56656067393	9175.897042144603
90	0.00268573135137558	0.0006524089311181733	3514166.32	209588.92292751922	0.00029383625566959385	1.894828336497856e-05	91.48400000000001	11.726591320584182	216941.03803615586	31587.252997409207
91	0.002491868957877159	0.00011377423040506376	3528934.92	215262.6983772005	0.00029754864618182183	1.4394963150099777e-05	90.57400000000003	13.659536009689358	226372.82908987778	10405.529270411613
92	0.002458802163600922	0.00011864629446252933	3546409.84	213503.07909197564	0.00029346084713935855	1.4899195154481094e-05	92.12600000000002	14.419837863166151	229459.43085809302	11028.673398533978
93	0.0024714604765176773	0.00010978082518551831	3548883.42	190139.1528367148	0.00029505343839526175	1.3821660918132712e-05	93.36400000000002	12.103499659189493	228224.22212849735	10200.253242533712
94	0.0024792715907096864	0.00010941507507331007	3553432.26	208110.2123888023	0.00029605472579598426	1.378344857598815e-05	92.34600000000006	11.886054181266386	227443.3322914656	10016.305926332807
95	0.0024930083006620405	0.00011707275541258811	3543936.66	205031.53399510132	0.0002977408887445927	1.4638516835497068e-05	89.81200000000001	12.896908776912404	226260.25139431842	10689.459958621457
96	0.0024761024862527846	0.0001311499670363379	3537770.76	230190.2410603073	0.0002955664809048176	1.655292688527913e-05	92.21400000000003	14.817186102630966	227935.74477578624	12098.826754773067
97	0.0024874694645404816	0.00012030965198796334	3540383.14	228029.23019608785	0.00029703797101974486	1.5141890655555907e-05	90.89400000000003	12.675344729039923	226805.43339127678	11009.009582553206
