threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0020639023780822754	0.00028802945481797677	71656.452	5695.916839956146	1.7538508474826812e-06	1.075419574464019e-07	0.7371999999999999	6.291703756535268	488036.29392105207	22159.766695998514
3	0.002231718748807907	0.0003764818218161701	171879.752	62606.7887866683	4.439049899578095e-06	7.521400952453278e-07	0.1628	0.1453828050355337	464858.5781375984	100718.61743646277
4	0.0018010436296463012	0.00015145964178907585	130225.04	14427.147896046536	5.422965615987778e-06	5.321807689433132e-07	0.3032	0.05049514828179043	561123.3787071607	50348.58070680087
5	0.0019471871256828309	0.00011528044172649672	225367.892	14707.705529834897	7.839130878448487e-06	4.728059223897063e-07	0.4016	0.025247574140895214	517416.2630940876	30446.744881000133
6	0.002616727262735367	6.868295204543681e-05	242280.556	11869.856484004515	1.3085616946220398e-05	3.649954663931636e-07	0.30360000000000004	0.0338679789771991	384337.2459837349	10287.588428647421
7	0.0036471322774887086	0.00023918830389294083	384077.364	54535.294460152174	2.2053242027759552e-05	1.5743173605361289e-06	0.5004	0.006311893535223803	276903.5527160889	16785.989067826842
8	0.0034649841487407683	7.299448673184847e-05	506203.62	14943.61891763839	2.4324977934360505e-05	5.179058597146157e-07	0.7	1.9860273225978184e-17	290751.18713954306	6143.163544722974
9	0.0037729621529579162	6.755211683210286e-05	524886.636	13793.997115539207	3.0256957858800892e-05	5.494005731614762e-07	0.05240000000000001	0.05808820878629328	267249.6945114788	4782.696509104736
10	0.003908593386411667	0.00013811440080899426	452447.66	64963.6895731177	3.5284659892320633e-05	1.3714225996529271e-06	0.9288000000000002	0.45445633453611356	258401.17429240746	7282.071587437047
11	0.0038506536781787873	6.821911728875467e-05	660777.924	15380.043452416641	3.8522324383258815e-05	6.81463581340682e-07	0.9000000000000002	3.32325934484418e-16	262375.2835124728	4638.450550137309
12	0.00391415736079216	0.00010339675881872782	564514.228	44658.00617045074	4.308576688170433e-05	1.2068878519402575e-06	0.3024	0.03215960198758685	258444.28980907862	5782.448946825526
13	0.003820523679256439	8.223853855723857e-05	779167.74	30773.932069210783	4.5794709622859954e-05	9.8987606678567e-07	1.0999999999999999	3.14018491736755e-17	265009.1070271329	5760.766943045933
14	0.003980832517147064	0.00014711553408693466	710028.132	91943.00634524942	5.169406491518021e-05	2.0292618599770453e-06	0.5	0.0	254726.21639584188	7085.8515173467395
15	0.004219074577093125	6.99755190344813e-05	780692.024	17679.662702196103	5.894461897015571e-05	1.0055581900444645e-06	0.8996000000000002	0.00631189353522379	240403.6554693458	4073.1451804164385
16	0.0037960289418697358	0.00014997150211265922	835340.388	99306.16021184919	5.668543931841851e-05	2.3758506371206014e-06	0.7008	0.012623787070447604	267664.14099238435	7175.551035048522
