threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.000249611496925354	0.0005123321756389309	3762.696	13694.884958829849	1.9828686118125913e-07	3.182916177596064e-07	0.3472000000000002	3.4831956821286987	6238831.98584892	1876783.5748671796
3	0.0005931864380836487	9.247216818645499e-05	74371.416	24127.405811378565	1.3149118721485139e-06	3.2281283746899736e-07	0.2616	0.29994239446933807	1725699.6748636824	235002.65579533137
4	0.0009146926105022431	5.0775032734026726e-05	98037.8	3867.7703944262253	3.055043339729309e-06	1.4222636825236476e-07	0.52	0.146696966567138	1099958.7313812862	61607.90510705742
5	0.0012806997299194336	0.00014391984935518945	151627.936	6399.462367723089	5.5277369618415825e-06	6.491744814451188e-07	0.8	0.2439672109116305	795118.826469521	99632.59169982499
6	0.0014640514552593231	0.00023204255852636964	247150.776	97818.84499030758	7.827679425477982e-06	1.3496310152407114e-06	0.6424000000000001	0.10937202567384406	692405.3307788267	42181.910707553245
7	0.001469407856464386	5.514856685174297e-05	243816.256	10222.22820086032	9.348331451416016e-06	3.693273923994107e-07	0.5948	0.13150269959206162	685616.5767252126	26419.237613957383
8	0.0018493607342243196	3.953664772509591e-05	258368.252	4590.057618428771	1.3567790001630784e-05	1.9707573032397992e-07	0.7352000000000001	0.08602883237612843	544735.8927448383	10513.622480946973
9	0.0016367148160934448	3.462293664172051e-05	346527.604	8592.918797194816	1.3703838378190995e-05	2.66588299436425e-07	0.43960000000000005	0.09072948803999722	616140.463270087	12900.376729291827
10	0.001707772433757782	2.2885209482726574e-05	346451.644	5450.144750120312	1.5955329895019534e-05	1.904541466000366e-07	0.9000000000000002	3.161310107063003e-16	590932.6122480979	7802.141062771263
11	0.0016657303869724274	9.424631563787833e-05	485919.292	62322.155009392416	1.7185065239667888e-05	9.876195700286608e-07	0.9012000000000001	0.010888526071052965	607791.9506247948	26740.4274812999
12	0.001833982139825821	7.084403710825351e-05	462430.74	12714.394202178884	2.068309673666954e-05	6.642057565952616e-07	0.5952000000000001	1.1458695213679435	552007.6993525533	19618.497759627768
13	0.0017782009243965148	7.339061183111833e-05	425795.496	14890.50227420096	2.1796257942914962e-05	8.469083022479249e-07	1.1831999999999998	1.3128738553265504	570067.9731141145	23216.87518456989
14	0.0018154464960098266	5.566045933354391e-05	610524.212	18495.72227232708	2.3998040288686754e-05	7.541567490347568e-07	0.5648	0.10373504711523487	558517.5968012317	17234.82810312475
15	0.0017611282467842103	4.883699503309821e-05	515881.5	11982.424528032714	2.497618559002876e-05	7.262586456173051e-07	0.9008000000000002	0.012623787070447616	576215.7167807335	16177.750648034224
16	0.0018282158076763154	0.00012663655534801924	548347.36	121252.93075668893	2.768722793459892e-05	1.956894374623443e-06	0.7032	0.021673947494630516	556671.9339311676	22274.18119823099
17	0.0017860728800296783	3.630146331273601e-05	585086.744	14563.44310959685	2.8775935202836994e-05	5.809162594913306e-07	1.3784	1.2371311329038643	569070.102250333	11063.842063732744
18	0.0017542742490768432	3.35275482670377e-05	598372.496	15490.3584062469	2.9921136170625686e-05	5.413623104327273e-07	0.9004000000000002	0.006311893535223801	579936.2725115475	10963.976081036697
19	0.0016614055037498473	4.106466781411987e-05	695959.672	20364.877514692198	2.989332938194275e-05	7.068217977142191e-07	1.0999999999999999	1.4458497151625687e-16	613102.8351353623	14931.403522213686
20	0.0017249990701675415	3.646831908420017e-05	680167.38	20379.027562167925	3.271000608801842e-05	6.854019425632266e-07	1.9	4.2012810848978124e-16	590985.4641073841	12333.146860826495
21	0.0017453216314315795	0.0001347516875764967	724480.948	161067.58298674907	3.4692838430404666e-05	2.669176515625658e-06	1.2	1.002894637614934e-16	586111.4464069078	22524.96979263502
