threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0016947996020317078	0.00034263077626297113	7287.008	2811.6950929885693	1.1672377586364748e-09	3.893385069239995e-10	0.15360000000000004	2.019843320656332	596175.4574767228	31514.122991042204
3	0.0012401442527770997	0.00018802155703262762	31871.412	13369.58337070591	2.8737485408782963e-09	1.234919354932597e-09	0.09680000000000001	0.21087854324231284	827253.2682671798	135173.12529700506
4	0.0014233455657958985	0.00018499629295484237	153349.624	32138.64172043716	9.328603744506835e-09	2.0003473845123574e-09	0.29040000000000005	1.0137789897211322	713981.1717665852	83470.46267111143
5	0.0011769569516181947	4.021934530263387e-05	255997.952	16215.85055770113	1.3682782649993896e-08	1.1004041231363725e-09	0.23120000000000002	0.12769714170646107	852355.124302659	25744.915251564053
6	0.0012312883138656616	0.00016084519441108528	360763.368	90477.5637178222	2.497333288192749e-08	5.232529192487599e-09	0.15960000000000002	0.08395141452054278	830919.226736767	122311.10758814213
7	0.0014119265675544739	7.175837390485762e-05	472396.532	41066.19548057716	4.5477211475372316e-08	6.012314458458532e-09	0.364	0.07199999999999998	713257.3297200172	34425.10126892264
8	0.0015522681772708893	0.00011433482879390738	753197.796	73023.10528632965	6.784698367118835e-08	8.413638793692666e-09	0.5971999999999998	0.04233391075721683	651767.1527346498	50738.6119746618
9	0.0016240610480308534	6.232951967924753e-05	752427.68	40707.566633263654	9.505689144134521e-08	7.325321883999229e-09	0.0008	0.012623787070447607	620915.0345094927	23660.041424239884
10	0.0016453011631965637	0.00016564891905991933	709670.012	109999.89722560588	1.1956596374511717e-07	1.0577857625340921e-08	0.8012	0.0666225187155214	616293.4661910324	39614.39328071435
11	0.001675430864095688	6.609059120043957e-05	1059081.836	68846.49468718871	1.5240743756294248e-07	1.1401947392030953e-08	0.8108	0.04004197797312215	603238.0789604284	24003.42446308237
12	0.0016825654804706574	5.733109762946308e-05	966807.724	65547.97572660673	1.87278151512146e-07	1.4119284972138178e-08	0.17720000000000002	0.06132014350929065	600819.1313726339	20442.72692016226
13	0.0016888095140457154	6.249000129519668e-05	1343930.996	48886.05193946413	2.2048628330230712e-07	1.6640146540528933e-08	0.9963999999999998	0.04033658389105353	599442.9409999046	22130.12308265255
14	0.0016841613352298736	6.653133883137785e-05	1199023.568	66383.5935065689	2.594674825668335e-07	1.709059199424423e-08	0.37639999999999996	0.060357601012631365	601669.4885449628	23392.12789673894
15	0.0016887432932853699	0.00017007643885536344	1244805.196	134948.56244711013	3.0136218667030337e-07	2.0472546533892134e-08	0.8004	0.043357121675683216	603153.988740759	36008.30322212563
16	0.0017161870896816253	4.906459275676679e-05	1504827.636	51250.00994785761	3.529303371906281e-07	1.8759146625454108e-08	0.5799999999999998	0.05999999999999999	591204.6022318754	16763.889219607103
17	0.0017422165274620057	5.6371276388763045e-05	1521180.068	61004.67846786323	4.0823027491569517e-07	2.7432344444865818e-08	1.2144	0.04508480897153722	583281.35318289	18802.759220078948
18	0.0016676597893238068	7.067025759491336e-05	1369180.124	59823.938258632086	4.3445417284965517e-07	2.6616016579331215e-08	0.7916	0.05629777970755152	610211.8453988001	24433.73348609017
19	0.001664444923400879	6.62723409929444e-05	1698750.612	72592.86114188816	4.862149655818939e-07	3.926828001751247e-08	1.0024	0.061271853244373134	611985.8880614026	24397.766636401877
20	0.0016187587678432465	0.0001967143516012629	1453548.528	183610.07786228188	5.219412744045257e-07	3.200164289908368e-08	1.7996000000000005	0.05329014918350298	632604.2436573048	33252.39561888524
21	0.0015581637024879456	5.60341487503657e-05	1793484.212	73460.24493576819	5.605287849903107e-07	3.3885463280239905e-08	1.0787999999999998	0.06565485511369286	654671.0357938078	23179.247812840946
22	0.00143326535820961	5.963548964662092e-05	1320132.196	75049.51649297672	5.679288506507873e-07	3.4652189389281376e-08	0.7308	0.07135376654389029	712357.7613015603	28486.722893980223
23	0.0015809516310691834	5.222596526150391e-05	1719667.64	56812.418880931305	6.823846101760864e-07	3.789045704424257e-08	0.8707999999999999	0.05502145036256313	646315.5809480164	20904.643267128973
24	0.001476370245218277	5.0687054123230485e-05	1650432.156	78898.93569601345	6.978094279766084e-07	4.3474236382903386e-08	1.3816000000000002	0.0655853642209907	692930.5767425526	23914.057159303495
25	0.0015513729751110076	4.507158726680124e-05	1854723.272	53139.940643079535	7.938890755176546e-07	4.6504450355222624e-08	2.3036000000000008	0.0560984848280237	659998.5868799511	19278.964904365457
26	0.0015826995074748993	5.334621944121659e-05	1815092.032	65907.96402777874	8.738032281398773e-07	5.3632986266800215e-08	0.9708	0.06055873182291715	647521.8984698978	21203.072709288164
27	0.0014815754890441894	5.3307898498475264e-05	1850888.856	70281.82612524566	8.919720351696014e-07	5.091639868860177e-08	0.044800000000000006	0.09712342662818278	692681.9952062339	24664.244875592332
28	0.0015713032782077789	4.727889603574659e-05	1902075.616	65616.31894799147	9.976757168769838e-07	5.88481921519929e-08	1.7868000000000006	0.05315787806148779	653444.0612978933	18889.534232957263
29	0.0015568662881851197	4.618392896273697e-05	2296092.7	68764.44191599319	1.0725139677524567e-06	5.417770127845313e-08	1.1847999999999996	0.06456748407673948	660137.9339913505	19485.26190496452
30	0.0014653760194778443	4.672366294773847e-05	1874322.476	68788.43709119596	1.084854453802109e-06	5.6323020245705233e-08	0.7604	0.070935463627159	701955.1107440327	22045.47323517523
31	0.0016326804757118224	0.00022797484996877717	2287710.804	335725.56832113577	1.27374330163002e-06	8.06350578835425e-08	0.5988	0.06097999672023604	634636.568753216	34187.107224684376
32	0.0014988459348678589	4.9307771458867024e-05	2175103.492	76365.60074134123	1.2670456171035766e-06	7.197693521504619e-08	0.5615999999999999	0.07671662140631584	687653.9177199118	21866.45840244223
33	0.0015688526034355163	4.779806316587671e-05	2411599.828	79022.70595988481	1.4004847109317782e-06	7.522714997950332e-08	0.7852	0.06435029137463169	657673.9049122236	19890.964438401847
34	0.0015769920647144317	4.412846145143126e-05	2194927.816	67147.57674530141	1.4894875586032868e-06	8.506673317606788e-08	1.1791999999999998	0.0718843515655529	654783.0626119921	18142.900021282283
35	0.0014470955729484558	4.191855655326312e-05	2247040.5	68246.6878128602	1.4483245015144347e-06	8.401958525673484e-08	1.7800000000000005	0.06449806198638845	714297.4129781629	20458.545519568033
36	0.0015156837701797486	4.183200968660457e-05	2407158.1	72531.95314823667	1.6103842854499817e-06	8.64886944190896e-08	2.590000000000001	0.06082762530298225	682652.0048543884	18771.179214644006
37	0.0015007420480251312	4.262042153149939e-05	2685273.404	79865.9432511304	1.6889827549457546e-06	8.298970799339971e-08	0.038400000000000004	0.05408733678043318	690049.1288938303	19404.207534421985
38	0.0014618512988090514	4.191682047658331e-05	2347255.376	69045.53287472423	1.7291137874126434e-06	8.403847096429036e-08	0.9808	0.0653556424496003	709133.6336192149	20157.54049325323
39	0.0015808817744255065	4.4690656867243535e-05	2687099.8	80527.96909526527	1.952001631259918e-06	1.0491870710748014e-07	2.2876000000000007	0.06361006209712429	656405.7666104183	18451.03996253504
40	0.0015192748308181763	4.4450762114437384e-05	2679316.184	84455.53634237451	1.9948888421058653e-06	9.33194806210357e-08	3.7580000000000022	0.06720119046564584	683526.5844416525	19925.35958622504
41	0.0015396866500377655	4.161655815498218e-05	2878793.26	89086.46297084872	2.112949341535568e-06	1.0448540600902961e-07	1.404	0.06053098380168627	675331.0108115898	18233.997437061487
42	0.001553331583738327	4.542905869145774e-05	2604906.54	80639.37975337112	2.2393002212047577e-06	1.1791653297088049e-07	3.193200000000002	0.0612679361493433	670048.0026819039	19290.926063862575
43	0.0014912744462490081	4.27700319891684e-05	2870101.76	86839.93052930431	2.277404248714447e-06	1.035478954743872e-07	0.8744	0.0668179616570275	698450.7448457542	19724.651364877744
44	0.001517724871635437	4.0168235411354824e-05	2848685.904	80949.11011809076	2.381946474313736e-06	1.1730062886614774e-07	2.990800000000001	0.06477159871425135	686967.0517578257	17918.231949121895
45	0.0015035243928432464	0.00011383494859489108	3255336.12	242856.87872480284	2.5114363431930545e-06	1.3147161091033166e-07	0.7696000000000001	0.07820383622303959	695611.0580355048	29180.712057005356
46	0.0014579126834869385	4.433245867569683e-05	2895417.468	93802.09400963805	2.5248444974422455e-06	1.3448630038425968e-07	3.1728000000000014	0.06496275856211778	716555.894620117	21412.807129892615
47	0.0014742041230201722	4.267471984297072e-05	3096808.796	96970.43761783476	2.672303736209869e-06	1.2682997906498753e-07	1.0647999999999997	0.07823656434174497	709200.0709277525	20125.52882425511
48	0.0014655403196811676	3.7501010794094025e-05	3307258.764	87909.28688426668	2.770183950662613e-06	1.4158813781450233e-07	3.7804000000000024	0.06554265786493563	714061.554193561	18204.178901731335
49	0.0014897629916667938	3.704286194268927e-05	3414003.384	79873.96446800763	2.919922977685928e-06	1.355412813333925e-07	1.7812000000000006	0.06516563511545029	703093.7130076902	17070.8574236695
50	0.0014474485516548156	3.9065075035732354e-05	3056998.992	87077.76676245169	3.0016317367553714e-06	1.396853543535415e-07	4.769199999999999	0.0630187273752809	724342.6718688232	19388.01630792533
51	0.0014331993162631988	3.872474764002486e-05	3438869.032	97603.53716483321	3.027819573879242e-06	1.483147586365198e-07	2.8744000000000014	0.06681796165702758	732275.7828299016	19467.269214001306
52	0.0014695846736431121	3.8869337408548173e-05	3419447.548	94587.60227327731	3.2622894048690797e-06	1.2920898769112084e-07	0.9755999999999999	0.06453402203489256	714813.8402359424	18737.86331335481
53	0.0014183911085128783	3.410653700421127e-05	3618946.156	86169.08655783502	3.2518705725669866e-06	1.4086681143061868e-07	4.364	0.07031358332498756	741151.6251967575	17692.48832279352
54	0.00140864497423172	3.909824015633915e-05	3476796.832	101428.45596614284	3.3403577506542204e-06	1.629573134110304e-07	2.558800000000001	0.0682829407685405	747091.9915436173	20480.871036309116
