threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.00135644993185997	0.0003955768629470595	178.292	1069.87163283078	1.2245073914527893e-07	6.73457991268759e-08	0.0456	0.3602230420170259	749254.5568514855	44921.86411083946
3	0.0009835847318172455	3.792591891011402e-05	1291.472	3834.2110282580948	3.0621835589408876e-07	5.089197112651942e-08	0.1688	0.6758598671322331	1018673.436291605	31389.351275756133
4	0.000981100767850876	0.00022884805641213468	25883.072	27944.32614887709	9.243772327899933e-07	6.055218036203664e-07	0.1104	0.12574513907105914	1076721.7995967974	242418.3364842424
5	0.0010530521869659424	0.00024836925834260254	74438.88	29880.27936137144	1.8631069064140319e-06	6.72552264537502e-07	4.334	4.287545218420442	1004681.5618903765	235470.84290577986
6	0.0013211928308010101	0.00013821412138243774	143867.068	43974.53960636059	4.18830332159996e-06	7.404206682087953e-07	0.184	0.072	769383.2361954126	95744.69678953051
7	0.0014217950701713561	9.766042229432192e-05	176082.144	21636.795959181756	6.135658413171768e-06	5.833663687190441e-07	0.3836	0.04659442026680876	710121.0640043241	49533.41304319558
8	0.0015955434739589691	8.115466635660091e-05	281275.96	29712.243703200875	8.765218615531922e-06	5.913237640755775e-07	0.6147999999999999	0.04712706228909244	632311.0687223641	33941.34058839652
9	0.001692092478275299	5.505744468859129e-05	287853.588	18822.798213290607	1.1043534219264985e-05	4.5422569733293664e-07	0.011200000000000002	0.03278048199767661	595791.4121683149	19313.492523724115
10	0.001815349280834198	9.94555387028147e-05	321793.744	50276.0302120848	1.3786773651838304e-05	9.378342354874794e-07	0.8256	0.05123124046907315	556795.0245027367	26106.98450809096
11	0.0018150273859500886	8.99260856354417e-05	386399.2	26492.078391700412	1.554454532265663e-05	7.609684026857965e-07	0.8164	0.0710706690555253	557223.4828922334	25426.877595027847
12	0.0018308692872524262	4.99700506006654e-05	406329.424	20697.539038354873	1.7530476838350296e-05	5.467373044725664e-07	0.214	0.0447660585711988	552085.3985784159	15064.542872883725
13	0.0017213721573352814	8.817160725241887e-05	468840.936	39732.24114630213	1.8028586566448212e-05	1.058231989387497e-06	1.0075999999999998	0.046284338603894935	588885.2557962491	29731.23839037684
14	0.0017989442050457	0.00012320524726407248	477481.8	29649.89779503464	2.0690471768379215e-05	1.5354342007112177e-06	0.4024	0.03455777770632828	565268.9288977411	39596.93587694759
15	0.0021151942610740664	5.859240303753776e-05	574935.712	21254.663196509515	2.6763940960168837e-05	8.390435551376324e-07	0.8124000000000001	0.04523538437992981	479342.6213283892	13301.0735256691
16	0.001989940673112869	5.648468182811496e-05	648887.76	24141.512541147873	2.695468431711197e-05	8.4383153760952e-07	0.6115999999999999	0.037754999668918016	510036.5038124084	14643.866306469132
17	0.0021042860448360445	5.785040408241225e-05	679207.22	23801.34307411244	3.066693207621575e-05	8.639557139547547e-07	1.2291999999999998	0.04803498724887937	482842.5058501918	12937.045893146062
18	0.002158164918422699	5.341182171125135e-05	676072.028	22622.72793107003	3.365097463130951e-05	8.783591479334693e-07	0.8152	0.04205900616990372	471128.7194634113	11653.018121565321
19	0.002631519317626953	0.00015430633283239776	1476733.772	169167.1969408964	4.381501504778862e-05	2.783026544670457e-06	1.0263999999999998	0.05534473778056951	387662.3989204296	19233.65813529547
20	0.0025559798181056977	7.762118334769077e-05	1358156.172	64640.831883991224	4.503463461995125e-05	1.4435503766983886e-06	1.8360000000000003	0.0512249938994628	398794.2229663738	12252.582936321414
